,Empty_droplet_sum,Nuclei_sum,Soup_probability,Selected
A1BG,871.0,1068.0,0.4492006188757091,False
A1BG-AS1,840.0,1766.0,0.3223330775134305,True
A1CF,96.0,98.0,0.4948453608247423,False
A2M,17142.0,20628.0,0.4538522637013503,False
A2M-AS1,137.0,204.0,0.4017595307917888,False
A2ML1,507.0,1242.0,0.2898799313893653,True
A2ML1-AS1,32386.0,69432.0,0.3180773537095602,True
A3GALT2,189.0,386.0,0.328695652173913,True
A4GALT,3009.0,6350.0,0.32150870819532,True
A4GNT,15.0,23.0,0.3947368421052631,False
AAAS,3878.0,7384.0,0.3443438110459954,True
AACS,6031.0,15636.0,0.2783495638528638,True
AADAC,374.0,871.0,0.3004016064257028,True
AADACL2,258.0,1113.0,0.1881838074398249,True
AADACL2-AS1,15777.0,41571.0,0.2751098556183302,True
AADACL3,612.0,1252.0,0.3283261802575107,True
AADACL4,199.0,198.0,0.5012594458438288,False
AADAT,1774.0,2756.0,0.3916114790286976,False
AAED1,1900.0,2273.0,0.455307931943446,False
AAGAB,13245.0,25102.0,0.3453985970219313,True
AAK1,110859.0,264280.0,0.2955144626391817,True
AAMDC,5762.0,11964.0,0.3250592350220015,True
AAMP,6120.0,10087.0,0.3776146109705682,False
AANAT,80.0,162.0,0.3305785123966942,True
AAR2,2938.0,4891.0,0.3752714267467109,False
AARD,63.0,73.0,0.4632352941176471,False
AARS,10289.0,20705.0,0.331967477576305,True
AARS2,1415.0,3665.0,0.2785433070866142,True
AARSD1,756.0,1596.0,0.3214285714285714,True
AASDH,11677.0,24933.0,0.3189565692433761,True
AASDHPPT,7131.0,8916.0,0.4443821275004673,False
AASS,4338.0,8466.0,0.3388003748828491,True
AATBC,43.0,124.0,0.2574850299401197,True
AATF,21254.0,44220.0,0.3246174053822891,True
AATK,689.0,1597.0,0.3013998250218723,True
AB015752.1,554.0,1131.0,0.3287833827893175,True
ABALON,49.0,149.0,0.2474747474747475,True
ABAT,5408.0,10446.0,0.341112652958244,True
ABCA1,39521.0,78206.0,0.3357003915839187,True
ABCA10,4052.0,9638.0,0.2959824689554419,True
ABCA12,3344.0,8461.0,0.2832698009318085,True
ABCA13,681.0,941.0,0.4198520345252774,False
ABCA2,1111.0,2226.0,0.3329337728498651,True
ABCA3,875.0,1694.0,0.3405994550408719,True
ABCA4,3642.0,8017.0,0.3123767046916545,True
ABCA5,34527.0,75149.0,0.3148090739997812,True
ABCA6,1434.0,2283.0,0.3857949959644874,False
ABCA7,4871.0,9521.0,0.3384519177320734,True
ABCA8,1501.0,1970.0,0.4324402189570729,False
ABCA9,1330.0,2276.0,0.3688297282307266,False
ABCA9-AS1,625.0,1571.0,0.284608378870674,True
ABCB1,42418.0,90276.0,0.3196678071352133,True
ABCB10,8125.0,13253.0,0.3800636168023201,False
ABCB11,326.0,735.0,0.3072573044297832,True
ABCB4,1436.0,3695.0,0.2798674722276359,True
ABCB5,447.0,647.0,0.4085923217550274,False
ABCB6,222.0,419.0,0.3463338533541342,True
ABCB7,13058.0,23299.0,0.359160546799791,False
ABCB8,6677.0,14427.0,0.3163855193328279,True
ABCB9,1472.0,4426.0,0.2495761275008477,True
ABCC1,8553.0,19243.0,0.3077061447690315,True
ABCC10,3185.0,7379.0,0.3014956455887921,True
ABCC11,1185.0,2078.0,0.363162733680662,False
ABCC12,66.0,83.0,0.4429530201342282,False
ABCC2,2443.0,7471.0,0.2464192051644139,True
ABCC3,4971.0,11196.0,0.3074781963258489,True
ABCC4,8762.0,13209.0,0.398798416093942,False
ABCC5,12894.0,23720.0,0.3521603758125307,True
ABCC5-AS1,154.0,274.0,0.3598130841121495,False
ABCC6,480.0,1033.0,0.3172504957038995,True
ABCC8,208.0,438.0,0.3219814241486068,True
ABCC9,2843.0,12547.0,0.1847303443794672,True
ABCD1,4844.0,11064.0,0.304500880060347,True
ABCD2,528.0,753.0,0.4121779859484777,False
ABCD3,28724.0,55051.0,0.3428707848403461,True
ABCD4,6078.0,13185.0,0.315527176452266,True
ABCE1,9187.0,15779.0,0.3679804534166466,False
ABCF1,11090.0,23928.0,0.3166942715175053,True
ABCF2,582.0,1052.0,0.3561811505507956,False
ABCF2-1,447.0,704.0,0.3883579496090356,False
ABCF3,2783.0,5252.0,0.3463596764156814,True
ABCG1,3781.0,7777.0,0.3271327219242083,True
ABCG2,23910.0,48347.0,0.3309021963269994,True
ABCG4,49.0,124.0,0.2832369942196532,True
ABCG5,91.0,149.0,0.3791666666666666,False
ABCG8,87.0,180.0,0.3258426966292135,True
ABHD1,182.0,346.0,0.3446969696969697,True
ABHD10,2750.0,3899.0,0.413596029478117,False
ABHD11,9397.0,21168.0,0.3074431539342385,True
ABHD12,26897.0,63579.0,0.2972832574384367,True
ABHD12B,337.0,913.0,0.2696,True
ABHD13,4864.0,6599.0,0.4243217307860071,False
ABHD14A,658.0,1043.0,0.3868312757201646,False
ABHD14A-ACY1,152.0,276.0,0.3551401869158878,False
ABHD14B,921.0,1344.0,0.4066225165562914,False
ABHD15,1048.0,1576.0,0.399390243902439,False
ABHD15-AS1,5850.0,16892.0,0.257233312813297,True
ABHD16A,1412.0,2108.0,0.4011363636363636,False
ABHD16B,2.0,3.0,0.4,False
ABHD17A,9871.0,17138.0,0.3654707690029249,False
ABHD17B,6969.0,11755.0,0.3721961119418928,False
ABHD17C,21812.0,43650.0,0.3332009410039412,True
ABHD18,22175.0,41984.0,0.3456257111239265,True
ABHD2,11141.0,16140.0,0.4083794582310032,False
ABHD3,25021.0,48187.0,0.3417795869303901,True
ABHD4,1990.0,3652.0,0.3527118043247075,True
ABHD5,13706.0,26085.0,0.3444497499434545,True
ABHD6,1732.0,3256.0,0.3472333600641539,True
ABHD8,4119.0,9925.0,0.293292509256622,True
ABI1,43929.0,66236.0,0.398756410838288,False
ABI2,21536.0,38999.0,0.3557611299248369,False
ABI3,884.0,1251.0,0.4140515222482435,False
ABI3BP,39676.0,41878.0,0.4864997425019006,False
ABITRAM,415.0,642.0,0.3926206244087039,False
ABL1,39688.0,84182.0,0.3204004197949463,True
ABL2,21739.0,44149.0,0.3299386838271005,True
ABLIM1,11670.0,22566.0,0.34086926042762,True
ABLIM2,912.0,2409.0,0.2746160794941282,True
ABLIM3,4671.0,8379.0,0.3579310344827586,False
ABO,1352.0,1873.0,0.4192248062015504,False
ABR,10056.0,29054.0,0.257120940935822,True
ABRA,10.0,20.0,0.3333333333333333,True
ABRACL,5176.0,5378.0,0.4904301686564336,False
ABRAXAS1,2290.0,3399.0,0.402531200562489,False
ABRAXAS2,5635.0,11611.0,0.3267424330279485,True
ABT1,3209.0,4168.0,0.4350006777822963,False
ABTB1,2434.0,4862.0,0.3336074561403508,True
