,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
1,CCNB1,EVT_1,0.593055555555556,0.0610742795291571,0.272637795275591,0.0712408759124088,VCT_CCC,1.56666805603769,2.64168852540312,1.25001977900058e-299
2,VAV2,EVT_1,0.716666666666667,0.102854823433906,0.887323943661972,0.114585268745853,eEVT,1.55261248668977,2.16643602793922,0
3,COL27A1,EVT_1,0.8875,0.169395210391016,0.959229898074745,0.183118779031188,EVT_2,1.50663799046687,1.69762027094859,0
4,SLC2A3,EVT_1,0.802777777777778,0.157353538086862,0.750849377123443,0.169688122096881,EVT_2,1.42396168524551,1.77379310272797,1.16449995504996e-308
5,FHOD3,EVT_1,0.783333333333333,0.152726288729536,0.887323943661972,0.164777704047777,eEVT,1.41247373661145,1.80315796163164,1.36968397994661e-297
6,SLCO4A1,EVT_1,0.580555555555556,0.0782302800703558,0.704225352112676,0.0878301260783013,eEVT,1.41211472098548,2.43235071557308,2.40676201500991e-249
7,GREB1L,EVT_1,0.891666666666667,0.203680151535651,0.901408450704225,0.216828135368281,eEVT,1.3630464659196,1.52865024215283,0
8,LAMA4,EVT_1,0.622222222222222,0.10253010418076,0.661971830985915,0.112461844724618,eEVT,1.35964345867351,2.18514127286814,5.20167644283156e-239
9,AC064834.1,EVT_1,0.633333333333333,0.108916249492626,0.802816901408451,0.118938287989383,eEVT,1.34846198884875,2.12915050870855,1.59983363334088e-237
10,BRIP1,EVT_1,0.636111111111111,0.112028142335273,0.747,0.122043795620438,VCT_p,1.3379804107258,2.10337531817157,7.50328890444102e-235
11,HAPLN3,EVT_1,0.466666666666667,0.0506020836152077,0.5,0.0585534173855342,GC,1.32431405105125,2.83781582368125,6.68639109538678e-217
12,RASGRF2,EVT_1,0.927777777777778,0.229522392098498,0.97281993204983,0.242866622428666,EVT_2,1.31303088051443,1.41524286522513,0
13,MYCNOS,EVT_1,0.747222222222222,0.166066838046272,0.929577464788732,0.177173191771732,eEVT,1.29316335644683,1.73062754022625,1.00310180967054e-248
