,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
GSTA3,GSTA3,VCT,0.399476987447699,0.0748031496062992,0.0748031496062992,0.368286686838124,VCT_CCC,0.399035007621454,0.998893603786619,7.70542072724949e-111
NRCAM,NRCAM,VCT,0.376778242677824,0.094488188976378,0.094488188976378,0.349659606656581,VCT_CCC,0.395916750085787,1.0507951501444,1.04923697363799e-83
SEL1L3,SEL1L3,VCT,0.427824267782427,0.102362204724409,0.102362204724409,0.396558245083207,VCT_CCC,0.395708505656388,0.924932350629602,9.43292507154722e-104
LINC01725,LINC01725,VCT,0.407845188284519,0.12992125984252,0.12992125984252,0.381145990922844,VCT_CCC,0.393396374811799,0.964572798974302,7.81560942243851e-75
HIPK2,HIPK2,VCT,0.376046025104602,0.127952755905512,0.127952755905512,0.352212556732224,VCT_CCC,0.39241171029746,1.04352043127781,5.78251852268137e-62
RETREG1,RETREG1,VCT,0.343096234309623,0.093503937007874,0.093503937007874,0.319118759455371,VCT_CCC,0.39188175991781,1.14219195878484,9.16169972666057e-69
VSTM5,VSTM5,VCT,0.36673640167364,0.125,0.125,0.343513615733737,VCT_CCC,0.391868308130246,1.06852852987027,1.00221482024898e-59
C9orf72,C9orf72,VCT,0.379497907949791,0.136811023622047,0.136811023622047,0.356183812405446,VCT_CCC,0.391758860853674,1.03230835439943,1.85760293554913e-58
FAM3B,FAM3B,VCT,0.404393305439331,0.148622047244095,0.148622047244095,0.37982223903177,VCT_CCC,0.391473718892534,0.968051927732185,2.15458818494642e-62
AC124861.1,AC124861.1,VCT,0.352510460251046,0.113188976377953,0.113188976377953,0.329519667170953,VCT_CCC,0.391328643837067,1.11011923889684,1.3794517627662e-60
LINC01376,LINC01376,VCT,0.388493723849372,0.15748031496063,0.15748031496063,0.366301059001513,VCT_CCC,0.390164137355072,1.00429971812453,2.46388806334062e-51
SGK3,SGK3,VCT,0.407531380753138,0.163385826771654,0.163385826771654,0.384077155824508,VCT_CCC,0.389971595243685,0.956911819951138,6.20470753531872e-56
PIR,PIR,VCT,0.341945606694561,0.110236220472441,0.110236220472441,0.319686081694402,VCT_CCC,0.389960158726457,1.14041575938358,6.54378555193797e-58
F5,F5,VCT,0.459309623430962,0.135826771653543,0.135826771653543,0.428233736762481,VCT_CCC,0.389534115741454,0.848086118535254,3.66040230511852e-96
KIF26B,KIF26B,VCT,0.438912133891213,0.158464566929134,0.158464566929134,0.41197049924357,VCT_CCC,0.389228832316633,0.886803535974025,4.97948265707057e-72
TAPT1-AS1,TAPT1-AS1,VCT,0.422489539748954,0.169291338582677,0.169291338582677,0.398165658093797,VCT_CCC,0.389065181374625,0.92088713392954,5.0374876505068e-59
DGKH,DGKH,VCT,0.369142259414226,0.159448818897638,0.159448818897638,0.348997730711044,VCT_CCC,0.388592313036394,1.05268985906147,3.39603172442844e-43
NPAS3,NPAS3,VCT,0.393200836820084,0.175196850393701,0.175196850393701,0.372257942511346,VCT_CCC,0.388548591134343,0.98816827114773,8.62534116238425e-45
CDO1,CDO1,VCT,0.356380753138075,0.145669291338583,0.145669291338583,0.336138426626324,VCT_CCC,0.388537779607009,1.09023221985413,6.38786830948992e-45
PNP,PNP,VCT,0.375836820083682,0.166338582677165,0.166338582677165,0.35571104387292,VCT_CCC,0.388478674912569,1.03363655223049,1.65653219530975e-42
TTPA,TTPA,VCT,0.303451882845188,0.0383858267716535,0.0383858267716535,0.277987897125567,VCT_CCC,0.388472333975116,1.28017770175874,8.28208254993106e-94
PEX3,PEX3,VCT,0.370502092050209,0.16240157480315,0.16240157480315,0.350510590015129,VCT_CCC,0.388421188218419,1.04836435894074,2.31248740664572e-42
AC098864.1,AC098864.1,VCT,0.390481171548117,0.177165354330709,0.177165354330709,0.369988653555219,VCT_CCC,0.388248767215061,0.994282939881055,5.83158411736373e-43
NREP,NREP,VCT,0.329707112970711,0.105314960629921,0.105314960629921,0.308150529500756,VCT_CCC,0.388120294562376,1.17716688325391,9.70878083395995e-56
GLCE,GLCE,VCT,0.420397489539749,0.188976377952756,0.188976377952756,0.398165658093797,VCT_CCC,0.387138639253433,0.92088713392954,1.19554525531679e-48
CYFIP2,CYFIP2,VCT,0.403242677824268,0.19488188976378,0.19488188976378,0.383226172465961,VCT_CCC,0.386762123557581,0.959129935463159,6.25920144543105e-40
PTPN21,PTPN21,VCT,0.375523012552301,0.184055118110236,0.184055118110236,0.357129349470499,VCT_CCC,0.386659988427892,1.02965723937901,5.36726751149807e-35
AC007388.1,AC007388.1,VCT,0.366108786610879,0.177165354330709,0.177165354330709,0.347957639939486,VCT_CCC,0.386491721574238,1.05567453092849,1.16478897464194e-34
DSCAM,DSCAM,VCT,0.477824267782427,0.141732283464567,0.141732283464567,0.44553706505295,VCT_CCC,0.386308896895386,0.808474836760045,7.3341212441237e-102
NPL,NPL,VCT,0.495606694560669,0.117125984251969,0.117125984251969,0.459247352496218,VCT_CCC,0.385664437547619,0.778166319745723,2.06445756309437e-130
ANKRD30A,ANKRD30A,VCT,0.335878661087866,0.141732283464567,0.141732283464567,0.317227685325265,VCT_CCC,0.385634218748299,1.14813551268569,1.94885540356088e-39
AC010197.1,AC010197.1,VCT,0.323117154811715,0.116141732283465,0.116141732283465,0.303233736762481,VCT_CCC,0.385559985193346,1.19325136239831,3.65989124606046e-47
AC053527.1,AC053527.1,VCT,0.324372384937238,0.122047244094488,0.122047244094488,0.304935703479576,VCT_CCC,0.38524226843136,1.18765433286159,1.24641372510939e-44
AC107419.1,AC107419.1,VCT,0.338598326359833,0.151574803149606,0.151574803149606,0.320631618759455,VCT_CCC,0.385142871697635,1.13746241996583,4.65634604906801e-36
TMEM8A,TMEM8A,VCT,0.353870292887029,0.176181102362205,0.176181102362205,0.336800302571861,VCT_CCC,0.385104689053579,1.08826509824186,3.75270567272017e-31
IQGAP2,IQGAP2,VCT,0.369769874476987,0.195866141732283,0.195866141732283,0.353063540090772,VCT_CCC,0.384970092708571,1.0411072379898,7.88924148893707e-29
SCIN,SCIN,VCT,0.366945606694561,0.193897637795276,0.193897637795276,0.350321482602118,VCT_CCC,0.384890723583616,1.04890402436128,1.09845404418842e-28
AASDH,AASDH,VCT,0.370502092050209,0.198818897637795,0.198818897637795,0.354009077155825,VCT_CCC,0.38474149687842,1.03843272449398,5.08539825612072e-28
AC023905.1,AC023905.1,VCT,0.350627615062762,0.179133858267717,0.179133858267717,0.334152798789713,VCT_CCC,0.38434288281151,1.09615690921183,4.42943040947044e-29
TSGA10,TSGA10,VCT,0.410774058577406,0.219488188976378,0.219488188976378,0.392397881996974,VCT_CCC,0.38427048453971,0.935478948866724,6.5666521900063e-33
KANSL1L,KANSL1L,VCT,0.379811715481172,0.211614173228346,0.211614173228346,0.363653555219365,VCT_CCC,0.384199921768629,1.01155363594274,2.10609131919049e-26
EVA1A,EVA1A,VCT,0.458054393305439,0.18996062992126,0.18996062992126,0.432299546142209,VCT_CCC,0.384141150240278,0.838636537176766,2.34693084666997e-63
MPP1,MPP1,VCT,0.443723849372385,0.204724409448819,0.204724409448819,0.420763993948563,VCT_CCC,0.384124276042058,0.865683186931182,2.10148118250121e-50
DUBR,DUBR,VCT,0.407322175732218,0.221456692913386,0.221456692913386,0.38946671709531,VCT_CCC,0.384095389398544,0.942976867655387,3.90083188323467e-31
AC009226.1,AC009226.1,VCT,0.325418410041841,0.135826771653543,0.135826771653543,0.307204992435703,VCT_CCC,0.384071832866107,1.18024002642237,1.83356713725458e-38
EPB41L4A,EPB41L4A,VCT,0.457845188284519,0.190944881889764,0.190944881889764,0.432204992435703,VCT_CCC,0.384065855336434,0.838855283759723,9.27419088416571e-63
ZSWIM7,ZSWIM7,VCT,0.349372384937238,0.181102362204724,0.181102362204724,0.33320726172466,VCT_CCC,0.383956958223664,1.0989905750354,5.20577173293672e-28
TNIK,TNIK,VCT,0.431380753138075,0.215551181102362,0.215551181102362,0.410646747352496,VCT_CCC,0.383938330281549,0.890021929556646,2.95608584090954e-41
GRAMD1C,GRAMD1C,VCT,0.348953974895397,0.181102362204724,0.181102362204724,0.332829046898638,VCT_CCC,0.38389344300353,1.10012629349932,6.89029720243467e-28
IGDCC3,IGDCC3,VCT,0.328556485355649,0.144685039370079,0.144685039370079,0.31089258698941,VCT_CCC,0.383855106525132,1.1683078059154,1.23447049549264e-35
ARHGAP12,ARHGAP12,VCT,0.400313807531381,0.223425196850394,0.223425196850394,0.383320726172466,VCT_CCC,0.383854198812692,0.958883235079522,2.232916524946e-28
FGFR2,FGFR2,VCT,0.329916317991632,0.147637795275591,0.147637795275591,0.312405446293495,VCT_CCC,0.383842270939246,1.1634534274506,7.64655153522364e-35
DNMT3A,DNMT3A,VCT,0.421443514644351,0.22244094488189,0.22244094488189,0.40232602118003,VCT_CCC,0.383721168143034,0.910492521083993,3.19248800994142e-35
TMC5,TMC5,VCT,0.339539748953975,0.168307086614173,0.168307086614173,0.323090015128593,VCT_CCC,0.383620262571409,1.12982430997618,1.02620706717268e-29
PSTPIP2,PSTPIP2,VCT,0.373221757322176,0.21259842519685,0.21259842519685,0.357791225416036,VCT_CCC,0.383599424130699,1.0278056319197,2.95319594276889e-24
SLC1A2,SLC1A2,VCT,0.289225941422594,0.0433070866141732,0.0433070866141732,0.265601361573374,VCT_CCC,0.383443818225907,1.32575873498722,4.64328030519829e-82
SLC45A4,SLC45A4,VCT,0.371443514644351,0.213582677165354,0.213582677165354,0.356278366111952,VCT_CCC,0.38334565184408,1.03204292639521,1.80300983597505e-23
LINC01524,LINC01524,VCT,0.418200836820084,0.227362204724409,0.227362204724409,0.399867624810893,VCT_CCC,0.383331972283125,0.916621724618979,2.11052984031114e-32
KRAS,KRAS,VCT,0.401150627615063,0.229330708661417,0.229330708661417,0.38464447806354,VCT_CCC,0.383273672790771,0.955435804923017,1.10925806312327e-26
RETREG3,RETREG3,VCT,0.358577405857741,0.200787401574803,0.200787401574803,0.343419062027231,VCT_CCC,0.383248901996374,1.06880382237028,5.23425490434834e-24
ADCY7,ADCY7,VCT,0.324163179916318,0.141732283464567,0.141732283464567,0.306637670196672,VCT_CCC,0.38318955276936,1.18208845578415,1.94789941900113e-35
TESK2,TESK2,VCT,0.406485355648536,0.231299212598425,0.231299212598425,0.389655824508321,VCT_CCC,0.383108964425188,0.94249143075265,1.4483399950017e-27
DNMBP,DNMBP,VCT,0.381171548117155,0.224409448818898,0.224409448818898,0.366111951588502,VCT_CCC,0.383007313630186,1.004816113695,9.38754612018909e-23
KREMEN1,KREMEN1,VCT,0.367677824267782,0.213582677165354,0.213582677165354,0.352874432677761,VCT_CCC,0.382989031949444,1.04164300012423,1.82408368447844e-22
SYT7,SYT7,VCT,0.396234309623431,0.231299212598425,0.231299212598425,0.380389561270802,VCT_CCC,0.382983992662833,0.966559390141679,1.07426252561816e-24
ZC3H6,ZC3H6,VCT,0.375313807531381,0.220472440944882,0.220472440944882,0.360438729198185,VCT_CCC,0.382982706147985,1.02043329731737,2.15034544530767e-22
ARRDC3,ARRDC3,VCT,0.360041841004184,0.205708661417323,0.205708661417323,0.345215582450832,VCT_CCC,0.382935526470725,1.06358618043583,7.38573576205702e-23
CAPRIN2,CAPRIN2,VCT,0.305020920502092,0.0964566929133858,0.0964566929133858,0.284984871406959,VCT_CCC,0.382898612693625,1.25531918290503,6.49805687019079e-51
DYSF,DYSF,VCT,0.450836820083682,0.210629921259843,0.210629921259843,0.427760968229955,VCT_CCC,0.382846446038391,0.849190724855457,1.78182763051402e-50
LINC00467,LINC00467,VCT,0.338075313807531,0.174212598425197,0.174212598425197,0.322333585476551,VCT_CCC,0.382758149908987,1.13216828995356,3.86303597630177e-27
PCMTD2,PCMTD2,VCT,0.331276150627615,0.163385826771654,0.163385826771654,0.315147503782148,VCT_CCC,0.382529369261827,1.15471448378373,4.84784528689357e-29
LRRC37A3,LRRC37A3,VCT,0.380753138075314,0.231299212598425,0.231299212598425,0.366395612708018,VCT_CCC,0.382291997688978,1.00404162030402,1.23372511956597e-20
WDSUB1,WDSUB1,VCT,0.356276150627615,0.208661417322835,0.208661417322835,0.342095310136157,VCT_CCC,0.382165276384936,1.07266589613623,5.46720055712507e-21
ACSF2,ACSF2,VCT,0.436192468619247,0.230314960629921,0.230314960629921,0.416414523449319,VCT_CCC,0.382136908778023,0.876074064248897,4.25661314555031e-37
ACO1,ACO1,VCT,0.326150627615063,0.158464566929134,0.158464566929134,0.310041603630862,VCT_CCC,0.381938296276107,1.17104878524682,2.4679838524777e-29
ZBTB46,ZBTB46,VCT,0.333995815899582,0.175196850393701,0.175196850393701,0.318740544629349,VCT_CCC,0.381883416842646,1.14337784685741,1.26181586400592e-25
RNF170,RNF170,VCT,0.356903765690377,0.21259842519685,0.21259842519685,0.34304084720121,VCT_CCC,0.381853391414453,1.06990575085644,5.20074181098193e-20
ARHGAP28,ARHGAP28,VCT,0.389435146443515,0.241141732283465,0.241141732283465,0.375189107413011,VCT_CCC,0.381773046422134,0.980325093686704,4.79343423279852e-20
AMMECR1,AMMECR1,VCT,0.399267782426778,0.244094488188976,0.244094488188976,0.384360816944024,VCT_CCC,0.381769288974705,0.956173540109556,1.10503609471387e-21
BCL2L1,BCL2L1,VCT,0.335774058577406,0.18011811023622,0.18011811023622,0.320820726172466,VCT_CCC,0.381732393238099,1.13687279730724,1.82165278138654e-24
IDH1,IDH1,VCT,0.442782426778243,0.229330708661417,0.229330708661417,0.422276853252648,VCT_CCC,0.381720130856019,0.862094129691364,1.04493293207275e-39
OLR1,OLR1,VCT,0.487029288702929,0.171259842519685,0.171259842519685,0.456694402420575,VCT_CCC,0.381704731873558,0.783740815444849,2.21874700919226e-87
CMC1,CMC1,VCT,0.425627615062762,0.241141732283465,0.241141732283465,0.407904689863843,VCT_CCC,0.381669533503587,0.896721735142366,6.69924070857968e-30
MREG,MREG,VCT,0.366317991631799,0.226377952755905,0.226377952755905,0.352874432677761,VCT_CCC,0.381572571802831,1.04164300012423,1.77159871530502e-18
GNG12-AS1,GNG12-AS1,VCT,0.374163179916318,0.234251968503937,0.234251968503937,0.3607223903177,VCT_CCC,0.381514221121328,1.01964661837291,3.09603892204255e-18
MDFIC,MDFIC,VCT,0.390376569037657,0.24507874015748,0.24507874015748,0.376418305597579,VCT_CCC,0.381419081620102,0.97705423909115,3.30211619534629e-19
BCAM,BCAM,VCT,0.375,0.236220472440945,0.236220472440945,0.361667927382753,VCT_CCC,0.381385805936562,1.01702881583083,6.42032359827563e-18
MANBA,MANBA,VCT,0.384309623430962,0.243110236220472,0.243110236220472,0.370745083207262,VCT_CCC,0.381327595889333,0.992240559799136,2.7344762912092e-18
NR3C2,NR3C2,VCT,0.360983263598326,0.223425196850394,0.223425196850394,0.347768532526475,VCT_CCC,0.38127707735939,1.0562181569272,5.15723004108613e-18
TMEM266,TMEM266,VCT,0.353347280334728,0.213582677165354,0.213582677165354,0.339920574886536,VCT_CCC,0.381277012569131,1.07904329193632,7.35793739963209e-19
ATP6AP1L,ATP6AP1L,VCT,0.375418410041841,0.238188976377953,0.238188976377953,0.362235249621785,VCT_CCC,0.381222910775695,1.01546141739082,1.66742387941707e-17
GSR,GSR,VCT,0.325836820083682,0.165354330708661,0.165354330708661,0.310419818456883,VCT_CCC,0.381173571432789,1.16982964458987,1.01555094231836e-26
MYO7A,MYO7A,VCT,0.382322175732218,0.244094488188976,0.244094488188976,0.369043116490166,VCT_CCC,0.381114723891126,0.996841794910853,1.41223108321722e-17
TEC,TEC,VCT,0.297384937238494,0.0915354330708661,0.0915354330708661,0.277609682299546,VCT_CCC,0.381110446340076,1.28153917235706,9.74632439772248e-51
MFF,MFF,VCT,0.367259414225941,0.232283464566929,0.232283464566929,0.35429273827534,VCT_CCC,0.381080033570973,1.03763176329778,3.72338653207097e-17
KAT2B,KAT2B,VCT,0.336297071129707,0.187992125984252,0.187992125984252,0.322049924357035,VCT_CCC,0.381040959549509,1.13304870086883,4.59719107857411e-22
SVEP1,SVEP1,VCT,0.356380753138075,0.220472440944882,0.220472440944882,0.343324508320726,VCT_CCC,0.38099924713776,1.06907919067713,1.00961223862759e-17
CR381653.1,CR381653.1,VCT,0.393619246861925,0.251968503937008,0.251968503937008,0.380011346444781,VCT_CCC,0.380847942765465,0.967554167642266,3.66371432018274e-18
AC097478.1,AC097478.1,VCT,0.510146443514644,0.134842519685039,0.134842519685039,0.474092284417549,VCT_CCC,0.38074947311833,0.746353283373229,3.99530976603871e-125
CCDC32,CCDC32,VCT,0.363179916317992,0.231299212598425,0.231299212598425,0.350510590015129,VCT_CCC,0.380744880150861,1.04836435894074,1.75764143648935e-16
SIGLEC6,SIGLEC6,VCT,0.396338912133891,0.253937007874016,0.253937007874016,0.382658850226929,VCT_CCC,0.380727684082627,0.960611417215602,2.7344762912092e-18
ZNF354B,ZNF354B,VCT,0.454811715481172,0.228346456692913,0.228346456692913,0.433055975794251,VCT_CCC,0.380626596559322,0.836888284983237,2.50393303894025e-44
