,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
1,SEL1L3,VCT,0.406216931216931,0.0948667966211826,0.102362204724409,0.353555335751181,VCT_CCC,0.422349945960363,1.03971526911766,4.55984107442302e-139
2,LINC01725,VCT,0.437169312169312,0.108512020792723,0.12992125984252,0.38158039344983,VCT_CCC,0.421183656945128,0.96343372057645,3.7057525311894e-147
3,F5,VCT,0.444708994708995,0.12735542560104,0.135826771653543,0.391031981536433,VCT_CCC,0.417566593965095,0.93896592813091,2.46123141750589e-133
4,VSTM5,VCT,0.363359788359788,0.0948667966211826,0.125,0.31794702714584,VCT_CCC,0.416363259235765,1.14587049138056,2.45340736138877e-109
5,DSCAM,VCT,0.482936507936508,0.128654970760234,0.141732283464567,0.423013517969008,VCT_CCC,0.415494976634831,0.860351143072945,8.07188730422628e-161
6,TAPT1-AS1,VCT,0.424470899470899,0.137102014294997,0.169291338582677,0.375865479723047,VCT_CCC,0.41535494812921,0.97852396630004,2.65965553223409e-110
7,AC008591.1,VCT,0.449074074074074,0.152696556205328,0.192913385826772,0.398944939004286,VCT_CCC,0.41266847825225,0.918931869097794,4.86782506917817e-113
8,AC124861.1,VCT,0.367063492063492,0.11825860948668,0.12810707456979,0.324980767117266,VCT_fusing,0.412575428875555,1.12398927650421,2.99666711038547e-90
9,AC098864.1,VCT,0.403571428571429,0.15009746588694,0.177165354330709,0.36069897790966,VCT_CCC,0.411526436756614,1.01971152470665,1.90607814557175e-86
10,NPL,VCT,0.507010582010582,0.138401559454191,0.179732313575526,0.444664248818551,VCT_fusing,0.410899515804889,0.810435778629,9.13752791784826e-170
11,TNIK,VCT,0.442328042328042,0.165042235217674,0.215551181102362,0.395428069018573,VCT_CCC,0.410385933980653,0.927786381846212,1.99737857838499e-98
12,MAPK4,VCT,0.482804232804233,0.1591942820013,0.187992125984252,0.42806901857347,VCT_CCC,0.409645312022384,0.848470838051842,1.08301173714399e-130
13,ANKRD44,VCT,0.473941798941799,0.163092917478882,0.184055118110236,0.421364985163205,VCT_CCC,0.409606983077671,0.864255872751101,6.03715954911378e-121
14,MAP7D2,VCT,0.468121693121693,0.167641325536062,0.205708661417323,0.417298604242224,VCT_CCC,0.409116468603966,0.873953236124889,4.51310076579866e-113
15,FAM3B,VCT,0.391534391534392,0.157244964262508,0.173996175908222,0.351906802945379,VCT_fusing,0.408914173583081,1.04438890280003,2.86297276077831e-74
16,AC007388.1,VCT,0.388359788359788,0.156595191682911,0.177165354330709,0.349159248269041,VCT_CCC,0.408642717974596,1.05222716208717,5.61780184767816e-73
17,AC097478.1,VCT,0.526190476190476,0.135152696556205,0.135755258126195,0.460050555006045,VCT_fusing,0.408544227215511,0.776418893350746,1.65506146703587e-189
18,KIF26B,VCT,0.412301587301587,0.169590643274854,0.191204588910134,0.371249587866799,VCT_fusing,0.408541685019649,0.990880698988945,3.92200959296802e-77
19,C9orf72,VCT,0.399603174603175,0.164392462638077,0.217973231357553,0.359819760413232,VCT_fusing,0.40845519948198,1.02215203842561,1.04345680023889e-73
20,RETREG1,VCT,0.316798941798942,0.0740740740740741,0.093503937007874,0.275744587317288,VCT_CCC,0.408125819937393,1.28828024999027,5.1625731148556e-100
21,AP002026.1,VCT,0.483333333333333,0.16829109811566,0.231299212598425,0.430047257940433,VCT_CCC,0.407865750837368,0.843860174146278,5.92036253381139e-123
22,NPAS3,VCT,0.408068783068783,0.175438596491228,0.175908221797323,0.368721837564568,VCT_fusing,0.40713542650047,0.997712746950909,8.56967199320929e-71
23,CYFIP2,VCT,0.391269841269841,0.166991552956465,0.19488188976378,0.353335531377074,VCT_CCC,0.407052555337056,1.04033715968497,1.8830725458617e-67
24,NFIA,VCT,0.454761904761905,0.182586094866797,0.220472440944882,0.40872623365205,VCT_CCC,0.406879888486761,0.894709702431621,1.29570675917573e-92
25,IDH1,VCT,0.437698412698413,0.183885640025991,0.229330708661417,0.394768655896252,VCT_CCC,0.406821138781295,0.929455366934601,1.64364045832207e-81
26,AC023905.1,VCT,0.346428571428571,0.12735542560104,0.179133858267717,0.309374656555665,VCT_CCC,0.406430781467647,1.1732022557829,4.26021502802845e-71
27,DGKH,VCT,0.348412698412698,0.134502923976608,0.159448818897638,0.312232113419057,VCT_CCC,0.405555312671904,1.1640084145025,5.4802711840148e-67
28,AC053527.1,VCT,0.342328042328042,0.126705653021442,0.135755258126195,0.305857786569953,VCT_fusing,0.40553379234684,1.1846350348308,2.37871705117064e-69
29,SGK3,VCT,0.371296296296296,0.165042235217674,0.168260038240918,0.336410594570832,VCT_fusing,0.404498672057336,1.08942285741128,1.85876772318314e-58
30,NREP,VCT,0.316534391534392,0.0929174788823912,0.105314960629921,0.278711946367733,VCT_CCC,0.404396893988543,1.27757648079957,7.39085177315711e-82
31,ANKRD30A,VCT,0.325529100529101,0.10916179337232,0.141732283464567,0.28893284976371,VCT_CCC,0.404164226345711,1.24156097162681,1.7909580526667e-73
32,ARHGAP28,VCT,0.388359788359788,0.183235867446394,0.241141732283465,0.353665237938235,VCT_CCC,0.40366289952508,1.03940446880436,8.42037184921905e-56
33,ACSF2,VCT,0.426322751322751,0.201429499675114,0.230314960629921,0.388284426860095,VCT_CCC,0.403308633759139,0.946017148997546,8.58329448615895e-64
34,PSTPIP2,VCT,0.362433862433862,0.165042235217674,0.21259842519685,0.329047148038246,VCT_CCC,0.402864893382712,1.11155423137712,3.9393171782204e-54
35,L1TD1,VCT,0.509920634920635,0.178687459389214,0.228346456692913,0.453896032531047,VCT_CCC,0.402779736851616,0.789887110401612,7.91066603795961e-133
36,NRCAM,VCT,0.351190476190476,0.15464587394412,0.27151051625239,0.31794702714584,VCT_fusing,0.402418803520552,1.14587049138056,4.82789043896654e-55
37,SLC27A2,VCT,0.533597883597884,0.161143599740091,0.21259842519685,0.470601164963183,VCT_CCC,0.402196377771599,0.753744327207063,6.45509376076743e-168
38,ATP7B,VCT,0.416798941798942,0.205328135152697,0.286417322834646,0.381030882514562,VCT_CCC,0.402158816728363,0.964874850671667,9.96947209037966e-57
