,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
ADAM28,ADAM28,EVT_2,0.345413363533409,0.0563380281690141,0.0563380281690141,0.323899371069182,eEVT,0.389392220088239,1.12732239455054,5.77692213510844e-05
PGPEP1,PGPEP1,EVT_2,0.336353340883352,0.0985915492957746,0.0985915492957746,0.318658280922432,eEVT,0.384665779278022,1.14363597004206,0.00831193984091781
EGLN3,EGLN3,EVT_2,0.446206115515289,0.140845070422535,0.140845070422535,0.423480083857442,eEVT,0.383402066403094,0.859248793487136,0.000248782886082519
NLGN2,NLGN2,EVT_2,0.298980747451869,0.028169014084507,0.028169014084507,0.278825995807128,eEVT,0.381848452711188,1.27716736266659,4.51491998283151e-05
RFK,RFK,EVT_2,0.27519818799547,0.0563380281690141,0.0563380281690141,0.258909853249476,eEVT,0.371868523625521,1.35127533482031,0.00756100667739792
FOSB,FOSB,EVT_2,0.494903737259343,0.225352112676056,0.225352112676056,0.474842767295597,eEVT,0.368590221502622,0.744771545965253,0.00827762961075845
FAM89A,FAM89A,EVT_2,0.55832389580974,0.267605633802817,0.267605633802817,0.536687631027254,eEVT,0.347466760905468,0.622339046408779,0.00270823323826428
RFX2,RFX2,EVT_2,0.578708946772367,0.211267605633803,0.211267605633803,0.551362683438155,eEVT,0.344541581428205,0.595362458710577,6.1985153520128e-06
SLCO2B1,SLCO2B1,EVT_2,0.567383918459796,0.267605633802817,0.267605633802817,0.545073375262054,eEVT,0.344308340652638,0.606834859872813,0.00139132668305659
ZNF486,ZNF486,EVT_2,0.595696489241223,0.267605633802817,0.267605633802817,0.571278825995807,eEVT,0.33351728560468,0.559877876785042,0.000175459501954366
AC245041.2,AC245041.2,EVT_2,0.59682899207248,0.323943661971831,0.323943661971831,0.576519916142558,eEVT,0.328700817925111,0.55074539322177,0.00885489371069939
XACT,XACT,EVT_2,0.621744054360136,0.253521126760563,0.253521126760563,0.594339622641509,eEVT,0.323496147087852,0.520304367720534,6.1985153520128e-06
ACOT11,ACOT11,EVT_2,0.167610419026048,0,0,0.155136268343816,eEVT,0.312333869600518,1.86345139768417,0.0055522077980397
IGFBP3,IGFBP3,EVT_2,0.665911664779162,0.295774647887324,0.295774647887324,0.638364779874214,eEVT,0.298891390031906,0.44884540373839,6.1985153520128e-06
GRAMD2B,GRAMD2B,EVT_2,0.694224235560589,0.380281690140845,0.380281690140845,0.670859538784067,eEVT,0.277131187421258,0.399195495094569,0.000350005942677958
FOSL2,FOSL2,EVT_2,0.714609286523216,0.338028169014085,0.338028169014085,0.686582809224319,eEVT,0.268713412228794,0.376028435813035,2.48436246854599e-06
SLC2A3,SLC2A3,EVT_2,0.750849377123443,0.183098591549296,0.183098591549296,0.708595387840671,eEVT,0.258645531997428,0.344470595405322,3.84109314243708e-17
CMTM4,CMTM4,EVT_2,0.764439411098528,0.47887323943662,0.47887323943662,0.743186582809224,eEVT,0.226891843508955,0.296808144916159,0.00113885860136129
DIO2,DIO2,EVT_2,0.841449603624009,0.549295774647887,0.549295774647887,0.819706498951782,eEVT,0.167287696105222,0.198808930902975,9.07845436475458e-05
FGD4,FGD4,EVT_2,0.869762174405436,0.619718309859155,0.619718309859155,0.851153039832285,eEVT,0.140173769454264,0.161163331286609,0.000893392530877986
JAK1,JAK1,EVT_2,0.927519818799547,0.605633802816901,0.605633802816901,0.90356394129979,eEVT,0.094058301520478,0.101408400784593,1.17822510299038e-08
XYLT1,XYLT1,EVT_2,0.928652321630804,0.676056338028169,0.676056338028169,0.909853249475891,eEVT,0.0877316020001222,0.0944719567879364,1.69070795126089e-05
PCSK6,PCSK6,EVT_2,0.92638731596829,0.732394366197183,0.732394366197183,0.911949685534591,eEVT,0.0853855448653675,0.0921704597996571,0.00413540217431291
RASGRF2,RASGRF2,EVT_2,0.97281993204983,0.633802816901408,0.633802816901408,0.947589098532495,eEVT,0.0523710908235543,0.05383431105611,1.88651016538837e-14
JAG1,JAG1,eEVT,0.52112676056338,0.0226500566251416,0.0226500566251416,0.059748427672956,EVT_2,1.46833322441843,2.81761240361374,5.58299077605972e-28
NCAM1,NCAM1,eEVT,0.676056338028169,0.0973952434881087,0.0973952434881087,0.140461215932914,EVT_2,1.32697951875879,1.96282387149738,6.9470542924568e-24
GGT2,GGT2,eEVT,0.549295774647887,0.0656851642129105,0.0656851642129105,0.10167714884696,EVT_2,1.2556641552796,2.2859526929449,4.65808974213952e-20
EIF4E1B,EIF4E1B,eEVT,0.352112676056338,0.00226500566251416,0.00226500566251416,0.0283018867924528,EVT_2,1.25522070614224,3.56482680544396,3.18632315674935e-24
TLL1,TLL1,eEVT,0.647887323943662,0.110985277463194,0.110985277463194,0.150943396226415,EVT_2,1.22505798741021,1.89085037187229,4.41628725484504e-20
PRUNE2,PRUNE2,eEVT,0.676056338028169,0.122310305775764,0.122310305775764,0.163522012578616,EVT_2,1.22420799833155,1.81080766419875,1.53943662089701e-20
AC023905.1,AC023905.1,eEVT,0.47887323943662,0.0486976217440544,0.0486976217440544,0.0807127882599581,EVT_2,1.20525606318615,2.5168582495946,1.89851921963908e-18
SLC5A5,SLC5A5,eEVT,0.380281690140845,0.0169875424688562,0.0169875424688562,0.0440251572327044,EVT_2,1.18761745683736,3.12299405316492,2.92117007410021e-19
PLPP3,PLPP3,eEVT,0.633802816901408,0.124575311438279,0.124575311438279,0.162473794549266,EVT_2,1.15177091484235,1.81723855452904,1.02556007224379e-17
FAM81A,FAM81A,eEVT,0.422535211267606,0.0373725934314836,0.0373725934314836,0.0660377358490566,EVT_2,1.14825166692539,2.71752894505675,6.33037717836329e-17
PCA3,PCA3,eEVT,0.436619718309859,0.044167610419026,0.044167610419026,0.0733752620545073,EVT_2,1.14052424382207,2.61216842939893,1.62791843324705e-16
SULT1A2,SULT1A2,eEVT,0.295774647887324,0.00113250283125708,0.00113250283125708,0.0230607966457023,EVT_2,1.11495838844915,3.76962121808997,1.42294501421047e-20
CGNL1,CGNL1,eEVT,0.450704225352113,0.0611551528878822,0.0611551528878822,0.090146750524109,EVT_2,1.08453695783427,2.40631637519478,1.80234045012108e-14
