,Empty_droplet_sum,Nuclei_sum,Soup_probability
A1BG,871.0,1068.0,0.4492006188757091
A1BG-AS1,840.0,1766.0,0.32233307751343054
A1CF,96.0,98.0,0.4948453608247423
A2M,17142.0,20628.0,0.4538522637013503
A2M-AS1,137.0,204.0,0.40175953079178883
A2ML1,507.0,1242.0,0.28987993138936535
A2ML1-AS1,32386.0,69432.0,0.3180773537095602
A3GALT2,189.0,386.0,0.32869565217391306
A4GALT,3009.0,6350.0,0.32150870819532
A4GNT,15.0,23.0,0.39473684210526316
AAAS,3878.0,7384.0,0.3443438110459954
AACS,6031.0,15636.0,0.2783495638528638
AADAC,374.0,871.0,0.3004016064257028
AADACL2,258.0,1113.0,0.18818380743982493
AADACL2-AS1,15777.0,41571.0,0.2751098556183302
AADACL3,612.0,1252.0,0.3283261802575107
AADACL4,199.0,198.0,0.5012594458438288
AADAT,1774.0,2756.0,0.3916114790286976
AAED1,1900.0,2273.0,0.455307931943446
AAGAB,13245.0,25102.0,0.3453985970219313
AAK1,110859.0,264280.0,0.29551446263918174
AAMDC,5762.0,11964.0,0.32505923502200157
AAMP,6120.0,10087.0,0.37761461097056825
AANAT,80.0,162.0,0.3305785123966942
AAR2,2938.0,4891.0,0.37527142674671093
AARD,63.0,73.0,0.4632352941176471
AARS,10289.0,20705.0,0.33196747757630507
AARS2,1415.0,3665.0,0.2785433070866142
AARSD1,756.0,1596.0,0.32142857142857145
AASDH,11677.0,24933.0,0.3189565692433761
AASDHPPT,7131.0,8916.0,0.44438212750046735
AASS,4338.0,8466.0,0.3388003748828491
AATBC,43.0,124.0,0.25748502994011974
AATF,21254.0,44220.0,0.32461740538228917
AATK,689.0,1597.0,0.3013998250218723
AB015752.1,554.0,1131.0,0.3287833827893175
ABALON,49.0,149.0,0.2474747474747475
ABAT,5408.0,10446.0,0.341112652958244
ABCA1,39521.0,78206.0,0.33570039158391873
ABCA10,4052.0,9638.0,0.29598246895544195
ABCA12,3344.0,8461.0,0.28326980093180854
ABCA13,681.0,941.0,0.4198520345252774
ABCA2,1111.0,2226.0,0.33293377284986514
ABCA3,875.0,1694.0,0.3405994550408719
ABCA4,3642.0,8017.0,0.3123767046916545
ABCA5,34527.0,75149.0,0.3148090739997812
ABCA6,1434.0,2283.0,0.38579499596448746
ABCA7,4871.0,9521.0,0.3384519177320734
ABCA8,1501.0,1970.0,0.4324402189570729
ABCA9,1330.0,2276.0,0.3688297282307266
ABCA9-AS1,625.0,1571.0,0.284608378870674
ABCB1,42418.0,90276.0,0.31966780713521337
ABCB10,8125.0,13253.0,0.38006361680232015
ABCB11,326.0,735.0,0.3072573044297832
ABCB4,1436.0,3695.0,0.2798674722276359
ABCB5,447.0,647.0,0.4085923217550274
ABCB6,222.0,419.0,0.3463338533541342
ABCB7,13058.0,23299.0,0.359160546799791
ABCB8,6677.0,14427.0,0.3163855193328279
ABCB9,1472.0,4426.0,0.24957612750084773
ABCC1,8553.0,19243.0,0.3077061447690315
ABCC10,3185.0,7379.0,0.3014956455887921
ABCC11,1185.0,2078.0,0.363162733680662
ABCC12,66.0,83.0,0.4429530201342282
ABCC2,2443.0,7471.0,0.24641920516441396
ABCC3,4971.0,11196.0,0.30747819632584894
ABCC4,8762.0,13209.0,0.398798416093942
ABCC5,12894.0,23720.0,0.35216037581253073
ABCC5-AS1,154.0,274.0,0.3598130841121495
ABCC6,480.0,1033.0,0.3172504957038995
ABCC8,208.0,438.0,0.3219814241486068
