Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
QSOX1,1.67826685143929,0,0,2.304387,0.628333,0.970694,0.491551
MYCNUT,1.43213883337508,0,0,1.619665,0.271321,0.937039,0.198043
TFPI,1.77741570283762,0,0,2.588081,0.783655,0.964265,0.617848
HAPLN3,1.31918561056566,0,0,1.59875,0.20954,0.812441,0.192707
AIF1L,0.976516821083552,0,0,1.137791,0.141686,0.840424,0.20338
PAGE4,-1.68203894762625,0,0,0.46896,2.070909,0.546984,0.734361
SPINT1,-0.934414700343747,0,0,0.13815,1.036222,0.2993,0.677438
KRT23,-0.983209447043375,0,0,0.145179,1.096322,0.291548,0.673288
HLA-G,1.66339775142467,0,0,2.10029,0.385512,0.851579,0.303291
GLIPR1,1.00027675625491,0,0,1.157473,0.126497,0.787105,0.153276
SLC16A3,1.10851365715087,0,0,2.082432,0.897528,0.896578,0.640972
C12orf75,1.08601648584849,0,0,1.80082,0.660625,0.90225,0.567151
DIO2,1.04676159478311,0,0,1.384243,0.352874,0.904141,0.303587
PGF,1.13965378739805,0,0,2.10773,0.913579,0.917754,0.684554
JPT1,1.09475198523755,0,0,1.992048,0.8012,0.873889,0.618441
PEG10,-1.12821966301054,0,0,0.21365,1.32919,0.348648,0.702639
TGFB1,0.90782574222221,0,0,1.26145,0.35593,0.903195,0.324933
PDLIM1,-0.808326697349368,0,0,0.258041,1.033109,0.458121,0.705307
NOTUM,1.38512211025353,0,0,1.683717,0.375626,0.889015,0.268011
TINAGL1,-0.922657183981934,0,0,0.401153,1.279788,0.528833,0.764601
SRI,0.956636539710162,0,0,2.06213,0.982925,0.854226,0.667358
PLAC8,0.959003010339174,0,0,1.474059,0.464054,0.868973,0.41684
HTRA4,1.0769784310026,0,0,1.22441,0.219999,0.79013,0.188556
MEST,-0.816499852284055,0,0,0.206468,0.995742,0.34827,0.657278
CA2,0.761182941680061,0,0,1.015225,0.211066,0.76177,0.290839
ADAM12,0.954200933958647,0,0,1.830241,1.090978,0.929287,0.501334
C1QTNF6,0.73335935134821,0,0,1.060861,0.29139,0.8045,0.304477
ISYNA1,-0.715761088653559,0,0,0.233608,0.918443,0.460011,0.657871
SPINT2,-0.738106615519105,0,0,0.864839,1.504407,0.726224,0.726356
FSTL3,1.37280343799831,0,0,2.419082,1.042945,0.969559,0.670916
COL4A1,1.02862223493427,0,0,1.902162,0.961318,0.960673,0.714794
ITGA5,0.86367475756104,0,0,1.200004,0.35398,0.895254,0.337978
PEG3,-0.632965050786423,0,0,0.084181,0.691783,0.206277,0.582567
SLCO4A1,0.65910693841073,0,0,0.83835,0.18119,0.809227,0.224429
TGM2,-0.787912634760865,0,0,0.178088,0.987168,0.245604,0.721613
TSPO,0.7778314983569,0,0,0.966446,0.139539,0.705237,0.183813
JUN,-0.841893505704399,0,0,0.137497,0.936272,0.246171,0.580789
LITAF,0.862092239552515,0,0,1.277965,0.391347,0.850255,0.473762
CDKN1C,1.04669748528397,0,0,2.418187,1.356678,0.972396,0.757486
RPS27L,0.727263366764818,0,0,1.898937,1.051943,0.850633,0.686036
MT1X,0.818226709451476,0,0,1.179441,0.287559,0.730762,0.306552
DNMT1,-0.702293183491705,0,0,0.249867,0.960803,0.442428,0.736733
ANXA4,0.826844085261415,0,0,1.413366,0.611128,0.938363,0.59413
TPM1,0.942903069906146,0,0,3.004652,2.017393,0.986387,0.882597
MT1E,0.88961073401882,0,0,1.334441,0.362951,0.735867,0.357249
CNN3,-0.511737605237996,0,0,0.09478,0.586881,0.220079,0.579306
APLP2,-0.657478402223392,0,0,0.395892,1.023832,0.625827,0.742069
MFAP2,0.580553270140198,0,0,0.688294,0.087816,0.718472,0.125111
MT1F,0.637996491604172,0,0,0.908625,0.212471,0.704859,0.277201
BCAR4,0.632092302590747,0,0,0.830983,0.180548,0.775761,0.242811
ADA,0.495037534139458,0,0,0.59273,0.076827,0.68633,0.153276
ABCA7,0.630751928433164,0,0,0.878834,0.209448,0.755719,0.262971
EGFR,-0.841071647826804,0,0,0.330148,1.252166,0.383248,0.764305
ADGRG1,-0.422197748601432,0,0,0.032996,0.448418,0.075818,0.501334
AFAP1,0.80183861649747,0,0,0.993626,0.293174,0.796181,0.296768
HLA-C,0.813105336091115,0,0,1.318022,0.430409,0.770089,0.41684
MFAP5,0.87259612877114,0,0,1.909586,0.981222,0.923615,0.702342
LHFPL6,0.738531495020387,0,0,0.977446,0.30491,0.853091,0.335013
MGST1,0.629749471790117,0,0,0.787283,0.117773,0.65986,0.153869
SH3BP5,0.755719596138758,0,0,1.153355,0.438751,0.872377,0.455381
COL27A1,0.729983342199783,0,0,0.805337,0.164259,0.693137,0.141417
BZW2,0.751357392253564,0,0,1.907364,1.165275,0.960673,0.796324
TUBB6,0.717811756626763,0,0,1.305113,0.566844,0.877482,0.565669
TAGLN2,0.741300593475548,0,0,2.350336,1.468158,0.871998,0.742366
LOXL1,0.422558552943677,0,0,0.48153,0.046439,0.637928,0.08657
FOXO4,-0.386776784061186,0,0,0.031257,0.407301,0.080166,0.461903
BCAM,-0.455057349256332,0,0,0.073566,0.511597,0.195689,0.522977
CBLB,0.772316899743938,0,0,1.260889,0.682169,0.769144,0.421287
VASP,0.613993617121064,0,0,1.156547,0.515199,0.868217,0.574563
ACAN,0.455468033236171,0,0,0.544996,0.081801,0.699565,0.128669
UBE2F,0.464711283517454,0,0,0.782527,0.26439,0.697863,0.399644
FXYD5,0.559829452346789,0,0,1.150629,0.518204,0.777652,0.510821
TCF7L2,0.784331212085685,0,0,1.647389,1.048008,0.921346,0.68485
S100A10,-0.79854779502213,0,0,0.975924,1.659704,0.739648,0.718648
LGALS1,1.01314540044167,0,0,1.617045,0.519068,0.777841,0.462793
EBI3,0.873063063220703,0,0,1.352295,0.471734,0.878616,0.365253
CENPX,0.569446213964421,0,0,1.183243,0.549331,0.808092,0.544619
CDH1,-0.574701237427773,0,0,0.14971,0.749419,0.260352,0.66054
COL4A2,0.772680437477339,0,0,1.782022,1.102275,0.957081,0.775571
CLDN19,0.533560963881854,0,0,0.721141,0.155459,0.704292,0.2437
RALBP1,0.755930761503571,0,0,1.206536,0.442796,0.841558,0.511118
LRRC32,0.434981412137287,0,0,0.528591,0.077971,0.636604,0.118885
PON2,0.552742833885584,0,0,0.974326,0.389128,0.810739,0.488289
WIPF1,0.561106810927276,0,0,0.693837,0.19474,0.744186,0.203676
LAMA4,0.603750742847336,0,0,0.689168,0.114886,0.703157,0.133709
EFHD1,-0.525578346729051,0,0,0.070736,0.597238,0.0917,0.539283
ITGB4,-0.46793286101741,0,0,0.064068,0.539676,0.146341,0.555588
KCNN4,-0.363449354911545,0,0,0.026225,0.384699,0.063528,0.45716
ERRFI1,-0.503452437165457,0,0,0.131354,0.639154,0.251276,0.631189
MLLT1,-0.481194544208206,0,0,0.085884,0.566094,0.178484,0.535132
TBL1X,-0.612991294727469,0,0,0.044626,0.707496,0.047457,0.507264
MT1H,0.717328062086372,0,0,0.845367,0.089072,0.6211,0.098429
APMAP,-0.378315880793817,0,0,0.110084,0.47303,0.27491,0.530388
ASPSCR1,0.609817467086099,0,0,0.890861,0.2759,0.829079,0.396087
TIMP1,0.579329636496457,0,0,0.895877,0.27747,0.757421,0.333827
IGKC,-0.367127209819994,0,0,0.048578,0.39629,0.111741,0.39579
GRB2,0.649410584182652,0,0,1.331189,0.72533,0.922481,0.647495
PLOD1,0.486321076842506,0,0,0.790309,0.279898,0.778975,0.419211
TFRC,-0.539243540502396,0,0,0.132002,0.703985,0.224617,0.608657
ECHDC2,-0.387070606746207,0,0,0.058462,0.451514,0.135186,0.532464
SLC40A1,-0.475103761844458,0,0,0.055051,0.527206,0.098128,0.49748
EPSTI1,0.549336539069755,0,0,0.747731,0.20959,0.765551,0.245775
TACSTD2,-0.414071567128015,0,0,0.013668,0.411795,0.035545,0.372962
YAP1,-0.564827300476911,0,0,0.239376,0.873112,0.299868,0.678921
