Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
FN1,1.20271952916387,0,0,4.148648,2.561947,0.993639,0.986387
EEF1B2,-0.65732513122715,3.92246028404924e-317,5.21902953094172e-313,0.762188,1.875854,0.449958,0.799206
RPL7,-0.756117182178777,4.85433254985944e-295,4.30595478281032e-291,1.558804,3.047378,0.60687,0.861221
RPS5,-0.663728968928633,3.82779490130302e-287,2.54653625296437e-283,1.238611,2.564904,0.537744,0.817546
RPS10,-0.526023049685622,1.72198376083089e-269,9.16474197189416e-266,0.76157,1.791197,0.407125,0.766875
RPL23A,-0.6885057919082,2.56720361888609e-268,1.13859759170296e-264,1.486903,2.943966,0.561493,0.82492
RPS3A,-0.652511959046173,1.89163752827015e-266,7.19119518068528e-263,1.563764,3.040653,0.566158,0.811496
PTPRF,0.718414155731364,5.57950449251868e-256,1.85595242563018e-252,2.418716,1.326111,0.929601,0.913594
RPL21,-0.630980018734263,1.09994549762752e-249,3.25229440415176e-246,1.48267,2.898287,0.555556,0.813008
RPL26,-0.595806907348263,1.24953084878298e-245,3.32512654169639e-242,1.454804,2.897298,0.489822,0.782379
RPL5,-0.622764166212067,7.75545291558842e-244,1.87618506851567e-240,1.340859,2.588071,0.589483,0.843638
RPS13,-0.611470614802538,2.51003411990664e-240,5.56620983040296e-237,1.49213,2.843962,0.580577,0.827189
RPL10A,-0.635421720274287,1.48419729241725e-236,3.03815185757811e-233,1.571292,2.895608,0.639949,0.862923
NEAT1,0.706475527181301,2.75785769199073e-235,5.24209650296894e-232,2.564479,1.425282,0.940204,0.910002
ATP5MC3,-0.486925449479416,1.9723541723528e-232,3.49908779203202e-229,0.641092,1.517558,0.41391,0.775761
FOSB,0.669910012562387,2.22572111215745e-231,3.70179153222637e-228,1.212461,0.708748,0.63698,0.71885
ATP5PO,-0.40800885614941,3.62650603021316e-230,5.67676188058837e-227,0.45494,1.196504,0.334606,0.740405
RPL9,-0.584804852612577,5.01999232541477e-230,7.42150087620069e-227,1.468439,2.84333,0.522053,0.798261
HSPG2,0.889439437497071,7.02989398587458e-230,9.84592151884782e-227,1.945987,0.713251,0.774385,0.537531
YWHAQ,-0.516725964667062,9.63891457746723e-230,1.2825057791049e-226,0.63218,1.35917,0.485581,0.842503
RPL15,-0.632826193838301,4.87593014294889e-226,6.1787322397149e-223,1.741396,3.097674,0.667091,0.876536
MALAT1,0.847470184673688,5.59009866860697e-225,6.76173253046818e-222,5.436566,4.368487,0.995335,0.987521
RPS27A,-0.630057366627418,2.47302616560496e-224,2.86129127360494e-221,1.675022,3.059178,0.628075,0.852902
RPSA,-0.649356802083401,2.86314188946091e-224,3.17462786751851e-221,1.414047,2.635506,0.626802,0.862734
EIF3E,-0.512866691109457,4.09284697891705e-224,4.35659003823847e-221,0.7101,1.488699,0.494487,0.847608
BTF3,-0.511773050566049,1.02688631645127e-221,1.05101814488788e-218,1.02452,2.074612,0.50212,0.807714
RPS7,-0.601681247359934,1.50444912605115e-220,1.48277391456841e-217,1.598709,2.915881,0.624682,0.858196
RPS17,-0.497801374734384,1.93704884368445e-217,1.84095738497453e-214,0.71127,1.658964,0.402884,0.770467
RPL6,-0.590000006649386,2.07461302889678e-214,1.90370783834387e-211,1.499654,2.763669,0.607718,0.849121
RPL35A,-0.560248545136877,1.74573201430418e-213,1.54852248775495e-210,1.39147,2.635328,0.556404,0.827945
NACA,-0.51354194636296,9.67812770960971e-213,8.30789214452981e-210,1.245295,2.36122,0.556828,0.829079
RPL30,-0.564906356686256,1.1971446574391e-211,9.9553801497225e-209,1.371872,2.575905,0.573367,0.838722
RPL27,-0.548256358465723,4.90025350531823e-211,3.95153472818253e-208,1.251817,2.451817,0.527142,0.80658
RPS15A,-0.551563050158833,3.12328231189969e-207,2.40137553804807e-204,1.539931,2.915839,0.531383,0.804122
EIF3F,-0.417644052245321,3.1583985506626e-207,2.40137553804807e-204,0.540151,1.25963,0.405852,0.774059
TPI1,-0.517727708061657,3.35268442891142e-203,2.47828570382672e-200,0.918927,1.939022,0.483036,0.793156
OAZ1,-0.431296445356148,5.84838441977114e-203,4.20625291336567e-200,0.919124,1.896553,0.447413,0.772736
AKR1B1,-0.545620998789515,8.05079312997538e-202,5.63788568373092e-199,0.671641,1.616479,0.412638,0.779164
FKBP1A,-0.391777683325583,1.65532651607834e-201,1.12948445947079e-198,0.553433,1.311061,0.379135,0.756476
NOTUM,0.97432039798688,3.02475975665601e-201,2.01229704710932e-198,2.868691,1.683717,0.918999,0.889015
RPS2,-0.657741882943105,4.71449474525901e-201,3.05993706502652e-198,2.129997,3.615264,0.729432,0.890717
LDHA,-0.552810161877364,1.60332084833954e-200,1.01585645464675e-197,0.902785,1.946935,0.484733,0.799206
RPS3,-0.619678724285741,4.30572377010047e-199,2.6646422150266e-196,1.873383,3.243259,0.687023,0.880885
HINT1,-0.543585489295886,2.77842433647315e-197,1.68037840949743e-194,1.013351,2.01923,0.539016,0.837398
RAN,-0.525523962518989,6.1172017487802e-197,3.61744123859533e-194,0.690885,1.594981,0.452926,0.789752
