Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
FTCD-AS1,0.113526908974898,5.29136548320135e-45,5.05566670161605e-41,0.113527,0,0.052632,0
AL355981.1,0.0991625848569368,5.35075442045925e-45,5.05566670161605e-41,0.099163,0,0.052632,0
LINC02226,0.063885023719386,5.71757081646932e-45,5.05566670161605e-41,0.063885,0,0.052632,0
SPIC,0.0485876501080663,6.65805183168125e-44,4.41545352347521e-40,0.04864,3.7e-05,0.052632,0.000272
LINC01891,0.113242100367004,1.18130315543287e-42,6.26728576083354e-39,0.113527,0.000201,0.052632,0.000816
AL645937.2,0.0721554931899381,3.48880085404128e-39,1.54245700425255e-35,0.072357,0.000142,0.052632,0.000272
AC025271.4,0.0980099182182371,1.12219900214704e-38,4.2526532757078e-35,0.098349,0.00024,0.052632,0.000544
ALKAL1,0.077068625643387,1.03310123900053e-34,3.42563457087087e-31,0.077556,0.000344,0.052632,0.000816
SPANXN5,0.0441404776527834,9.95100960904361e-34,2.93300479887889e-30,0.044371,0.000163,0.052632,0.000544
TTC36,0.0636436390889574,9.22140879316063e-33,2.44616311056172e-29,0.064122,0.000421,0.052632,0.00136
KCNJ11,0.0536983619346435,7.51772135992002e-32,1.81293267740544e-28,0.053951,0.000179,0.052632,0.000272
AL035252.3,0.0706827752348779,8.06586619074281e-31,1.78302693701529e-27,0.071027,0.000751,0.052632,0.002992
AL133383.1,0.063862895325596,2.59454425715424e-30,5.29426734688697e-27,0.064122,0.000325,0.052632,0.000544
AC022075.2,0.0575760439924017,4.47004165466526e-30,8.46977106952182e-27,0.057874,0.000211,0.052632,0.000272
SLC38A3,0.0488337449329455,7.99031188394857e-30,1.41306002230336e-26,0.049069,0.000239,0.052632,0.000544
AC245748.1,0.0684231802085206,8.534467087878e-30,1.41496130275087e-26,0.068919,0.00035,0.052632,0.000544
AC106779.1,0.0708378606063841,9.33579467123155e-30,1.45676838378682e-26,0.071284,0.000315,0.052632,0.000544
AC078795.3,0.0981309335242665,1.45562500876052e-29,2.1451869226328e-26,0.099163,0.000729,0.052632,0.001632
OLFM3,0.124580879444853,2.33573883528181e-29,3.26106021492214e-26,0.126062,0.001046,0.052632,0.001632
AC073878.1,0.0704815958912346,1.39494687901917e-28,1.85018779298708e-25,0.071027,0.000385,0.052632,0.000544
PKMYT1,0.224504802421104,9.08672914380719e-28,1.14782697141797e-24,0.22828,0.008706,0.105263,0.018498
OR10A6,0.0974177972022539,3.48871494314939e-27,4.20659733167835e-24,0.098349,0.000658,0.052632,0.000816
AC141002.1,0.0635276770047185,1.12454282200449e-26,1.29698901910057e-23,0.063885,0.000362,0.052632,0.000544
AC079035.1,0.0978088204331067,1.32795763665373e-26,1.46778050947972e-23,0.099163,0.000956,0.052632,0.001632
UCHL1-AS1,0.1121595158155,3.02037740196596e-26,3.20486205367804e-23,0.114077,0.001354,0.105263,0.001632
AL021068.1,0.101605165962164,4.92614782278652e-26,5.02599704980992e-23,0.102218,0.000569,0.052632,0.000544
BLACE,0.101135818493651,2.08707670058181e-24,2.0505142087531e-21,0.102218,0.000765,0.052632,0.000816
MYBPH,0.0363810655344384,3.30725713634105e-24,3.13327178770425e-21,0.036521,0.000376,0.052632,0.00136
PNLIPRP3,0.100629695401124,3.79319626190032e-24,3.46972818066999e-21,0.102218,0.001122,0.052632,0.001632
AC018766.1,0.100973066852048,5.52137857005772e-24,4.88218697759737e-21,0.102218,0.00088,0.052632,0.001088
AC018557.2,0.0979078351089947,7.49462527967691e-24,6.41322338045127e-21,0.099163,0.000886,0.052632,0.001088
AC119868.2,0.0534215771516315,2.15003052494504e-23,1.78230811672554e-20,0.053951,0.000374,0.052632,0.000544
RDH16,0.101354963726106,3.62463827855606e-22,2.91365998834111e-19,0.102218,0.000722,0.052632,0.000816
AL450263.1,0.0484515854036881,7.78152644186982e-21,6.07119270363178e-18,0.049069,0.000436,0.052632,0.000816
AL391097.2,0.100976078917804,1.07445733092672e-20,8.143465604998e-18,0.102218,0.000878,0.052632,0.000816
TGIF2-RAB5IF,0.0713090665069646,1.5514546480365e-20,1.14320659579068e-17,0.072357,0.00074,0.052632,0.001088
AC007182.1,0.111423202909776,3.85136149897345e-20,2.76121801306132e-17,0.113527,0.001942,0.052632,0.003264
AC092723.1,0.0487229542256856,8.68933812082459e-20,6.06584400871352e-17,0.049069,0.000727,0.052632,0.002176
AL132800.1,0.0708945221699016,1.54523911859698e-19,1.05103995125698e-16,0.072357,0.001419,0.052632,0.003808
AL592435.1,0.0630739460389021,1.67676636910941e-19,1.11198953683413e-16,0.063615,0.000382,0.052632,0.000272
NPIPA3,0.0764772285587499,2.60348691307514e-19,1.68445603275961e-16,0.077556,0.000985,0.052632,0.001632
