Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SERPINF1,-1.35467237904205,0,0,0.557282,2.087403,0.517344,0.953667
DUSP9,-1.46739649753901,0,0,0.573993,2.208788,0.48236,0.954333
SLC22A11,-1.44805063145099,0,0,0.45235,1.952878,0.445004,0.949333
PAGE4,-1.97489125265368,0,0,2.070909,4.743866,0.734361,0.997667
EFEMP1,-1.33843134780583,0,0,0.821692,2.342319,0.659354,0.957333
SMAGP,-1.27515214303651,0,0,0.612436,2.052745,0.571302,0.916333
PHLDA2,-1.63756834589972,0,0,1.428529,3.472923,0.687815,0.987667
BCAM,-1.15904862827265,0,0,0.511597,1.823689,0.522977,0.942
SLC27A2,-0.949907953275495,0,0,0.132551,1.077486,0.17818,0.782667
ISYNA1,-1.24836784725409,0,0,0.918443,2.407542,0.657871,0.975667
TPM1,1.45676780726094,0,0,2.017393,0.758216,0.882597,0.594
ACSS1,-0.919989202642541,0,0,0.210947,1.102239,0.267714,0.785667
FAM3B,-0.848980674781339,0,0,0.168432,1.056468,0.252594,0.769667
SPINT1,-1.09655976383822,0,0,1.036222,2.469592,0.677438,0.98
FXYD5,0.65515530631837,0,0,0.518204,0.053708,0.510821,0.074667
COMT,-1.03728238151968,0,0,0.626955,1.84258,0.600356,0.910333
FXYD3,-0.925821793911003,0,0,0.72517,1.942502,0.612808,0.945333
MLLT1,-1.03947054592923,0,0,0.566094,1.675141,0.535132,0.910333
OLR1,-0.973651151756998,0,0,0.377321,1.462179,0.397865,0.886333
PEG10,-1.32161267467771,0,0,1.32919,2.830637,0.702639,0.988
SLC40A1,-1.12786145708706,0,0,0.527206,1.735547,0.49748,0.926
LDHA,1.14861622012502,0,0,1.727698,1.231422,0.743848,0.732667
SLC26A2,-0.862336278585898,0,0,0.22996,1.108865,0.285799,0.816333
ADIRF,-0.867501180601841,0,0,0.310298,1.30582,0.388378,0.835
FABP5,0.824985876111992,0,0,0.645517,0.083226,0.454788,0.12
APLP2,-0.917478971977924,0,0,1.023832,2.153394,0.742069,0.967333
SLC16A3,0.86447855955654,0,0,0.897528,0.201183,0.640972,0.251667
KRT19,1.14685681889849,0,0,2.616718,2.226217,0.862437,0.937333
GLRX,0.857153754191213,0,0,0.821047,0.161888,0.574859,0.186
UCA1,0.580903736936404,0,0,0.439371,0.043069,0.462793,0.053
MPP1,-0.78722734679534,0,0,0.322241,1.187833,0.377409,0.812333
FAM118A,-0.798604541078394,0,0,0.224453,0.969268,0.297065,0.746333
PPP1R14B,0.735086079618919,0,0,0.752765,0.258996,0.594723,0.316667
SIAH2,-0.713387228029299,0,0,0.274947,0.999052,0.373555,0.788
ARHGDIB,0.79420660888694,0,0,0.813409,0.340884,0.608953,0.357667
NSG1,-0.632272288227076,0,0,0.100822,0.768358,0.172843,0.653
ASS1,-0.611371547810536,0,0,0.123992,0.756735,0.206937,0.669667
COLEC12,-0.718216672726462,0,0,0.211303,0.855596,0.220279,0.732667
INSL4,-0.881186755509525,0,0,0.180437,1.088531,0.22265,0.735667
