Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
EIF4E1B,0.589620128434055,2.54296874132067e-300,6.26790935360718e-296,0.593823,0.001864,0.607143,0.002969
NCAM1,3.61478161061625,9.40864267607736e-295,1.15952112339977e-290,3.795461,0.105632,1,0.066582
SULT1A2,0.802208756605853,4.28685002967136e-250,3.52207598437799e-246,0.810678,0.006605,0.642857,0.007634
TNFRSF8,0.952953862263257,1.62756889577699e-239,1.00290795357778e-235,0.968758,0.009481,0.75,0.010178
ADORA1,1.20269538205574,2.0355141249759e-233,1.00342704304812e-229,1.227871,0.015473,0.785714,0.015691
JAG1,1.70376187680376,3.70573608407049e-225,1.52231638333616e-221,1.750954,0.03184,0.892857,0.027566
AC023905.1,0.970886765934109,3.26787898611451e-176,1.15066687499643e-172,0.997655,0.014037,0.714286,0.014419
AL603840.1,0.742825497280253,1.60790847763624e-172,4.95396601959724e-169,0.75946,0.008614,0.642857,0.009754
LINC01630,0.56947121986182,3.04621766362825e-172,8.3425747747899e-169,0.572147,0.001145,0.392857,0.001696
ACHE,0.591251008932229,6.48999631771154e-170,1.59965429238954e-166,0.598065,0.006389,0.571429,0.008482
GGT2,1.67867098011503,5.86585405595212e-161,1.31437791610098e-157,1.769684,0.051686,0.785714,0.040712
PTPRN2,0.713756251807113,5.80965776429744e-154,1.19330370478669e-150,0.729205,0.008576,0.571429,0.008906
AC090673.1,0.457607835495808,9.27259967359195e-148,1.75808489811303e-144,0.46294,0.00303,0.535714,0.003393
SLC5A5,0.812106722180502,1.37006650322202e-139,2.41209994081546e-136,0.837611,0.017977,0.714286,0.02078
AC005381.1,0.201823276869597,3.73071536243102e-139,6.13031148354666e-136,0.202728,0.000343,0.285714,0.000848
FAM81A,0.994355423977686,4.57992713735168e-127,7.05537775509027e-124,1.039062,0.030162,0.821429,0.033503
GPR68,0.209140316424293,7.55857648687474e-123,1.09590466616758e-119,0.210398,0.000642,0.285714,0.001272
CXCL12,0.646298075086946,1.43852281693399e-120,1.96981724398827e-117,0.658169,0.009778,0.571429,0.010602
AC016292.1,0.267590758242995,6.70947222865815e-118,8.70395113115611e-115,0.270107,0.001182,0.321429,0.001696
ADAMTS4,0.532540268767426,1.47891623801161e-100,1.82261637172551e-97,0.537692,0.006691,0.357143,0.008482
PCA3,1.1156799430125,2.24388755770649e-99,2.63368288201664e-96,1.175821,0.035315,0.75,0.025869
KLHL29,2.0630042928478,9.65213627793852e-96,1.08139024990286e-92,2.351718,0.17354,0.928571,0.128923
ABR,2.23780875990506,1.34742769669877e-95,1.44397382035788e-92,2.581883,0.200463,1,0.148431
PLPP3,1.79439992121009,1.13072000299301e-94,1.16124944307382e-91,1.981697,0.129319,0.964286,0.110263
TLL1,1.5387533027931,1.45859173682262e-89,1.43805476516815e-86,1.68245,0.080842,0.785714,0.058948
AC005307.1,0.0965946014994973,6.975754228544e-89,6.61301500865971e-86,0.096731,0,0.178571,0
ADGRG1,0.903347044203362,1.61805811761522e-85,1.47710727714741e-82,0.950436,0.035,0.75,0.038168
ACKR3,0.522933799117075,4.00017835394882e-85,3.52129985957609e-82,0.536336,0.013494,0.571429,0.017812
HMGA2,0.264260438164606,9.89586439840691e-85,8.41080226523909e-82,0.269928,0.003067,0.357143,0.004241
CYP26B1,0.465092248562541,8.77407687325774e-80,7.20878155906856e-77,0.471688,0.010262,0.571429,0.012723
HES5,0.21930516419038,2.45775918458029e-77,1.95415639940435e-74,0.218713,0,0.142857,0
KIAA1614,0.448241935436071,4.66038761122261e-76,3.58966355754422e-73,0.461866,0.00933,0.535714,0.009754
LINC00535,0.6317926202034,6.87743061796882e-76,5.13681545065744e-73,0.656215,0.013005,0.428571,0.010602
SLC43A1,0.193266277118609,4.29050356766303e-74,3.1103627039929e-71,0.196005,0.001755,0.285714,0.002969
AL117337.1,0.206967249430724,2.28462708400585e-72,1.60889966761646e-69,0.207555,0.000164,0.178571,0.000424
C7orf69,0.33134983248899,3.01509933285522e-72,2.06433800989487e-69,0.339695,0.004783,0.357143,0.005937
SULT1A1,0.37354865422838,1.84012409009986e-69,1.2258210425076e-66,0.381576,0.008087,0.464286,0.011874
AC127526.1,0.602721540103273,1.89353343907482e-69,1.22820558437674e-66,0.645296,0.023059,0.642857,0.023325
CNGB3,0.585456550253319,2.03677882233094e-69,1.28724421571316e-66,0.61569,0.016252,0.571429,0.014419
GGT1,0.368038860975716,1.87883922090627e-65,1.15774072792244e-62,0.379418,0.00668,0.464286,0.008482
LIFR-AS1,1.55217081993469,3.57544092100007e-65,2.14945043465389e-62,1.816393,0.1455,0.857143,0.105174
PRUNE2,1.70405054844605,1.50049893350958e-64,8.8057851697962e-62,1.93187,0.163098,0.892857,0.111959
ABCC4,0.64710383287083,4.69483427214227e-64,2.6911226776689e-61,0.690333,0.024704,0.571429,0.024173
AP000802.1,0.111403409617335,2.33457255310825e-61,1.30778509747755e-58,0.112075,0.000284,0.142857,0.000848
SEMA6D,2.16268602928962,1.0609991314209e-60,5.81144590916941e-58,2.774941,0.350891,0.928571,0.222646
LINC00457,0.336200670825738,1.90585227827362e-60,1.02120536858453e-57,0.341745,0.002802,0.285714,0.003393
PPFIA4,0.539143450301431,1.16309028733197e-59,6.09954242599113e-57,0.556492,0.017677,0.571429,0.016115
AC023490.3,0.0936442680902309,2.88058374474481e-59,1.47917975292646e-56,0.093776,0,0.107143,0
SEZ6,0.227111001337571,5.56656102463516e-58,2.8000937986777e-55,0.231324,0.003324,0.214286,0.005089
OSBPL6,0.969579494890269,3.46217451145113e-57,1.70671354716495e-54,1.085463,0.07504,0.821429,0.07888
IL17RE,0.768627822199067,1.91541401418696e-55,9.25708325915297e-53,0.833969,0.041494,0.642857,0.040712
AC079209.2,0.3940709085788,2.06522445261089e-54,9.7891639053756e-52,0.415773,0.011686,0.464286,0.011026
ITGA2,0.7712953561131,6.56941064708218e-54,3.05514780432607e-51,0.826036,0.044342,0.642857,0.042833
IQCA1,0.930194726835377,9.5545335989055e-54,4.3611137804782e-51,1.050815,0.079366,0.821429,0.086514
SAMD4A,1.12909117187837,1.30245230720544e-53,5.83688081236357e-51,1.296494,0.099504,0.857143,0.083969
AC012568.1,0.323997530925821,4.92255539628774e-53,2.16662759656607e-50,0.339605,0.008373,0.428571,0.008906
CGNL1,0.702696593711418,3.03767249520629e-50,1.3135535379271e-47,0.756525,0.037301,0.607143,0.036472
IL20RA,0.796116159959241,7.51493627638166e-50,3.19358878172854e-47,0.877489,0.062859,0.785714,0.079729
LINC01271,0.0775128965566482,6.35033063362285e-49,2.6529313467379e-46,0.077562,7.6e-05,0.107143,0.000424
ADM2,0.113486797266979,1.46682123724627e-48,6.02570164260769e-46,0.115141,0.001901,0.178571,0.005513
AC090572.3,0.236615834367286,1.29268767172974e-47,5.22330585783517e-45,0.244177,0.003994,0.285714,0.004665
TMC3,0.409541943330064,9.85295996708786e-45,3.91702834304486e-42,0.431295,0.014973,0.5,0.015691
IRF8,0.493910298071955,3.25559583853158e-44,1.27371311473216e-41,0.524251,0.025739,0.571429,0.035623
ERBB4,0.54929242041374,4.31390302137081e-44,1.66139190110543e-41,0.589038,0.022301,0.321429,0.021628
HES4,1.29131367408667,1.14766684043463e-41,4.3519526589281e-39,1.447726,0.195316,0.928571,0.184478
AL139246.5,0.222606241073721,1.82277623202754e-41,6.80724069197196e-39,0.226682,0.005738,0.25,0.00933
DIAPH2-AS1,0.988216620638576,4.42583236366046e-41,1.62817785223139e-38,1.183176,0.107237,0.892857,0.087786
RHPN1,0.0903128399606107,6.55729369855289e-40,2.37682610414605e-37,0.090418,0.000754,0.107143,0.001696
AC010307.2,0.0370297447205086,3.11801324630867e-39,1.11380855789878e-36,0.037082,0,0.071429,0
PRKAR2B,0.383442368832309,3.59590784448778e-39,1.26617052215621e-36,0.40797,0.014934,0.357143,0.015267
AC004870.3,0.0412806468179935,4.69918418177822e-39,1.63134495369675e-36,0.041339,0,0.071429,0
LINC02444,0.0304896125339978,5.82018348711437e-39,1.99244281375549e-36,0.030533,0,0.071429,0
SCTR,0.0293809634904494,1.17344786559105e-38,3.96207438234086e-36,0.029422,0,0.071429,0
AL353613.1,0.0460239818575678,1.28377506812288e-38,4.27601187555309e-36,0.046089,0,0.071429,0
LRCOL1,0.0310797372486732,3.35644313186344e-38,1.1030614708556e-35,0.031123,0,0.071429,0
