Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
TIMP3,1.81295145648626,0,0,3.68213,1.756395,0.962187,0.696777
LTBP1,1.32536792194497,0,0,2.363788,0.828556,0.879217,0.428753
HPGD,1.25266568776956,0,0,3.230391,1.971735,0.974429,0.814673
PAPPA2,1.31467296034465,5.24235300827191e-302,3.54225792768933e-298,3.272113,1.69605,0.930903,0.621289
PAPPA,1.31628810060175,1.30092115654728e-262,7.032259403832e-259,2.976927,1.350759,0.857182,0.505937
IL6ST,0.937906037393954,2.14616695453399e-254,9.66776674119078e-251,1.924379,0.918689,0.871055,0.583545
SERPINE2,1.28460296748932,2.66429258612271e-253,1.02872142882464e-249,2.775139,1.658572,0.922198,0.740034
PRG2,1.0832930818194,1.22536749516242e-245,4.13990408240625e-242,1.200316,0.367253,0.508433,0.19084
BGN,0.9722466501002,4.89221705195689e-245,1.4691871386699e-241,1.315387,0.479585,0.662677,0.304071
HEXB,0.87353448768374,2.66858555233264e-241,6.77689927224429e-238,1.325831,0.589981,0.713819,0.426209
ISM2,0.952674734269846,2.75809871224979e-241,6.77689927224429e-238,3.019287,2.087212,0.972797,0.868533
ITM2B,0.978125169852431,3.52389220197602e-238,7.93697986958399e-235,3.015023,2.323329,0.95457,0.862595
FLT1,1.01335530426603,5.98312497029437e-235,1.24393770536243e-231,3.336825,2.325632,0.973613,0.887193
ADAM19,0.952499255462884,7.21838525107389e-229,1.39356083261447e-225,2.249803,1.174351,0.905876,0.601781
PRKAG2,0.776366502363395,3.77314262228685e-227,6.79869991967793e-224,1.431922,0.548981,0.800871,0.391858
AC016831.7,0.855584102497454,5.80025450014747e-203,9.79807991437412e-200,2.136741,0.824264,0.687704,0.346904
SERPINE1,1.08133151183379,6.91698825798107e-202,1.09971975668654e-198,1.785003,0.647754,0.75,0.343087
LVRN,0.940547641589471,1.33008990168018e-194,1.99720388125621e-191,1.835736,0.828136,0.803591,0.443172
CPM,0.730243279353673,2.35381860704921e-190,3.34836891112243e-187,1.48332,0.673719,0.803591,0.479644
FMNL2,0.737676222632189,3.55434797581787e-188,4.80334585452027e-185,2.350852,1.183965,0.857726,0.527142
CSH1,1.26961487142493,1.02921828377255e-187,1.32465294160974e-184,3.382958,2.021728,0.945593,0.778626
SLC6A2,0.633467011603337,1.82738232291291e-184,2.24502224653137e-181,1.180446,0.436969,0.73123,0.30704
EBI3,0.752158355822077,6.31581723721275e-182,7.42190905597332e-179,2.026984,1.403285,0.896627,0.737065
HMGN3,0.705634102856882,3.05097672952307e-178,3.43590829356457e-175,1.972559,1.373922,0.895539,0.721374
FSTL1,0.803276616403878,3.4843475324644e-172,3.65236845854667e-169,2.511849,1.769114,0.941785,0.824852
MGAT5,0.769844948870467,3.51345197285088e-172,3.65236845854667e-169,2.58576,1.375258,0.868879,0.626378
FBLN1,0.79197319388159,2.02831231953594e-170,2.03041575453398e-167,2.126577,1.441746,0.899619,0.745547
CPED1,0.625656987537874,5.22841606950809e-161,5.04691534023803e-158,1.055266,0.264063,0.600653,0.181934
AOC1,0.915664918708309,2.8540330596542e-158,2.65995881159772e-155,1.218448,0.361204,0.562568,0.187023
SLC23A2,0.60989711878726,1.13264637891486e-155,1.0204388776437e-152,1.369293,0.55371,0.745919,0.352841
SMAD3,0.59790629135153,4.20346823809254e-149,3.66488192061823e-146,1.07779,0.341683,0.653428,0.222222
TNFSF10,0.663947218301178,1.95097780169028e-148,1.64784462575265e-145,1.00022,0.492904,0.565288,0.323579
HSPG2,0.836980507943714,3.51249240665857e-144,2.87683772021721e-141,2.936282,1.945987,0.948857,0.774385
SVIL,0.636167234525822,1.35618347761598e-139,1.07808608920602e-136,1.748273,0.81964,0.797062,0.455047
ACAN,-0.331608077988195,2.94529018952592e-137,2.27443723550019e-134,0.095291,0.487081,0.139282,0.379135
NOTUM,0.758777910536512,7.0527039643022e-136,5.29501340964333e-133,3.616568,2.868691,0.984766,0.918999
ITPR2,0.570760508012416,8.97728046103441e-133,6.55778206218481e-130,1.576605,0.729536,0.76741,0.41179
C1orf21,-0.395312544284447,1.65479539848816e-130,1.17699500079837e-127,0.181335,0.520043,0.200762,0.396947
EPHB2,0.524178386377985,2.81780776018658e-128,1.95281302929033e-125,1.009671,0.359957,0.663493,0.221798
CSF2RB,0.566058825782354,1.3199361625879e-124,8.91880865060641e-122,1.310867,0.750086,0.787541,0.505513
SYN3,0.606284622725943,1.11608057793448e-123,7.35742094156417e-121,1.373466,0.479044,0.605005,0.268448
EGFR,0.580398317213018,2.46777312297684e-123,1.58807076113852e-120,1.390966,0.581484,0.723885,0.395674
MXRA7,0.435792418791928,5.63488736701131e-123,3.54185431989725e-120,0.729338,0.24264,0.560392,0.212044
ANGPT4,-0.311046496534833,4.18522004934061e-122,2.57086653394495e-119,0.050988,0.356328,0.057399,0.261238
PPIC,0.341445775921444,4.87365481204933e-121,2.9272253835571e-118,0.457023,0.225162,0.401795,0.242578
NTN4,0.406085377224665,6.66397009944329e-121,3.91551704016855e-118,0.620948,0.170363,0.506257,0.148007
LINC02246,0.265608108565652,2.91264148111301e-120,1.67495476492601e-117,0.267278,0.081922,0.267138,0.084818
NOG,0.428064561562564,6.53024789310832e-115,3.67707375114441e-112,0.549686,0.179829,0.420022,0.120017
SH3PXD2A,0.563854936889403,1.44438681324834e-114,7.96711975275025e-112,1.567765,0.831137,0.823177,0.53011
WWC3,0.346817085783415,3.35121620051083e-113,1.81153342934813e-110,0.504668,0.144283,0.489935,0.129771
SELENOM,0.386293030049723,6.34981260484444e-113,3.36515166830854e-110,0.620486,0.406925,0.463547,0.362595
TIMP2,0.635470146560389,7.48073445782211e-113,3.88825559473108e-110,1.8759,1.279475,0.873504,0.698897
CCNB1,-0.324533343102022,6.33980062299517e-112,3.23305907996818e-109,0.093144,0.475789,0.104189,0.337998
SLC25A37,0.563882519290372,1.05224797364885e-111,5.26669596884835e-109,1.390006,0.808509,0.809032,0.522901
SPARC,0.617922896282018,7.36959383887508e-111,3.62155240503846e-108,1.582239,1.132984,0.772307,0.661154
CERCAM,0.41853436889121,9.64994876252282e-111,4.65747884202619e-108,0.706089,0.339637,0.562568,0.320187
ADAMTS20,-0.546735064738724,4.69116390850021e-110,2.22443470384112e-107,0.343,0.724723,0.214363,0.307464
PDE10A,0.490558852978495,3.43934796437565e-109,1.60273615139905e-106,1.22129,0.503424,0.664037,0.321459
FBN1,0.621403183057078,6.77061796424815e-109,3.10163156504575e-106,1.660626,0.89524,0.809032,0.509754
IL2RB,0.524571064902345,1.83031538521509e-107,8.2449607052656e-105,1.268412,0.72267,0.759521,0.508906
JAM2,0.3144532631771,4.43171225217246e-107,1.96361178281504e-104,0.399135,0.102457,0.378672,0.087362
GRAMD2B,-0.387951493170256,2.69928717523579e-106,1.17671506084311e-103,0.273737,0.572699,0.292982,0.401187
ABCA1,0.474021022845336,1.04610896879459e-105,4.48797352517146e-103,0.999168,0.409669,0.66839,0.265479
DAP,0.397458608889877,3.43208455112652e-105,1.44941220699762e-102,0.80536,0.3596,0.648531,0.340543
EGFR-AS1,0.296736674117434,7.8829704531802e-105,3.27786039090084e-102,0.345421,0.152973,0.292709,0.156064
LGALS3BP,0.53594276175451,1.45119129534198e-102,5.94284823189442e-100,1.232451,0.933519,0.644723,0.553011
TCEAL4,0.405754233728223,1.78203616730298e-102,7.18878709400968e-100,0.784325,0.555231,0.566104,0.424512
PLA2G7,0.302681137509156,4.14456758974502e-102,1.64734371787689e-99,0.425709,0.105417,0.416485,0.100933
GPR78,0.410906035413506,6.02716154335448e-101,2.36090032164906e-98,2.135452,1.234516,0.764146,0.504665
FLT4,-0.323984627360326,1.07607496690309e-100,4.15487917220809e-98,0.18164,0.487498,0.225245,0.405852
PLAC8,0.485845120827797,1.69612463546977e-100,6.42559236425342e-98,1.298899,0.945416,0.770131,0.573791
LHFPL6,0.549942200930087,1.71171618405448e-100,6.42559236425342e-98,1.836018,1.095588,0.856638,0.658185
BRI3,0.513435444117551,6.62904418238138e-100,2.4543809063206e-97,1.185443,0.817372,0.715996,0.542833
FN1,0.641915138584885,4.06339799384231e-99,1.48412866185905e-96,4.787817,4.148648,0.994831,0.993639
