Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
MYCNUT,2.28371640993062,0,0,2.801606,0.51789,0.952778,0.294291
TBL1X,-1.85833636860665,3.13040536460384e-270,3.88154613184053e-266,0.197965,2.056301,0.148611,0.83563
AFAP1,1.85038430631773,7.04816957290939e-269,5.82625190795267e-265,2.490888,0.640504,0.936111,0.405512
COL27A1,1.5370935199119,8.91457908411001e-233,5.5268161676711e-229,1.90035,0.363256,0.8875,0.221457
ELMO1,1.66610320250415,6.1972301144847e-229,3.07370219218212e-225,2.326814,0.660711,0.923611,0.422244
ARL15,-1.72808507881661,2.66504926654447e-211,1.1015092793506e-207,0.827852,2.555937,0.556944,0.90748
FHOD3,1.37703689325223,1.06080844003468e-209,3.75814121491716e-206,1.6134,0.236363,0.783333,0.166339
MYCNOS,1.22219779046671,1.0300069640621e-195,3.19289283772199e-192,1.39003,0.167832,0.747222,0.11811
NRP1,-1.47695213981455,2.27733342572022e-194,6.2750657360484e-191,0.282039,1.758991,0.208333,0.801181
EGFR,-1.58091601168742,4.85979176722793e-193,1.20517976035485e-189,0.901656,2.482572,0.577778,0.924213
TCF7L2,1.37190036579562,1.74107496465545e-192,3.92517436804459e-189,3.869011,2.497111,0.994444,0.940945
UTRN,-1.44911966383855,2.1899379648737e-191,4.52568929924191e-188,0.433524,1.882644,0.340278,0.833661
MSI2,-1.58029805146034,1.01885148962671e-189,1.94357677625022e-186,0.849264,2.429562,0.519444,0.90748
DIO2,1.27642464444517,1.06182222708071e-176,1.8808663863839e-173,1.675549,0.399125,0.820833,0.287402
CBLB,1.51743218728251,3.62572218186992e-168,5.99428562587948e-165,3.322213,1.80478,0.968056,0.864173
RASGRF2,1.4940905418876,9.09540948245785e-162,1.4097316234717e-158,2.446975,0.952885,0.927778,0.507874
WIPF1,1.1705065593495,1.08845057075455e-158,1.58779327671424e-155,1.623171,0.452664,0.816667,0.327756
ADAM12,1.18127618005087,1.74195650516666e-157,2.39993218731266e-154,3.906587,2.72531,0.998611,0.978346
NRIP1,1.28505879627673,1.54380938848431e-148,2.01499626447486e-145,2.469518,1.184459,0.933333,0.676181
PLCL2,1.33348872217228,4.59745281230566e-148,5.7006116146184e-145,2.599253,1.265764,0.943056,0.69685
PRKD3,1.03445048466429,5.25825589199807e-143,6.20949942217429e-140,1.403069,0.368618,0.784722,0.285433
SH3BP5,1.13784153258146,3.48352725926432e-141,3.92672693193163e-138,1.64608,0.508238,0.830556,0.364173
TGFB1,0.997647553221148,1.17672882619208e-140,1.26876948524945e-137,1.302986,0.305339,0.755556,0.231299
KLHL5,1.15309602542033,1.7637692540433e-139,1.82248807212582e-136,1.570394,0.417298,0.769444,0.298228
AGAP1,-1.19654493055609,2.67425461823526e-136,2.65275361110465e-133,0.7189,1.915445,0.5125,0.854331
COL4A1,1.2573914000903,9.86043755381255e-136,9.40496118834606e-133,2.897238,1.639847,0.980556,0.793307
PCED1B,1.13453052391478,2.62023974890559e-135,2.40664168641147e-132,1.636576,0.502045,0.805556,0.341535
QSOX1,1.1609064632194,2.97585039807865e-132,2.63564692935544e-129,1.940016,0.779109,0.906944,0.497047
FBN2,-1.40642976355645,3.30140280229652e-131,2.82315476186729e-128,0.583803,1.990232,0.427778,0.790354
MBNL2,1.15387942736687,8.21040412030373e-130,6.7869937259804e-127,3.113442,1.959563,0.984722,0.864173
GPR78,1.18422933014457,2.28659434994137e-127,1.82920171884503e-124,1.647724,0.463494,0.784722,0.30315
CDH1,-1.01405171619538,6.11359815101421e-126,4.73784751709379e-123,0.212713,1.226765,0.198611,0.684055
HTRA4,1.13535229735881,1.26300916974402e-124,9.4913225456006e-122,1.644549,0.509197,0.790278,0.341535
FN1,1.33795618707492,1.75395185487319e-123,1.27930153085295e-120,3.75009,2.412134,0.995833,0.903543
SEMA6D,-1.32333557074588,1.999017618499e-122,1.41638965489019e-119,0.480121,1.803456,0.336111,0.759843
MPP7,-1.06570059369634,1.77174111332417e-121,1.22048355192572e-118,0.262145,1.327846,0.229167,0.686024
COL21A1,1.31438846662869,1.07522360744863e-120,7.20661357868066e-118,2.949513,1.635125,0.965278,0.734252
PTPRF,1.07136576638369,1.45263433942388e-120,9.47996815351915e-118,2.382769,1.311403,0.95,0.741142
LAMA4,0.94130916752415,3.31147700164267e-118,2.10567482471119e-115,1.138647,0.197338,0.622222,0.151575
SLC22A23,-0.856701168758356,1.06354142988125e-117,6.59369097990629e-115,0.078903,0.935605,0.072222,0.591535
IL1RAP,1.20321327122425,1.18679874299872e-117,7.17839561649397e-115,2.164901,0.961688,0.897222,0.543307
YAP1,-1.05382823228986,5.10545357507848e-113,3.01452721924694e-110,0.950317,2.004145,0.629167,0.875
SESTD1,1.02258411898479,5.13545907420207e-112,2.96172673444505e-109,1.760758,0.738174,0.854167,0.499016
MED12L,-1.05918704555537,1.05067186660827e-111,5.92172991364059e-109,0.366493,1.42568,0.284722,0.716535
FLT4,0.619136630695587,7.14424760893323e-111,3.93711547675411e-108,0.677617,0.05848,0.501389,0.059055
CRIM1,-1.04078997545603,2.52589799201146e-110,1.36173357182374e-107,1.034105,2.074895,0.652778,0.905512
RBFOX2,1.01994700473281,3.50975976583403e-110,1.85188366878549e-107,2.948482,1.928535,0.968056,0.874016
TFPI,1.01874160554198,4.94449349815707e-110,2.55455196376661e-107,1.885331,0.86659,0.883333,0.565945
ITGB6,-1.09096139589633,4.62340048733727e-109,2.33991242215259e-106,0.183337,1.274299,0.134722,0.630906
WWTR1,1.00505605629781,2.43058160864135e-108,1.20551986625394e-105,1.6322,0.627144,0.818056,0.431102
ATP11A,1.00517860533261,7.56356149399277e-108,3.67781885273582e-105,1.568814,0.563636,0.808333,0.379921
SASH1,1.12368495221513,2.39655055911719e-107,1.14292417914514e-104,2.30405,1.180366,0.911111,0.672244
DOCK5,1.0317336592103,2.73729777319332e-107,1.28079712221549e-104,2.776079,1.744345,0.9625,0.830709
PIP5K1B,-0.910910359385308,1.30048995428845e-106,5.97237969933321e-104,0.18387,1.094781,0.156944,0.627953
FOSL2,0.796500004080963,9.74877544407874e-105,4.3956342225038e-102,1.12009,0.32359,0.711111,0.260827
HEG1,0.973920934826253,4.4627496977271e-104,1.97628088846311e-101,1.407001,0.43308,0.755556,0.276575
GCNT2,-0.816449486841517,2.23216482093211e-102,9.71148340250797e-100,0.118338,0.934788,0.101389,0.586614
ASAP3,0.886803619509477,2.34039985121568e-102,1.000682343281e-99,1.388396,0.501592,0.783333,0.374016
CDC42SE2,1.03256729324646,3.24036898557415e-102,1.36199848259751e-99,1.988766,0.956198,0.873611,0.596457
IQCJ-SCHIP1,-0.912262872452517,4.15151207581437e-102,1.71588913280201e-99,0.275738,1.188001,0.223611,0.685039
ZNRF3,-1.00296403778357,5.6228933973649e-102,2.28593661247954e-99,0.419653,1.422617,0.323611,0.714567
KIF21A,0.9282046639917,4.93026362458886e-101,1.9720259294545e-98,1.573589,0.645384,0.818056,0.459646
