Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
AC016205.1,-1.80451573183074,4.24920562711792e-247,1.04674931418423e-242,0.40744,2.211956,0.321631,0.870833
DIAPH3,-1.51064562758353,6.53764821321796e-216,8.05242130422056e-212,0.349325,1.85997,0.285391,0.841667
HSPG2,1.47056386917858,5.89716885888233e-169,4.84236192232358e-165,2.595138,1.124574,0.952435,0.669444
ADAM19,1.22979879138826,4.22849547454964e-130,2.6041189380014e-126,1.747395,0.517596,0.8188,0.397222
FN1,0.932866300250319,1.18975136676324e-125,5.86166703376915e-122,4.682956,3.75009,1,0.995833
NOTUM,1.20045604410811,6.37678073348745e-121,2.61809360981216e-117,3.139487,1.939031,0.984145,0.863889
BRIP1,-0.871593179967645,4.29258757711013e-120,1.51062289106473e-116,0.163463,1.035057,0.15855,0.636111
CENPP,-0.88239981132173,9.52095638722045e-115,2.93174049553486e-111,0.243007,1.125407,0.227633,0.675
HTRA4,1.09631351319504,1.35299496498911e-112,3.70329755194909e-109,2.740863,1.644549,0.975085,0.790278
ITGA1,1.10424049319822,1.65251100134021e-108,4.07079560070149e-105,1.68565,0.581409,0.822197,0.397222
GPR78,0.999830148905577,1.09956791658828e-101,2.4624323688396e-98,2.647554,1.647724,0.985277,0.784722
KIAA1217,-1.1259776184599,3.79400516596947e-101,7.78846027154099e-98,0.736473,1.862451,0.497169,0.831944
HPGD,1.08554977992897,1.06803883690997e-99,2.02385143911079e-96,2.452627,1.367077,0.949037,0.725
AC091057.6,-0.68698081539854,1.26984527257014e-97,2.23438346032092e-94,0.11578,0.80276,0.127973,0.544444
CBL,0.914203234690396,5.5761252257922e-96,9.15748458747767e-93,1.510228,0.596025,0.828992,0.434722
CEP128,-0.852636644507923,8.44894201314746e-96,1.30082023469922e-92,0.416548,1.269185,0.372593,0.726389
ATAD2,-0.689826821301372,1.09601903152218e-95,1.58819604838337e-92,0.131154,0.820981,0.132503,0.554167
MED13L,0.984279586771243,2.09269289528638e-95,2.86396648791581e-92,2.616335,1.632056,0.962627,0.826389
HIP1,1.14074974002646,2.65117254446981e-95,3.43731497160364e-92,2.214505,1.073755,0.906002,0.608333
POLQ,-0.58692878162198,1.43897035074466e-94,1.7723797810122e-91,0.049341,0.63627,0.053228,0.476389
CBLB,0.906140663302386,1.01921331780479e-93,1.19558575575253e-90,4.228353,3.322213,0.998867,0.968056
ITPR2,0.937800162905932,3.80066889058441e-89,4.25571261139347e-86,1.569928,0.632128,0.821065,0.452778
EXTL3,0.878256592783353,6.95639615955279e-89,7.45060273888797e-86,1.424581,0.546324,0.798414,0.4
SMC4,-0.619223761550141,2.15632139245227e-85,2.21328421590288e-82,0.139355,0.758579,0.156285,0.538889
