Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
PRG2,1.93578888144492,1.30408484470486e-51,3.28746748501648e-47,2.550479,0.61469,0.896552,0.372658
BGN,2.00658452505851,1.9586248124378e-46,2.46874864483723e-42,3.036422,1.029838,0.965517,0.588354
CSH1,2.07935898317254,2.29286374711774e-39,1.92669340670303e-35,5.60697,3.527611,1,0.977215
PSAP,1.85360639834602,4.18921764453729e-37,2.64014969002852e-33,3.152368,1.298761,0.982759,0.69519
MALAT1,-0.926831077673923,1.58066040227134e-36,7.96937361617167e-33,4.370841,5.297672,1,0.999494
HLA-G,1.87027611579035,2.32553065772353e-35,9.77071705842541e-32,3.548586,1.67831,1,0.803038
NDUFA13,0.456590895703504,1.69702480422006e-34,6.11147118422623e-31,0.542562,0.085971,0.517241,0.128608
SPARC,1.71669111986912,3.09504449429456e-33,9.75287208208396e-30,2.96114,1.244449,0.931034,0.691646
GRN,1.10020810114692,6.54526654263183e-33,1.83332915859118e-29,1.585558,0.48535,0.827586,0.388861
CTSL,1.59641420298817,5.22325055636666e-31,1.31672923275447e-27,2.877468,1.281054,0.965517,0.706329
B2M,1.76093021429714,7.83758681517431e-31,1.79616114567026e-27,3.568373,1.807443,1,0.838481
RPL37A,1.21119413932824,2.1346660964742e-30,4.48439980216818e-27,1.769797,0.558603,0.844828,0.395949
RPLP2,1.19542314400557,1.01997912561637e-29,1.80199611666257e-26,1.764192,0.568769,0.793103,0.408608
TMSB10,1.49795553266664,1.05318925344675e-29,1.80199611666257e-26,2.87327,1.375315,1,0.763544
PPIA,1.135481749542,1.07223379546743e-29,1.80199611666257e-26,1.802488,0.667006,0.87931,0.511899
PPIB,1.28335048585857,1.40100230108987e-29,2.20736668801091e-26,2.028542,0.745191,0.913793,0.501266
RPL11,1.11943587912633,2.34249344454328e-29,3.46052501769687e-26,1.706516,0.58708,0.87931,0.450127
