Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
FBN2,-1.66139995425893,0,0,1.990232,3.651632,0.790354,0.987971
KANK1,-1.7823141934458,0,0,1.106926,2.889241,0.580709,0.958264
VAV2,0.620792543774025,0,0,0.666223,0.045431,0.457677,0.042992
SLC2A3,0.990583078004291,0,0,1.159589,0.169006,0.635827,0.1341
GREB1L,1.21631477044188,0,0,1.557264,0.34095,0.722441,0.254812
PCDH11X,-1.68880209572517,0,0,0.695502,2.384304,0.410433,0.892155
COLEC12,-1.40882261062884,0,0,0.529671,1.938493,0.349409,0.871444
RHOBTB1,-1.36732240329471,0,0,0.923616,2.290939,0.557087,0.927197
TPM1,1.17420754480214,0,0,1.694946,0.520739,0.799213,0.39341
FLNB,1.23052067533241,0,0,1.950485,0.719964,0.850394,0.508996
SLC24A3,-1.39057209739698,0,0,0.667333,2.057905,0.420276,0.869142
PVT1,1.05180370962892,0,0,1.505433,0.45363,0.745079,0.328766
NAALADL2,-1.2521591527704,0,0,1.346619,2.598778,0.704724,0.942573
RASGRF2,0.766794373419036,0,0,0.952885,0.18609,0.507874,0.156067
ARL15,-1.04851329967282,0,0,2.555937,3.604451,0.90748,0.985774
LGR5,-1.2359754556569,0,0,0.493516,1.729491,0.326772,0.837866
PBX1,-1.14486911034978,0,0,1.282125,2.426994,0.670276,0.941946
MTSS1,-1.18903420540745,1.97626258336499e-323,3.01775296479833e-320,0.422993,1.612028,0.301181,0.822385
SORBS1,-1.08831783405238,1.19298587480629e-288,1.72574825100268e-285,0.503455,1.591773,0.349409,0.826464
PALLD,0.999727513658007,2.10970406460061e-286,2.89926081077738e-283,1.610146,0.610419,0.771654,0.444142
MPP7,-1.08219290147555,1.37396653366855e-285,1.79826048466095e-282,1.327846,2.410038,0.686024,0.926569
NLRP2,0.745938967850404,4.43856286640922e-285,5.54517729014806e-282,1.089182,0.343243,0.640748,0.309728
TMEM150C,-1.01586697575102,1.04585614425489e-279,1.2497980923846e-276,0.138061,1.153928,0.120079,0.699372
ITGB6,0.878422696871498,1.00457621531437e-274,1.15044905324648e-271,1.274299,0.395876,0.630906,0.300837
TMTC2,-1.17483276869494,1.32134743085517e-265,1.45268936548217e-262,0.693784,1.868617,0.42815,0.840272
IL1RAP,0.700479162089719,1.90352835191747e-256,2.01224910586352e-253,0.961688,0.261209,0.543307,0.217155
HMCN1,0.316922224735213,4.43951409230718e-254,4.51926091952085e-251,0.344691,0.027769,0.234252,0.026569
ADAMTS19,-1.15177463644427,4.85370198692726e-251,4.76442853966771e-248,0.705864,1.857639,0.411417,0.834205
LRP2,-1.00015155084093,7.75699391605131e-237,7.35175785457483e-234,0.665896,1.666047,0.408465,0.831485
PFKP,0.249174461186836,6.9651234642239e-235,6.3812139471398e-232,0.264402,0.015227,0.195866,0.015167
HS6ST2,-1.06953030549793,1.46721430645485e-230,1.30085113590037e-227,0.739128,1.808659,0.436024,0.833891
MTHFD1L,0.915966145327618,2.61072674329997e-229,2.24236951686249e-226,1.727387,0.81142,0.810039,0.561297
