Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
NCAM1,1.9028988604442,2.63986752329689e-116,6.23642303703657e-112,2.003684,0.100785,0.676056,0.097395
JAG1,0.876327613779082,7.49982433156705e-100,8.858792500447e-96,0.89424,0.017912,0.521127,0.02265
PLPP3,1.11101991791237,8.81843034780131e-79,6.94421995121527e-75,1.214815,0.103795,0.633803,0.124575
GGT2,1.01875214686541,3.87513310085772e-75,2.28865360936657e-71,1.086694,0.067942,0.549296,0.065685
ABR,1.72402193441505,1.55202547982353e-72,7.33300998707022e-69,2.128538,0.404516,0.859155,0.355606
KLHL29,1.38415860807413,3.54925290415097e-72,1.39745917679437e-68,1.634564,0.250405,0.816901,0.236693
TLL1,1.14611508560876,2.43718743983762e-71,8.22515943981772e-68,1.266528,0.120413,0.647887,0.110985
EIF4E1B,0.331241586049551,1.13661979266875e-70,3.35643824775082e-67,0.332777,0.001535,0.352113,0.002265
PRUNE2,0.979434875043286,4.35010876395005e-61,1.14185521599507e-57,1.106557,0.127122,0.676056,0.12231
ADORA1,0.511540117715661,6.48894562504889e-56,1.53294851446155e-52,0.52362,0.01208,0.323944,0.012458
FN1,-1.42772550528161,1.12943759700605e-54,2.42562125378827e-51,3.255231,4.682956,1,1
SULT1A2,0.302431480710053,1.64938776349019e-54,3.24709471039103e-51,0.303504,0.001073,0.295775,0.001133
AC023905.1,0.664406475647382,1.62177464477141e-53,2.94713878523691e-50,0.711164,0.046757,0.478873,0.048698
SLC5A5,0.382275989379721,2.16477134215913e-51,3.65289701336909e-48,0.397036,0.01476,0.380282,0.016988
HES4,0.804835317290987,6.67659597972454e-50,1.05151935616675e-46,0.951552,0.146717,0.661972,0.171008
AC090673.1,0.246872155407617,3.50838192369762e-49,5.18012591033954e-46,0.247772,9e-04,0.267606,0.001133
RASGRF2,-1.44644239262166,6.14042597691498e-47,8.5330248987435e-44,1.142637,2.589079,0.633803,0.97282
ACHE,0.262103755950163,1.22692181898438e-46,1.61026672509372e-43,0.265602,0.003498,0.28169,0.00453
LINC00535,0.454339169000637,9.01465512516456e-46,1.12085375093099e-42,0.47167,0.017331,0.309859,0.020385
CXCL12,0.254858722252166,5.82194383430539e-45,6.87688005708153e-42,0.256182,0.001323,0.267606,0.001133
PCA3,0.474585920261865,1.50452288575015e-42,1.69251660252198e-39,0.515536,0.04095,0.43662,0.044168
FAM81A,0.37715035135986,1.48057098086479e-41,1.589864038725e-38,0.406958,0.029807,0.422535,0.037373
ACKR3,0.242719388155672,3.61374176396659e-39,3.71178414921508e-36,0.250679,0.007959,0.295775,0.010193
PHACTR2,1.25948465702206,1.42730725680252e-38,1.40494610977928e-35,2.12043,0.860945,0.943662,0.640997
IL17RE,0.586845881024647,1.01997784809397e-37,9.63838267334877e-35,0.674126,0.08728,0.521127,0.093998
CGNL1,0.446815362161666,2.94571318509632e-37,2.6765203186429e-34,0.496771,0.049956,0.450704,0.061155
AL603840.1,0.339625677340134,5.78748182953543e-37,5.06383224966463e-34,0.357661,0.018035,0.309859,0.023783
CHST11,1.54860987095303,1.63920756910942e-34,1.38302284330861e-31,2.536542,0.987932,0.915493,0.613817
TNFRSF8,0.326270254837819,3.13044498404279e-33,2.55012525182851e-30,0.341642,0.015372,0.253521,0.016988
SMAD3,1.10735284076504,5.50976905287816e-32,4.33875947017312e-29,1.558107,0.450754,0.802817,0.346546
SEMA6D,1.31300052613547,8.7158648563361e-32,6.64205133438981e-29,2.060204,0.747204,0.802817,0.540204
MYL10,0.213026232434285,1.47908846878979e-31,1.09193706208406e-28,0.22223,0.009204,0.239437,0.016988
ADAM12,-0.805071801506701,4.21946334491381e-31,3.02062430485588e-28,3.580385,4.385457,1,1
JAK1,-1.23465280519536,2.44828865961456e-30,1.70112856749218e-27,0.828987,2.06364,0.605634,0.92752
ABCC5,0.847022021342847,8.57497011913771e-30,5.78785983127169e-27,1.222311,0.375289,0.816901,0.353341
