Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
TIMP3,1.95332038781535,4.27064524729816e-282,1.10353473190184e-277,3.664798,1.711478,0.976203,0.787089
PAPPA,1.85087640234863,1.40489153574783e-258,1.81511986418619e-254,3.524643,1.673767,0.966582,0.817667
MYH10,-1.39821466845957,3.47687486118598e-248,2.99474821376819e-244,1.073641,2.471856,0.683544,0.939977
ADAMTS20,-1.59233331915028,2.89394994779644e-246,1.8694916662765e-242,0.462267,2.0546,0.293165,0.787089
PAPPA2,1.40338388048042,1.64813103041662e-243,8.51754116519308e-240,3.716199,2.312815,0.991392,0.967157
LTBP1,1.60985287305673,1.19174388383487e-237,5.13244365971552e-234,2.828059,1.218206,0.931139,0.610419
CSH1,1.48919698435251,6.24716362243804e-196,2.3060958286257e-192,3.527611,2.038414,0.977215,0.917327
MAST4,-1.13381990285435,1.7509214045397e-194,5.65547613666323e-191,1.192814,2.326634,0.743797,0.947905
XACT,-1.14301856924511,9.83387470781181e-183,2.8234146938873e-179,0.244173,1.387191,0.157468,0.621744
AC016831.7,1.37049524532636,1.51286935005213e-176,3.90925440053469e-173,3.134386,1.763891,0.949367,0.824462
IL6ST,1.09144674336068,1.18347481757161e-174,2.78008993509549e-171,2.144374,1.052927,0.904304,0.682899
XYLT1,-1.12474374022926,1.83680192408257e-150,3.9552468098578e-147,1.249567,2.374311,0.722532,0.928652
EGFR,1.07821343782825,6.06322534124323e-149,1.20518263705942e-145,1.988833,0.910619,0.874937,0.634202
PICALM,-0.91615289162721,3.47779670187295e-146,6.41901905545692e-143,1.716617,2.63277,0.867848,0.97282
GRAMD2B,-0.754084565402951,1.1478435377437e-133,1.97735180101981e-130,0.355034,1.109119,0.338228,0.694224
C1orf21,-0.687390523710222,9.27836070768223e-133,1.49845525429068e-129,0.239308,0.926699,0.223797,0.608154
CDK7,-0.865349425657386,1.25449189268324e-132,1.90682767687853e-129,0.911338,1.776688,0.643038,0.878822
JAK1,-0.916677581116841,4.63750492564648e-132,6.65739595992805e-129,1.146962,2.06364,0.71443,0.92752
CPED1,0.992941491409222,8.81194721824535e-130,1.19842482168137e-126,1.597551,0.60461,0.782278,0.451869
