"","motif","view","factor","padj"
"1","FOXF2","ATAC_all","Factor1",1
"2","FOXD1","ATAC_all","Factor1",1
"3","IRF2","ATAC_all","Factor1",0.775980451375991
"4","MZF1(var.2)","ATAC_all","Factor1",0.00964731464317107
"5","MAX::MYC","ATAC_all","Factor1",0.0997222171246842
"6","PPARG","ATAC_all","Factor1",0.0519739795286498
"7","PAX6","ATAC_all","Factor1",0.225547688025077
"8","PBX1","ATAC_all","Factor1",1
"9","RORA","ATAC_all","Factor1",1
"10","RORA(var.2)","ATAC_all","Factor1",0.110363505465157
"11","RREB1","ATAC_all","Factor1",0.00119836833532492
"12","RXRA::VDR","ATAC_all","Factor1",0.749896811404172
"13","SOX9","ATAC_all","Factor1",0.00100380397944585
"14","SRY","ATAC_all","Factor1",1
"15","TAL1::TCF3","ATAC_all","Factor1",0.822612048575227
"16","REL","ATAC_all","Factor1",0.0179804754104338
"17","RELA","ATAC_all","Factor1",0.0669755257093436
"18","NR1H2::RXRA","ATAC_all","Factor1",0.180539772353222
"19","NFIC::TLX1","ATAC_all","Factor1",1
"20","ZNF354C","ATAC_all","Factor1",0.00866697034421251
"21","CTCF","ATAC_all","Factor1",0.0324392765602142
"22","EWSR1-FLI1","ATAC_all","Factor1",0.0188669512785439
"23","REST","ATAC_all","Factor1",0.0695779226694226
"24","NFATC2","ATAC_all","Factor1",1
"25","INSM1","ATAC_all","Factor1",0.00115810960976067
"26","RARA::RXRA","ATAC_all","Factor1",1
"27","NR4A2","ATAC_all","Factor1",1
"28","PLAG1","ATAC_all","Factor1",0.00254184549740698
"29","ARNT::HIF1A","ATAC_all","Factor1",0.22940432573414
"30","DUX4","ATAC_all","Factor1",0.456419566158255
"31","FOS","ATAC_all","Factor1",1
"32","FOSL2","ATAC_all","Factor1",1
"33","FOXH1","ATAC_all","Factor1",1
"34","JUN","ATAC_all","Factor1",0.528780040448354
"35","JUN(var.2)","ATAC_all","Factor1",1
"36","JUND(var.2)","ATAC_all","Factor1",0.558587793949232
"37","MEF2C","ATAC_all","Factor1",1
"38","MAF::NFE2","ATAC_all","Factor1",1
"39","NR2C2","ATAC_all","Factor1",7.76897752521629e-06
"40","NRF1","ATAC_all","Factor1",0.145037144394428
"41","POU2F2","ATAC_all","Factor1",1
"42","SMAD2::SMAD3::SMAD4","ATAC_all","Factor1",0.732614088342076
"43","STAT1::STAT2","ATAC_all","Factor1",0.970036920354683
"44","TCF7L2","ATAC_all","Factor1",0.373853757058774
"45","ZBTB33","ATAC_all","Factor1",0.0013236839121182
"46","ELK4","ATAC_all","Factor1",0.000118650336775203
"47","ESR2","ATAC_all","Factor1",0.787046699001285
"48","IRF1","ATAC_all","Factor1",1
"49","STAT1","ATAC_all","Factor1",0.801335269308491
"50","STAT3","ATAC_all","Factor1",1
"51","GATA1::TAL1","ATAC_all","Factor1",1
"52","YY1","ATAC_all","Factor1",0.56578875698737
"53","FOXP2","ATAC_all","Factor1",1
"54","SREBF1","ATAC_all","Factor1",0.0923736853159659
"55","SREBF2","ATAC_all","Factor1",0.558587793949232
"56","THAP1","ATAC_all","Factor1",0.0997222171246842
