"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",1,0.226364212912399,1,1,0.608829478222937,1,0.424016193541822,0.502628887913103,1,0.180891800682287,1,0.296050716474274,1,1,0.830579870075688,1,0.506419340588629,0.76115810059568,1,0.56129661682298,0,1.20984772500045,0,0,0.511760189573055,0,0.7995038028098,0.670381954164652,0,1.33810196621085
"FOXD1",1,0.000170681889069165,1,1,0.104246278969442,1,1,1,1,1,1,0.000383126368016955,1,1,0.372812963772072,1,1,1,1,1,0,3.76020774747886,0,0,1.62474617415199,0,0,0,0,0
"IRF2",0.661343170970142,3.27553893972569e-10,1,0.09577448721239,1,0.81377436807232,1,0.699598986226083,0.00055499158722099,0.920494704374079,0.775980451375991,1.23417627907522e-09,1,0.251557055624244,1,0.898251575351888,1,0.892834996534497,0.0017305895305955,0.964690642166874,0.438071744398061,6.29112950362202,0,1.66584121711927,0,0.235565517473781,0,0.385872267974128,3.4537556682796,0.0998129540469997
"MZF1(var.2)",0.00208796541250306,3.65764402146964e-25,1,0.83418144135419,1,0.202118126769341,1,1,4.85795454596468e-07,0.16175266310747,0.00964731464317107,4.9261460970006e-24,1,0.907926701626342,1,0.359384197317395,1,1,2.79553202508695e-06,0.520295270088348,3.07818360533349,10.38933722405,0,0.209346911712782,0,1.27561889011144,0,0,5.03495365937146,1.39929844363152
"MAX::MYC",0.0418317039028716,7.57091699354665e-05,1,1,1,1,1,0.98997411349189,0.000376599490111069,1,0.0997222171246842,0.000174904761201279,1,1,1,1,1,0.994688275937089,0.00126130940338787,1,2.03543650876518,3.95914213320337,0,0,0,0,0,0.012566211347023,3.55710191303913,0
"PPARG",0.0169962302724021,0.000814523373476244,0.776805609889725,1,1,0.925892236292351,1,0.398887176432571,1,0.0133260654375771,0.0519739795286498,0.00163680411241417,0.911252337639152,1,1,0.960802927168948,1,0.710593809564482,1,0.227403588071973,2.3871649585056,3.34877239928825,0.283491504303861,0,0,0.0930164600541558,0,0.843644290187377,0,2.47534888124661
"PAX6",0.118653049150633,0.133896759525044,0.505070054981125,0.208938761962509,0.182694981481561,0.00263357572379972,1,0.801146449634994,0.0676797644135489,0.903173476218238,0.225547688025077,0.186688653699015,0.77438467904909,0.419274604359726,0.483874155974175,0.0196123933313556,1,0.942612830146749,0.117695854048836,0.960664313547539,1.56057821283955,1.49902523295665,0.6665562857,1.25656506757278,1.33258984507537,3.00826618730895,0,0.251869954167515,1.8273193731263,0.121656357113603
"PBX1",1,0.00410082742918622,1,1,0.485308303645722,1,1,1,1,0.00576532310789173,1,0.00735360839284668,1,1,0.75479153859396,1,1,1,1,0.154117126174487,0,2.87092313941748,0,0,0.697814751923895,0,0,0,0,2.76139772827699
"RORA",1,0.539116492606062,0.619867669869468,1,0.0767879677743757,0.765328855674516,1,0.805932461813762,1,0.659224511313011,1,0.612676373105273,0.833070562690814,1,0.335387711139715,0.865094938646372,1,0.944731941348355,1,0.871167256077528,0,0.614169450041233,0.496052428063048,0,1.76980681997325,0.298498100615048,0,0.24568288462782,0,0.440996474232286
"RORA(var.2)",0.0479462306523193,0.996937533028175,0.312614966712408,1,1,1,0.497771572216313,1,1,0.120316658462378,0.110363505465157,0.998396337912614,0.655249251420377,1,1,1,0.577086822734297,1,1,0.470126202510401,1.97807301848133,0.00383833277867718,1.0097981647529,0,0,0,0.678023449356703,0,0,1.55357045688313
