,pval.Factor1,pval.Factor2,pval.Factor3,pval.Factor4,pval.Factor5,pval.Factor6,pval.Factor7,pval.Factor8,pval.Factor9,pval.Factor10,adj.pval.Factor1,adj.pval.Factor2,adj.pval.Factor3,adj.pval.Factor4,adj.pval.Factor5,adj.pval.Factor6,adj.pval.Factor7,adj.pval.Factor8,adj.pval.Factor9,adj.pval.Factor10,setstats.Factor1,setstats.Factor2,setstats.Factor3,setstats.Factor4,setstats.Factor5,setstats.Factor6,setstats.Factor7,setstats.Factor8,setstats.Factor9,setstats.Factor10
FOXF2,0.4987454473994817,0.14162931249096827,0.7471889228887995,0.9649780741094627,0.6896378283627584,0.4599408842832835,0.8693319498426507,0.19768211147779322,0.022608253321961834,0.3484939929387093,0.6226940201259801,0.1932141267387563,0.8302640641942409,0.9900018167119772,0.9056861936797221,0.6469835105584855,0.8947758117892649,0.715587147119475,0.04867695358095864,0.872447736635445,0.6764881934035105,1.4698597622286296,0.32235656131661683,-0.04390861267171923,0.39935749089150546,-0.7389710440706666,0.1645110809406933,1.288263964558838,-2.280322638670698,0.9375558516479569
FOXD1,0.03826622599719116,0.00011230591621665456,0.03529407117889901,0.4214485976308274,0.2305508368472573,0.8228004876207703,0.3524359147485361,0.8050159475624461,0.02619146484280656,0.49108800623255855,0.08385723133322684,0.00025031565128571246,0.09426644327528723,0.9049148928348707,0.6585954127286235,0.9026563408387307,0.4415709669367011,0.9555125366308683,0.054898004124160765,0.9120122017398714,2.0722493561462723,3.863785727180813,2.1052369477781965,-0.8039417208590975,1.1990098128640125,-0.22395002857257712,-0.9299155443175273,0.24686696412784717,-2.2236716198484365,-0.6886032268477079
IRF2,0.14046696271486064,4.645333408981087e-11,0.09644259449517462,0.6895429990917358,0.6456575754102662,0.13686056829359944,2.6128843050593655e-05,0.7932668912796148,0.20894544502084939,0.9646070753009044,0.2356569055180748,1.7929853950518464e-10,0.19077550723576728,0.9374100143903631,0.8798615210813647,0.3018562359925033,8.48182443642348e-05,0.9555125366308683,0.3040516475820636,0.9881792759335931,-1.4741642526534067,6.5887426403023035,-1.6624971526093948,-0.39948621466143386,-0.4598161660810419,1.4876965841635874,-4.2066680262098926,-0.2620773393216999,1.2565466211126242,-0.0443740549239424
MZF1(var.2),0.0006309596297115282,1.2821773141161615e-27,0.0003802722296638012,0.3895095561067504,0.18317906100206408,0.016858878701351197,1.211385537049775e-15,0.9219187249954252,7.359070265837276e-08,0.6506786800941946,0.0022564827435446176,1.7643874779033266e-26,0.002766808291691795,0.8869048525740036,0.6156087820157904,0.07346990472650061,1.5975146769843906e-14,0.977511813939873,5.750977133672834e-07,0.9214308825494971,-3.4189635082309398,10.920980938436882,-3.55454761093042,-0.8605423258863747,1.331116942703505,2.3901480044040495,-8.015540784191286,0.09801941292960552,5.385968915332957,0.45283238049243796
MAX::MYC,0.9455095418666033,1.0527400254342756e-05,0.444030395879743,0.047837948394394626,0.07641741396553442,0.2799761687739363,0.0014886644975017937,0.5483871732940393,0.017829761910256058,0.4796832486470083,0.9591466987204484,2.505204646992092e-05,0.5892478838404137,0.5928730809870312,0.5145981174487584,0.4855477118737032,0.003451738560141522,0.9134975807766497,0.040452470570580955,0.9120122017398714,0.06834844929541425,4.408161845372785,-0.7654335611125215,-1.9790337708892367,-1.7720347084444759,1.0804279042642109,-3.1777125849645924,0.6001978469517703,2.3695028605287223,-0.7068370185148141
PPARG,0.12845616313709424,0.0003034912930294747,0.6259979679239877,0.8770632298515764,0.13496353281910003,0.691036302820472,3.281718785014285e-05,0.00686480063914097,0.616408479074998,0.10209498732702085,0.22095856322223,0.0006157371425886457,0.7534092493089783,0.9803626146303498,0.5747398426272309,0.8145735189671486,0.00010334965128925585,0.16094143720652718,0.6905956942557057,0.7331241401346211,1.5203364273456528,3.6134945680768147,0.48738160773950967,0.15469687325019044,1.4949255589964383,0.39745993142751873,-4.154762648822102,2.703860554933894,-0.500961648494694,1.6349219985091594
PAX6,0.13160972570717613,0.07925186819705682,0.4131660352037372,0.4540729189502515,0.40247463776850745,0.09549327633679888,0.010957169866510085,0.9815812707277611,0.06620516341984425,0.9391445182914394,0.22357471420909342,0.11612600131652075,0.5600301933275496,0.9129073761065063,0.8042454671171045,0.23704801537723016,0.020221249345483625,0.9958691610871233,0.11905644444534492,0.9881792759335931,1.5079003611777728,1.7552117970635288,0.8183669201331059,-0.748669606823326,0.8372432883642065,1.6672543431417488,-2.5445086120231806,0.023087047267861743,1.837220935671515,0.07634693935197523
PBX1,0.06723410765122691,0.0010937327784924574,0.5933525491458593,0.21996469108105202,0.9269884784185317,0.6233458080590342,0.0016797480513406448,0.8267101103193408,0.9165596909149593,0.08792515481655033,0.13074226606939376,0.002054400144764764,0.722491584634717,0.8402551815670055,0.982675940077046,0.769157692985124,0.003880585826637329,0.9555125366308683,0.9342709892901276,0.7331241401346211,1.83029295761142,3.2661301317246254,-0.5340002067136587,-1.226694217422865,0.09163662287207387,-0.4911283426458284,-3.142494458926268,-0.21892828788545998,0.10477075591180231,1.70660245020816
RORA,0.09765736005693522,0.687741274075435,0.07487522219581402,0.1783076376737212,0.009233909064638824,0.8364350886305012,0.8319504654535888,0.9978851427683754,0.08202268146281803,0.7300774120756611,0.17518933303854375,0.7544891273652519,0.15828539208069797,0.8275852427316447,0.2149026779499224,0.9097309469125554,0.8718951070068239,0.9978851427683754,0.14382370461485822,0.9412199630221862,1.656464103732356,0.40193318505144343,1.7814026222052899,-1.3460730643344536,2.603746279870308,0.2064606011214394,-0.21220590533059747,-0.002650645862077016,-1.7392331767823785,0.345031631544376
RORA(var.2),0.20655565650580093,0.8098624283135929,0.21911613065176552,0.6397876101077772,0.9682295986464118,0.2192551639871875,0.5906328436259807,0.6625176748042989,0.61058250574874,0.20410330556881875,0.3196814928317164,0.8558312472829788,0.3484937454838381,0.9359596402129015,0.9981911008846558,0.412435406129351,0.6664359893319889,0.9443767111684294,0.6873599475324181,0.7843611870889525,1.263170331809136,-0.24060949329843787,1.2289542843114307,-0.4680091837100513,0.03982975846747966,-1.2285835511747076,0.5379354836246877,-0.4364520008527705,-0.5092572156976939,1.2700255551658217
RREB1,0.0006744614063259593,1.6151602120765436e-45,1.606368221623103e-05,0.2834377721349818,0.7937843203964201,1.507714342941135e-10,4.166417146133145e-27,0.035618588057776235,8.175695705237588e-07,0.7503424670019399,0.0023970773142669827,4.259985059351884e-44,0.0002310979737016873,0.8590234944458469,0.9356898972270651,8.676210718924895e-09,1.098892522292617e-25,0.38292838517581784,5.390849355641034e-06,0.9496661478312506,-3.4007591068862824,14.227532512059609,-4.315561729082734,-1.07268284612619,0.26140622137188096,6.410922282719561,-10.812231679953012,2.1015224396797128,4.934061302498813,-0.3181960604491565
RXRA::VDR,0.7177402808315352,5.450076619066714e-07,0.7476311478526341,0.7001178096483895,0.9909140441797688,0.3066746403460152,1.1573317369194224e-05,0.8881177639715266,0.22599444004596617,0.3182872792247402,0.7998760524055665,1.4618213982496738e-06,0.8302640641942409,0.9374100143903631,0.9996717115147264,0.5162900195186906,4.069949941499969e-05,0.9726925462891272,0.3228574664973341,0.8562307280803054,-0.36149010366095946,5.0128242454383845,0.32177279483805293,-0.38517183508158437,-0.011388070666735315,1.0222736642826484,-4.387560633075398,0.14068967738470942,1.2108118020974306,-0.9980304802405207
