"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",0.200992833370346,1.21267634152289e-06,0.475730411451376,0.618670842058977,0.811769651117161,0.126294755116734,0.0223913470873958,0.0502355875978055,1,0.134270932437052,0.246089871418624,1.97596853468852e-06,0.556141578372318,0.790279186013419,0.909469361340111,0.220233002724223,0.0402662576884134,0.166709258177661,1,0.3024679723582,1.27880725796392,4.85635751310493,0.713211701161245,0.497749585892132,0.23814960203914,1.52899766525372,2.28399654701954,1.95817492491194,0,1.49758439734271
"FOXD1",6.90739295750573e-05,1.84629441385118e-80,2.53583615907806e-05,0.750367119670997,0.479063333335512,0.00225406883522069,1,0.33205545613011,1,0.00976292763753218,0.000147715531827741,2.76021014870752e-79,8.18971575865515e-05,0.864948093255793,0.678183488262384,0.00783970094887196,1,0.545950918780154,1,0.0528199418338279,3.98102834593128,19.1585202452732,4.21344158315878,0.318163557730427,0.707834843046203,3.05528046850437,0,0.970026261038443,0,2.58458118614295
"IRF2",1,1,1,1,0.135696769838778,0.0139855567835921,0.0137276967197919,1,1,1,1,1,1,1,0.287245911835705,0.0368869060167242,0.0261735904326153,1,1,1,0,0,0,0,1.49212218729224,2.4580408101239,2.46472060411218,0,0,0
"MZF1(var.2)",1,3.98275052638958e-84,1,1,1.96169158195598e-05,0.000174119462013333,3.30815448283847e-18,0.0712612099262931,9.79819796623031e-09,0.498075248091964,1,6.10688414046403e-83,1,1,0.000689861539654521,0.00091781908266317,4.36262872424323e-17,0.208834934645109,1.10754630582568e-07,0.679486275953046,0,19.6082177022521,0,0,4.27113670393989,3.75521002962206,8.71607162344591,1.80398962048355,5.73875444685139,0.677544551179965
"MAX::MYC",1,8.24661103401391e-272,0.511232476411335,1,1,0.00675126285359766,0.0824206440986475,0.238851073599147,0.183766495568243,1,1,4.93147339834032e-270,0.590529484613823,1,1,0.0201582518222987,0.126631717753505,0.456474143530221,0.264975379714573,1,0,36.2785889956975,0.656941916036633,0,0,2.70940167539575,1.73697434641572,1.17792947395559,1.32933343250017,0
"PPARG",0.294520913691346,1,0.474210225703624,0.114912197455536,0.00132587501914533,0.1632140986005,0.0184306502057188,2.09493670157471e-05,0.997762508055031,0.0769185089384817,0.346609486237848,1,0.555879764574804,0.252567433990813,0.0133373047519955,0.264231520240707,0.0340134156857726,0.000340024341563281,0.997762508055031,0.209868173095081,1.04830719048175,0,0.715671005689407,1.57662228185688,3.21117271214564,1.39443932697175,2.35721390699397,4.25643510649042,0.00280434986605129,1.76902405246817
"PAX6",0.134234202922528,1,0.329106408700881,1,0.76477024064768,0.497794117672144,1,1,0.0636913134061142,0.355755296463985,0.174886952532186,1,0.414163731029141,1,0.878583597695066,0.61304217215266,1,1,0.108087403179813,0.561188155240906,1.49772569490131,0,0.975960142006631,0,0.299230216878362,0.677987889731618,0,0,1.85452798472141,0.923523709961875
"PBX1",8.07750877787393e-06,1,0.00723669608901309,1,1,0.119075217462363,1,0.734392566382577,0.794707771854824,0.61182733064978,1.92615815101539e-05,1,0.0142584023854908,1,1,0.209957138311075,1,0.84368510802209,0.85118446630136,0.762375394293919,4.46531430667121,0,2.68626965614358,0,0,1.55879262436214,0,0.339297177390325,0.260208775043591,0.507481790074382
"RORA",0.00390905104734711,1,0.00339246276980688,1,0.000507998980717117,0.0344965002886994,1,1,1,1,0.00651165608676505,1,0.00718203656617978,1,0.00618391066911414,0.0779867310098097,1,1,1,1,2.88604176792781,0,2.93039945442879,0,3.47757220012277,2.11449158940192,0,0,0,0
"RORA(var.2)",0.751186984458445,1,0.156190826108986,1,0.245513315839441,1,1,1,0.813375234964235,0.127227312159219,0.792502268603659,1,0.216997958719504,1,0.423460296802088,1,1,1,0.856683067774311,0.291793074626036,0.317082817939094,0,1.41810012626907,0,1.16138034661014,0,0,0,0.236079874970387,1.52524666711337
