"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",0.00804366447429942,1,0.207927913811445,0.582070895788081,1,0.531625683546673,0.0587079241661765,1,1,0.250995360359707,0.0113399545929433,1,0.292485265428099,0.714738057161459,1,0.892276959214112,0.0975383621973483,1,1,0.471454193197906,2.65073127877481,0,1.25936013120901,0.550379159874408,0,0.625546766754144,1.89057745466351,0,0,1.14799762158415
"FOXD1",8.63219648661929e-06,0.131389803273134,3.94386841705255e-05,0.171327647732153,1,0.173471125850795,0.272213425182256,1,1,0.24643292261867,1.62141850920772e-05,0.726674483099627,0.000153157589447501,0.322769050638253,1,0.669556235753374,0.352678006988519,1,1,0.467042035980893,4.45104799402866,1.50876007971411,4.11247336951474,1.36804256626183,0,1.36122595581094,1.09803644970571,0,0,1.15912090635598
"IRF2",1,1,1,1,0.192235735690554,1,0.000585881543611785,0.650584835933095,1,1,1,1,1,1,0.433043490007547,1,0.00157814049832451,0.816598693698352,1,1,0,0,0,0,1.30407644283255,0,3.43910366391196,0.452962703643503,0,0
"MZF1(var.2)",1,1,1,1,2.32867995562615e-05,0.983980056132698,3.38055717241529e-19,0.0017709799958333,2.98325226693938e-05,0.00814931150942685,1,1,1,1,0.000576653529812435,0.996064556627891,4.97649462822995e-18,0.0127984060603229,0.000290522874611173,0.0393420723029115,0,0,0,0,4.23267372872272,0.0200798433912198,8.97266431360041,3.1269635391408,4.17654971775108,2.64631775607559
"MAX::MYC",1,0.859526743214629,1,1,1,0.954830850801457,0.000605512494340643,0.158690856415472,0.0287836843186136,0.235296687689616,1,0.975682282860295,1,1,1,0.994210758064472,0.0016241076649052,0.351228364024453,0.0765549250995059,0.456879764747014,0,0.176980923400316,0,0,0,0.0566427407083588,3.43016158668775,1.40958714965884,2.18673357546086,1.18689209972815
"PPARG",1,1,1,0.483915572712836,0.0146303788344746,0.503731929379596,0.00608186851089496,8.58906813853535e-07,0.521204436410575,0.0608014956182058,1,1,1,0.644881173741527,0.0735002365255746,0.892276959214112,0.0129623662201903,1.87478625230789e-05,0.665166145661077,0.190531419437249,0,0,0,0.700043298741447,2.44180091488862,0.668652113796525,2.74388433251751,4.92440193563736,0.641511186598145,1.87513521934155
"PAX6",0.431675244965772,1,0.663386503964747,1,0.943348116158704,0.33996153060419,1,1,0.705440875782025,0.60917805377787,0.465503288012493,1,0.745867952059831,1,0.975908463372734,0.809714873136681,1,1,0.806036235324949,0.777984207591694,0.786358090168034,0,0.435254546113013,0,0.0710640492899636,0.954284113443557,0,0,0.377996311640115,0.511262238205043
"PBX1",0.0100205357887604,1,0.0199333995031549,1,0.819541500421495,0.0394168776567977,0.0205893079543893,1,1,0.0871282025472203,0.0138493431316273,1,0.0404418009150546,1,0.930410646615046,0.346540049399346,0.0390210536979894,1,1,0.244392279542603,2.57558174794509,0,2.32795023410599,0,0.228140371505296,2.06006204666373,2.31577808070979,0,0,1.71090284827863
"RORA",0.000519346656985219,1,0.00706879694209541,1,0.0249639254704935,0.0212925833725126,1,1,1,1,0.000825996065004129,1,0.0158671931359801,1,0.108980447053948,0.249596393977786,1,1,1,1,3.47163853572127,0,2.69410837416745,0,2.24227805637792,2.30309698516572,0,0,0,0
"RORA(var.2)",0.0284486631255858,1,0.11347403051054,0.409177996512818,0.287093382201367,0.359295294244364,1,1,0.786189909017446,0.559135468611046,0.0370535056759173,1,0.177794706220723,0.580739174422901,0.555749574720077,0.820105414796428,1,1,0.858031400703523,0.757885977796128,2.191341967075,0,1.5828998028792,0.825373652682773,1.06457296441786,0.91674837124679,0,0,0.271268352080887,0.584144522806873
"RREB1",1,1,1,1,0.00153435581299514,0.188254229205872,3.36028606100157e-32,5.07090567339782e-05,2.03892051640738e-07,4.01614518855793e-08,1,1,1,1,0.0161957390988452,0.679639526353905,9.66845943915452e-31,0.000697800715491483,4.03323964651834e-06,1.69481326957145e-06,0,0,0,0,3.16892789098209,1.31584558890006,11.8517169072791,4.05399435828601,5.19917405783552,5.494160829699
"RXRA::VDR",1,1,0.950188145150663,1,0.29961333426955,1,5.55629931517205e-06,0.0257718407537868,0.551982544334607,0.00998210230047892,1,1,0.959280854673636,1,0.56613504654515,1,2.0568055359672e-05,0.101326554019547,0.68954753756555,0.0461216843518479,0,0,0.0624719844939753,0,1.03731354156287,0,4.54491687047194,2.22994556879283,0.594810880890054,2.57691122860412
"SOX9",0.0695512705620017,0.211146292762385,0.77114440382456,1,0.333045043055661,0.228788249004798,0.746587161883322,0.728143691582722,1,0.0915439613856008,0.0846652966648982,0.726674483099627,0.824551364224572,1,0.590525244409618,0.742330601949801,0.788964396447651,0.869383698038399,1,0.253045098502556,1.81500512313375,1.25049497915648,0.290885706921549,0,0.968042718261657,1.20355539772467,0.323151102564643,0.347605048203452,0,1.68746150656684
