"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",1,0.141114792602595,1,1,0.190992551701154,1,0.965940064222871,0.100481068849887,0.885227229672615,0.364692142591057,1,0.192927999389725,1,1,0.586504050847368,1,0.973630669829742,0.331273523864472,0.943348209398594,0.848938667939868,0,1.47176180317489,0,0,1.30773180391824,0,0.0427017772659776,1.6426686251217,0.144349496136992,0.906499346086304
"FOXD1",1,0.000165045486402459,1,1,0.133294541639654,1,1,0.247923471493742,1,1,1,0.000354148450483921,1,1,0.508285812396995,1,1,0.53929744830082,1,1,0,3.76861089483035,0,0,1.50135076157311,0,0,1.15547119910002,0,0
"IRF2",0.00198381605979912,3.31185863369776e-11,1,0.259300854447549,1,0.0918351835659314,1,1,0.0164211191191135,1,0.00367179990015451,1.28613896633784e-10,1,0.458484471690777,1,0.278344641320143,1,1,0.0866214033533237,1,3.09341252043005,6.6390095685049,0,1.1281053899461,0,1.68594777827072,0,0,2.3997999338477,0
"MZF1(var.2)",1.45969757235714e-18,1.41408663759424e-27,0.392769319114199,0.181747625277663,1,0.0220867618766483,1,1,0.0242356256884269,0.699178891241353,9.333217811132e-18,1.94590617738512e-26,0.752755706915262,0.365226180319876,1,0.102050512904514,1,1,0.112802581329222,0.923318794327854,8.80893662361601,10.9119844091173,0.854640727651534,1.33548074766318,0,2.28920813317129,0,0,2.2536951273909,0.386439552157863
"MAX::MYC",1.81846566119461e-09,1.20700846466234e-05,0.511933085875396,0.423818704493025,1,0.308141748684023,1,1,0.511813606998188,1,6.4306634834424e-09,2.87231713583181e-05,0.828375211577579,0.622727812252501,1,0.566216225521338,1,1,0.736313666431485,1,6.01849948160543,4.37839150877894,0.655852703682894,0.79984458987653,0,1.01917778444184,0,0,0.656038398137364,0
"PPARG",0.00381149099583105,0.00026448853763522,0.466707627852295,1,1,0.871350223092283,1,1,1,0.11325222072594,0.00672620248515445,0.000548922112534735,0.807174667842904,1,1,0.932530543333251,1,1,1,0.70800828644061,2.89399328600668,3.64903346937634,0.727872549943295,0,0,0.161947562822063,0,0,0,1.58387355989727
"PAX6",0.316167471603834,0.0731740922769603,0.577920496882682,1,0.37103913533604,0.197897292817126,1,0.481568553193952,0.0749456751567324,0.949329688312468,0.375485946576411,0.107970164128941,0.860886165017218,1,0.767541740744161,0.431161387221821,1,0.763165890060896,0.245806281731666,0.990725823129802,1.00241195308426,1.79192062042641,0.556441913973573,0,0.894566443610378,1.28764581949756,0,0.703806719038292,1.78097124359845,0.0635500641979346
"PBX1",1,0.000933951964419812,1,1,1,1,1,1,0.829326889661067,0.0970704331891409,1,0.00174908755466787,1,1,1,1,1,1,0.917769092929118,0.70800828644061,0,3.31063248498552,0,0,0,0,0,0,0.215570238078555,1.659371495999
"RORA",1,0.674854906932573,1,1,0.413025911632156,1,1,0.273132876776952,1,0.716123442090496,1,0.742927227979685,1,1,0.791582343662538,1,1,0.56413721754174,1,0.923318794327854,0,0.419505910771089,0,0,0.818612426566951,0,0,1.09593306619448,0,0.363654243402025
"RORA(var.2)",1,1,1,1,1,1,0.549211499147962,1,1,0.210663359723388,1,1,1,1,1,1,0.625271365037158,1,1,0.769873831083367,0,0,0,0,0,0,0.598961220351606,0,0,1.25181896983525
