,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
MYRF,0.003901,no,yes,no,no,EVT_2,EVT_2_MYRF
ZNF451,0.555838,yes,no,no,no,EVT_2,EVT_2_ZNF451
RXRA,0.30116,yes,no,no,no,EVT_2,EVT_2_RXRA
ZNF549,0.022857,no,yes,no,no,EVT_2,EVT_2_ZNF549
GATA5,0.000313,no,yes,no,no,EVT_2,EVT_2_GATA5
BCL6B,0.000535,no,yes,no,no,EVT_2,EVT_2_BCL6B
NFIL3,0.194569,yes,no,no,no,EVT_2,EVT_2_NFIL3
SMARCA5,0.336336,no,yes,no,no,EVT_2,EVT_2_SMARCA5
ASCL2,0.913468,no,yes,no,no,EVT_2,EVT_2_ASCL2
ZBTB5,0.031904,no,yes,no,no,EVT_2,EVT_2_ZBTB5
ZNF584,0.010229,no,yes,no,no,EVT_2,EVT_2_ZNF584
EGR1,0.310508,yes,yes,no,yes,EVT_2,EVT_2_EGR1
LHX2,0.077235,yes,no,no,no,EVT_2,EVT_2_LHX2
ZNF493,0.090101,yes,yes,no,yes,EVT_2,EVT_2_ZNF493
ATOH1,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_ATOH1
ZBTB46,0.099419,no,yes,no,no,EVT_2,EVT_2_ZBTB46
ISX,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_ISX
CSRNP2,0.082571,no,yes,no,no,EVT_2,EVT_2_CSRNP2
ADNP2,0.12903,yes,yes,no,yes,EVT_2,EVT_2_ADNP2
ERF,0.017089,yes,no,no,no,EVT_2,EVT_2_ERF
ATF2,0.209477,no,yes,no,no,EVT_2,EVT_2_ATF2
SMARCC2,0.17394,no,yes,no,no,EVT_2,EVT_2_SMARCC2
ZNF8,0.012921,yes,yes,no,yes,EVT_2,EVT_2_ZNF8
ZNF160,0.135947,no,yes,no,no,EVT_2,EVT_2_ZNF160
ZNF445,0.034555,no,yes,no,no,EVT_2,EVT_2_ZNF445
HOXB2,0.051186,no,yes,no,no,EVT_2,EVT_2_HOXB2
THAP11,0.034634,no,yes,no,no,EVT_2,EVT_2_THAP11
FOXA2,0.000962,no,yes,no,no,EVT_2,EVT_2_FOXA2
ZSCAN30,0.067165,yes,no,no,no,EVT_2,EVT_2_ZSCAN30
JUNB,0.507202,yes,yes,no,yes,EVT_2,EVT_2_JUNB
RARB,0.011915,no,yes,no,no,EVT_2,EVT_2_RARB
SMAD3,0.341683,yes,yes,no,yes,EVT_2,EVT_2_SMAD3
ZBTB48,0.05062,no,yes,no,no,EVT_2,EVT_2_ZBTB48
ID4,0.053093,yes,yes,no,yes,EVT_2,EVT_2_ID4
RORC,0.003612,no,yes,no,no,EVT_2,EVT_2_RORC
SOX15,0.001376,no,yes,no,no,EVT_2,EVT_2_SOX15
TFAP2A,0.803344,no,yes,no,no,EVT_2,EVT_2_TFAP2A
RARG,0.007238,no,yes,no,no,EVT_2,EVT_2_RARG
KLF8,0.187592,no,yes,no,no,EVT_2,EVT_2_KLF8
ZNF587,0.102103,yes,no,no,no,EVT_2,EVT_2_ZNF587
ZBTB20,0.298112,yes,no,no,no,EVT_2,EVT_2_ZBTB20
PRDM15,0.030399,no,yes,no,no,EVT_2,EVT_2_PRDM15
ZNF585A,0.016005,yes,no,no,no,EVT_2,EVT_2_ZNF585A
NFIX,0.007499,no,yes,no,no,EVT_2,EVT_2_NFIX
ARID1B,0.785726,yes,no,no,no,EVT_2,EVT_2_ARID1B
SREBF1,0.159813,yes,no,no,no,EVT_2,EVT_2_SREBF1
SOX13,0.061822,no,yes,no,no,EVT_2,EVT_2_SOX13
STAT1,0.381032,no,yes,no,no,EVT_2,EVT_2_STAT1
RCOR2,0.042268,yes,no,no,no,EVT_2,EVT_2_RCOR2
SIX4,0.016085,no,yes,no,no,EVT_2,EVT_2_SIX4
ZXDB,0.009812,no,yes,no,no,EVT_2,EVT_2_ZXDB
MZF1,0.077721,yes,no,no,no,EVT_2,EVT_2_MZF1
MIER2,0.145186,yes,yes,no,yes,EVT_2,EVT_2_MIER2
KLF9,0.018158,yes,yes,no,yes,EVT_2,EVT_2_KLF9
EBF3,0.000706,no,yes,no,no,EVT_2,EVT_2_EBF3
SOX7,0.003657,no,yes,no,no,EVT_2,EVT_2_SOX7
MAX,0.231195,no,yes,no,no,EVT_2,EVT_2_MAX
ZNF117,0.190218,yes,no,no,no,EVT_2,EVT_2_ZNF117
HLX,0.007847,no,yes,no,no,EVT_2,EVT_2_HLX
TFE3,0.059975,yes,yes,no,yes,EVT_2,EVT_2_TFE3
ZNF266,0.050044,no,yes,no,no,EVT_2,EVT_2_ZNF266
TSHZ2,0.071797,no,yes,no,no,EVT_2,EVT_2_TSHZ2
SALL4,0.000254,no,yes,no,no,EVT_2,EVT_2_SALL4
PBX2,0.122664,yes,yes,no,yes,EVT_2,EVT_2_PBX2
ZFPM2,0.059813,no,yes,no,no,EVT_2,EVT_2_ZFPM2
RFX3,0.391652,yes,no,no,no,EVT_2,EVT_2_RFX3
ZNF219,0.004383,no,yes,no,no,EVT_2,EVT_2_ZNF219
ATF3,0.73239,yes,no,no,no,EVT_2,EVT_2_ATF3
BCL3,0.043934,yes,yes,no,yes,EVT_2,EVT_2_BCL3
ZBTB39,0.013024,yes,no,no,no,EVT_2,EVT_2_ZBTB39
FOXF2,0.002336,no,yes,no,no,EVT_2,EVT_2_FOXF2
ZNF532,0.09855,no,yes,no,no,EVT_2,EVT_2_ZNF532
DDIT3,0.064342,yes,no,no,no,EVT_2,EVT_2_DDIT3
MYCL,0.074591,yes,yes,no,yes,EVT_2,EVT_2_MYCL
CIC,0.053554,yes,yes,no,yes,EVT_2,EVT_2_CIC
IRX4,0.006377,no,yes,no,no,EVT_2,EVT_2_IRX4
IRX3,0.024802,yes,yes,no,yes,EVT_2,EVT_2_IRX3
PRDM6,0.008891,no,yes,no,no,EVT_2,EVT_2_PRDM6
TFAP2B,0.010482,no,yes,no,no,EVT_2,EVT_2_TFAP2B
ZBTB2,0.129105,yes,no,no,no,EVT_2,EVT_2_ZBTB2
ZBTB7B,0.079106,yes,no,no,no,EVT_2,EVT_2_ZBTB7B
PRDM16,0.023192,no,yes,no,no,EVT_2,EVT_2_PRDM16
ZNF514,0.022585,no,yes,no,no,EVT_2,EVT_2_ZNF514
ZEB2,0.114705,yes,no,no,no,EVT_2,EVT_2_ZEB2
ISL1,0.020036,no,yes,no,no,EVT_2,EVT_2_ISL1
MYCN,0.688719,yes,no,no,no,EVT_2,EVT_2_MYCN
ADNP,0.400272,no,yes,no,no,EVT_2,EVT_2_ADNP
ZNF347,0.035806,no,yes,no,no,EVT_2,EVT_2_ZNF347
CEBPD,0.626164,yes,no,no,no,EVT_2,EVT_2_CEBPD
KLF10,0.308438,yes,no,no,no,EVT_2,EVT_2_KLF10
ZNF251,0.094804,no,yes,no,no,EVT_2,EVT_2_ZNF251
RFX2,0.365962,yes,no,no,no,EVT_2,EVT_2_RFX2
GLIS2,0.010161,no,yes,no,no,EVT_2,EVT_2_GLIS2
KLF15,0.001785,no,yes,no,no,EVT_2,EVT_2_KLF15
KLF7,0.043978,no,yes,no,no,EVT_2,EVT_2_KLF7
TADA2B,0.026051,yes,no,no,no,EVT_2,EVT_2_TADA2B
