,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
THAP8,0.0,no,yes,no,no,GC,GC_THAP8
ZNF696,0.0,no,yes,no,no,GC,GC_ZNF696
ZNF467,0.0,no,yes,no,no,GC,GC_ZNF467
BCL6B,0.0,no,yes,no,no,GC,GC_BCL6B
MLX,0.0,no,yes,no,no,GC,GC_MLX
TSHZ3,0.0,no,yes,no,no,GC,GC_TSHZ3
ZNF628,0.0,no,yes,no,no,GC,GC_ZNF628
GTF3A,0.0,no,yes,no,no,GC,GC_GTF3A
ATF5,0.072357,no,yes,no,no,GC,GC_ATF5
KAT8,0.063615,no,yes,no,no,GC,GC_KAT8
SMARCA5,0.311824,no,yes,no,no,GC,GC_SMARCA5
ASCL2,1.317874,no,yes,no,no,GC,GC_ASCL2
ZNF768,0.0,no,yes,no,no,GC,GC_ZNF768
POU6F1,0.0,no,yes,no,no,GC,GC_POU6F1
HMGXB3,0.431154,no,yes,no,no,GC,GC_HMGXB3
ETV2,0.0,no,yes,no,no,GC,GC_ETV2
ZNF672,0.206843,no,yes,no,no,GC,GC_ZNF672
ZNF408,0.0,no,yes,no,no,GC,GC_ZNF408
ZNF276,0.166103,no,yes,no,no,GC,GC_ZNF276
ZNF324,0.162167,yes,no,no,no,GC,GC_ZNF324
ZNF521,0.0,no,yes,no,no,GC,GC_ZNF521
FOXO6,0.0,no,yes,no,no,GC,GC_FOXO6
ZBTB46,0.116728,no,yes,no,no,GC,GC_ZBTB46
ZNF627,0.036521,no,yes,no,no,GC,GC_ZNF627
ZBTB22,0.04864,no,yes,no,no,GC,GC_ZBTB22
ZNF511,0.0,no,yes,no,no,GC,GC_ZNF511
ZNF34,0.153114,yes,no,no,no,GC,GC_ZNF34
ZNF485,0.0,no,yes,no,no,GC,GC_ZNF485
EBF2,0.072357,yes,yes,no,yes,GC,GC_EBF2
TFEC,0.074076,no,yes,no,no,GC,GC_TFEC
ZNF195,0.036521,no,yes,no,no,GC,GC_ZNF195
EBF4,0.0,no,yes,no,no,GC,GC_EBF4
ZNF646,0.0,no,yes,no,no,GC,GC_ZNF646
TRERF1,0.0,no,yes,no,no,GC,GC_TRERF1
ZFP69,0.098349,yes,no,no,no,GC,GC_ZFP69
JDP2,0.04864,no,yes,no,no,GC,GC_JDP2
HOXB2,0.0,no,yes,no,no,GC,GC_HOXB2
ZNF341,0.0,no,yes,no,no,GC,GC_ZNF341
LRRFIP1,1.233846,no,yes,no,no,GC,GC_LRRFIP1
STAT2,0.835545,no,yes,no,no,GC,GC_STAT2
ELF4,0.294447,no,yes,no,no,GC,GC_ELF4
ZNF416,0.0,no,yes,no,no,GC,GC_ZNF416
PTF1A,not_enough_cells_expr_limma,no,yes,no,no,GC,GC_PTF1A
NFKBIE,0.0,no,yes,no,no,GC,GC_NFKBIE
ZBTB45,0.072357,no,yes,no,no,GC,GC_ZBTB45
ZNF180,0.0,no,yes,no,no,GC,GC_ZNF180
ZNF212,0.0,no,yes,no,no,GC,GC_ZNF212
KLF16,0.180343,no,yes,no,no,GC,GC_KLF16
ZGLP1,0.0,no,yes,no,no,GC,GC_ZGLP1
ZNF579,0.0,no,yes,no,no,GC,GC_ZNF579
ZNF296,0.0,no,yes,no,no,GC,GC_ZNF296
ZBTB48,0.122716,no,yes,no,no,GC,GC_ZBTB48
ZNF816,0.0,no,yes,no,no,GC,GC_ZNF816
NFKBIZ,0.171403,no,yes,no,no,GC,GC_NFKBIZ
ESR1,0.297494,yes,no,no,no,GC,GC_ESR1
ID4,0.0,no,yes,no,no,GC,GC_ID4
HAND2,0.114077,no,yes,no,no,GC,GC_HAND2
ZNF263,0.183789,no,yes,no,no,GC,GC_ZNF263
ZNF787,0.100643,no,yes,no,no,GC,GC_ZNF787
PRDM8,0.0,no,yes,no,no,GC,GC_PRDM8
ZNF224,0.0,no,yes,no,no,GC,GC_ZNF224
ZFPM1,0.0,no,yes,no,no,GC,GC_ZFPM1
TCF21,0.0,no,yes,no,no,GC,GC_TCF21
ZKSCAN7,0.071027,yes,no,no,no,GC,GC_ZKSCAN7
ZNF200,0.04864,no,yes,no,no,GC,GC_ZNF200
RFX8,0.0,no,yes,no,no,GC,GC_RFX8
RCOR3,0.289874,no,yes,no,no,GC,GC_RCOR3
BATF2,0.07348,yes,yes,no,yes,GC,GC_BATF2
PRDM15,0.247118,yes,no,no,no,GC,GC_PRDM15
ZNF431,0.202998,no,yes,no,no,GC,GC_ZNF431
ZNF581,0.0,no,yes,no,no,GC,GC_ZNF581
SCX,0.098323,no,yes,no,no,GC,GC_SCX
DBP,0.0,no,yes,no,no,GC,GC_DBP
STAT1,0.555395,no,yes,no,no,GC,GC_STAT1
FOXF1,0.0,no,yes,no,no,GC,GC_FOXF1
PGR,0.167571,yes,no,no,no,GC,GC_PGR
PPP1R13L,0.33694,no,yes,no,no,GC,GC_PPP1R13L
PRRX2,0.0,no,yes,no,no,GC,GC_PRRX2
ATF6,0.524659,no,yes,no,no,GC,GC_ATF6
NCOR2,0.786951,no,yes,no,no,GC,GC_NCOR2
ZFHX4,0.0,no,yes,no,no,GC,GC_ZFHX4
ATOH8,0.0,no,yes,no,no,GC,GC_ATOH8
STAT5A,0.215745,yes,no,no,no,GC,GC_STAT5A
ZNF614,0.0,no,yes,no,no,GC,GC_ZNF614
ZBTB7C,0.0,no,yes,no,no,GC,GC_ZBTB7C
MIER2,0.180161,no,yes,no,no,GC,GC_MIER2
TBX2,0.0,no,yes,no,no,GC,GC_TBX2
TBX20,0.328575,yes,no,no,no,GC,GC_TBX20
SOX7,0.072357,yes,no,no,no,GC,GC_SOX7
ZFP82,0.0,no,yes,no,no,GC,GC_ZFP82
ZFP64,0.036521,no,yes,no,no,GC,GC_ZFP64
E2F8,0.0,no,yes,no,no,GC,GC_E2F8
ZNF879,0.113527,yes,no,no,no,GC,GC_ZNF879
HLX,0.0,no,yes,no,no,GC,GC_HLX
ZNF354C,0.0,no,yes,no,no,GC,GC_ZNF354C
TFE3,0.044371,no,yes,no,no,GC,GC_TFE3
ZKSCAN4,0.0,no,yes,no,no,GC,GC_ZKSCAN4
MEOX2,0.0,no,yes,no,no,GC,GC_MEOX2
GATAD2B,0.373982,no,yes,no,no,GC,GC_GATAD2B
CXXC1,0.049069,no,yes,no,no,GC,GC_CXXC1
ZNF28,0.071284,no,yes,no,no,GC,GC_ZNF28
ZNF414,0.0,no,yes,no,no,GC,GC_ZNF414
TSHZ2,0.09344,no,yes,no,no,GC,GC_TSHZ2
ZNF574,0.0,no,yes,no,no,GC,GC_ZNF574
TBPL1,0.153688,no,yes,no,no,GC,GC_TBPL1
ATF6B,0.318482,no,yes,no,no,GC,GC_ATF6B
RFX3,0.599897,no,yes,no,no,GC,GC_RFX3
ZBTB17,0.072357,no,yes,no,no,GC,GC_ZBTB17
ZNF22,0.077556,no,yes,no,no,GC,GC_ZNF22
BNC2,0.359596,no,yes,no,no,GC,GC_BNC2
ZNF777,0.0,no,yes,no,no,GC,GC_ZNF777
ZNF575,0.0,no,yes,no,no,GC,GC_ZNF575
ZBTB42,0.0,no,yes,no,no,GC,GC_ZBTB42
ZNF219,0.0,no,yes,no,no,GC,GC_ZNF219
ZNF213,0.108256,no,yes,no,no,GC,GC_ZNF213
THAP10,0.0,no,yes,no,no,GC,GC_THAP10
SOX12,0.0,no,yes,no,no,GC,GC_SOX12
TONSL,0.044371,no,yes,no,no,GC,GC_TONSL
HIF1A,0.251889,no,yes,no,no,GC,GC_HIF1A
HMG20B,0.271406,no,yes,no,no,GC,GC_HMG20B
E2F1,0.102218,yes,no,no,no,GC,GC_E2F1
ZNF304,0.121927,yes,no,no,no,GC,GC_ZNF304
GLI4,0.0,no,yes,no,no,GC,GC_GLI4
ZNF547,0.0,no,yes,no,no,GC,GC_ZNF547
ZNF358,0.0,no,yes,no,no,GC,GC_ZNF358
ZNF444,0.072357,no,yes,no,no,GC,GC_ZNF444
MYC,0.036521,no,yes,no,no,GC,GC_MYC
ZNF524,0.071027,no,yes,no,no,GC,GC_ZNF524
WIZ,0.0,no,yes,no,no,GC,GC_WIZ
ZNF629,0.0,no,yes,no,no,GC,GC_ZNF629
HOXD9,0.102218,yes,no,no,no,GC,GC_HOXD9
THAP4,0.287673,no,yes,no,no,GC,GC_THAP4
IRF5,0.0,no,yes,no,no,GC,GC_IRF5
FOXO1,0.605814,no,yes,no,no,GC,GC_FOXO1
SP6,0.102218,yes,no,no,no,GC,GC_SP6
LEF1,0.14231,yes,no,no,no,GC,GC_LEF1
SSRP1,0.0,no,yes,no,no,GC,GC_SSRP1
IRX4,0.0,no,yes,no,no,GC,GC_IRX4
LYAR,0.112525,no,yes,no,no,GC,GC_LYAR
ZNF335,0.074076,no,yes,no,no,GC,GC_ZNF335
ZNF580,0.0,no,yes,no,no,GC,GC_ZNF580
