,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
MYRF,0.00291,no,yes,no,no,VCT_CCC,VCT_CCC_MYRF
RXRA,0.283179,yes,no,no,no,VCT_CCC,VCT_CCC_RXRA
BCL6B,0.00161,no,yes,no,no,VCT_CCC,VCT_CCC_BCL6B
FOSL1,0.061005,yes,no,yes,yes,VCT_CCC,VCT_CCC_FOSL1
NFIL3,0.142017,yes,no,no,no,VCT_CCC,VCT_CCC_NFIL3
SMARCA5,0.400776,no,yes,no,no,VCT_CCC,VCT_CCC_SMARCA5
ASCL2,0.41624,yes,no,no,no,VCT_CCC,VCT_CCC_ASCL2
EGR1,0.506283,no,yes,no,no,VCT_CCC,VCT_CCC_EGR1
GATAD1,0.180585,yes,no,no,no,VCT_CCC,VCT_CCC_GATAD1
GATA3,1.575876,yes,no,no,no,VCT_CCC,VCT_CCC_GATA3
PITX1,0.015132,yes,no,no,no,VCT_CCC,VCT_CCC_PITX1
ZNF697,0.063966,no,yes,no,no,VCT_CCC,VCT_CCC_ZNF697
LBX2,0.005782,yes,no,no,no,VCT_CCC,VCT_CCC_LBX2
ERF,0.040124,no,yes,no,no,VCT_CCC,VCT_CCC_ERF
ZNF267,0.093906,no,yes,no,no,VCT_CCC,VCT_CCC_ZNF267
SMARCC2,0.130841,no,yes,no,no,VCT_CCC,VCT_CCC_SMARCC2
HOXB2,0.046441,no,yes,no,no,VCT_CCC,VCT_CCC_HOXB2
THAP11,0.075608,no,yes,no,no,VCT_CCC,VCT_CCC_THAP11
NR6A1,0.539885,yes,no,no,no,VCT_CCC,VCT_CCC_NR6A1
JUNB,0.685073,yes,yes,yes,yes,VCT_CCC,VCT_CCC_JUNB
ZNF670,0.026225,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF670
BACH1,0.49584,yes,no,no,no,VCT_CCC,VCT_CCC_BACH1
NFKBIE,0.027173,no,yes,no,no,VCT_CCC,VCT_CCC_NFKBIE
NKX2-5,0.000286,yes,no,no,no,VCT_CCC,VCT_CCC_NKX2-5
SMAD3,0.066221,yes,no,no,no,VCT_CCC,VCT_CCC_SMAD3
HOXB9,0.0,no,yes,no,no,VCT_CCC,VCT_CCC_HOXB9
SOX15,0.063516,yes,no,no,no,VCT_CCC,VCT_CCC_SOX15
ZNF430,0.116875,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF430
KLF8,0.104859,yes,no,no,no,VCT_CCC,VCT_CCC_KLF8
ZFP91,0.079362,yes,yes,no,yes,VCT_CCC,VCT_CCC_ZFP91
RCOR3,0.200438,no,yes,no,no,VCT_CCC,VCT_CCC_RCOR3
ZFP69B,0.004755,yes,yes,no,yes,VCT_CCC,VCT_CCC_ZFP69B
NFATC1,0.011802,yes,no,no,no,VCT_CCC,VCT_CCC_NFATC1
ZNF581,0.131612,yes,yes,no,yes,VCT_CCC,VCT_CCC_ZNF581
SOX13,0.162042,yes,no,no,no,VCT_CCC,VCT_CCC_SOX13
SREBF1,0.079872,yes,no,no,no,VCT_CCC,VCT_CCC_SREBF1
STAT1,0.191762,yes,yes,no,yes,VCT_CCC,VCT_CCC_STAT1
RCOR2,0.013199,yes,no,no,no,VCT_CCC,VCT_CCC_RCOR2
ZNF626,0.136935,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF626
XBP1,0.598509,yes,no,no,no,VCT_CCC,VCT_CCC_XBP1
MIER2,0.12362,no,yes,no,no,VCT_CCC,VCT_CCC_MIER2
KLF9,0.008235,no,yes,no,no,VCT_CCC,VCT_CCC_KLF9
EBF3,0.00021,no,yes,no,no,VCT_CCC,VCT_CCC_EBF3
SOX7,0.04148,yes,yes,no,yes,VCT_CCC,VCT_CCC_SOX7
MAX,0.248516,no,yes,no,no,VCT_CCC,VCT_CCC_MAX
HLX,0.004914,no,yes,no,no,VCT_CCC,VCT_CCC_HLX
TFE3,0.085237,no,yes,no,no,VCT_CCC,VCT_CCC_TFE3
SNAI1,0.120979,yes,no,no,no,VCT_CCC,VCT_CCC_SNAI1
TSHZ2,0.054625,no,yes,no,no,VCT_CCC,VCT_CCC_TSHZ2
MYBL2,0.172405,yes,no,no,no,VCT_CCC,VCT_CCC_MYBL2
SOHLH1,0.001564,yes,no,no,no,VCT_CCC,VCT_CCC_SOHLH1
RFX3,0.181655,no,yes,no,no,VCT_CCC,VCT_CCC_RFX3
PHTF1,0.127587,no,yes,no,no,VCT_CCC,VCT_CCC_PHTF1
ATF3,0.963205,yes,no,no,no,VCT_CCC,VCT_CCC_ATF3
