,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
NFKBIL1,0.102218,no,yes,no,no,GC,GC_NFKBIL1
GLIS2,0.0,no,yes,no,no,GC,GC_GLIS2
ZNF467,0.0,no,yes,no,no,GC,GC_ZNF467
TFEB,0.0,no,yes,no,no,GC,GC_TFEB
ARNTL2,0.114077,no,yes,no,no,GC,GC_ARNTL2
ZBED4,0.149811,no,yes,no,no,GC,GC_ZBED4
ZBTB46,0.116728,no,yes,no,no,GC,GC_ZBTB46
NCOR2,0.786951,no,yes,no,no,GC,GC_NCOR2
DBP,0.0,no,yes,no,no,GC,GC_DBP
ZNF511,0.0,no,yes,no,no,GC,GC_ZNF511
ZNF579,0.0,no,yes,no,no,GC,GC_ZNF579
BCL11A,0.126062,yes,no,no,no,GC,GC_BCL11A
TSHZ3,0.0,no,yes,no,no,GC,GC_TSHZ3
IRF5,0.0,no,yes,no,no,GC,GC_IRF5
SPIC,0.04864,yes,no,no,no,GC,GC_SPIC
NFKBIE,0.0,no,yes,no,no,GC,GC_NFKBIE
SOX7,0.072357,yes,no,no,no,GC,GC_SOX7
ZNF335,0.074076,no,yes,no,no,GC,GC_ZNF335
LYAR,0.112525,no,yes,no,no,GC,GC_LYAR
ZNF581,0.0,no,yes,no,no,GC,GC_ZNF581
ZNF296,0.0,no,yes,no,no,GC,GC_ZNF296
EBF4,0.0,no,yes,no,no,GC,GC_EBF4
ZNF132,0.0,no,yes,no,no,GC,GC_ZNF132
ZSCAN5A,0.0,no,yes,no,no,GC,GC_ZSCAN5A
ZFP69,0.098349,yes,no,no,no,GC,GC_ZFP69
ZNF784,0.0,no,yes,no,no,GC,GC_ZNF784
THAP10,0.0,no,yes,no,no,GC,GC_THAP10
ZNF362,0.0,no,yes,no,no,GC,GC_ZNF362
ZNF614,0.0,no,yes,no,no,GC,GC_ZNF614
PRRX1,0.0,no,yes,no,no,GC,GC_PRRX1
KLF16,0.180343,no,yes,no,no,GC,GC_KLF16
ZNF324,0.162167,yes,no,no,no,GC,GC_ZNF324
ZNF816,0.0,no,yes,no,no,GC,GC_ZNF816
ZNF777,0.0,no,yes,no,no,GC,GC_ZNF777
ATOH8,0.0,no,yes,no,no,GC,GC_ATOH8
ZNF91,0.748391,no,yes,no,no,GC,GC_ZNF91
E2F8,0.0,no,yes,no,no,GC,GC_E2F8
ZNF771,0.0,no,yes,no,no,GC,GC_ZNF771
SOX18,0.0,no,yes,no,no,GC,GC_SOX18
RFX3,0.599897,no,yes,no,no,GC,GC_RFX3
ZKSCAN7,0.071027,yes,no,no,no,GC,GC_ZKSCAN7
RCOR1,1.39628,no,yes,no,no,GC,GC_RCOR1
ZNF215,0.064122,no,yes,no,no,GC,GC_ZNF215
ZNF32,0.0,no,yes,no,no,GC,GC_ZNF32
ZNF668,0.064122,no,yes,no,no,GC,GC_ZNF668
BATF3,0.036521,no,yes,no,no,GC,GC_BATF3
ZFHX4,0.0,no,yes,no,no,GC,GC_ZFHX4
ID4,0.0,no,yes,no,no,GC,GC_ID4
SSRP1,0.0,no,yes,no,no,GC,GC_SSRP1
GTF3A,0.0,no,yes,no,no,GC,GC_GTF3A
SP1,0.181959,no,yes,no,no,GC,GC_SP1
