,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
PHTF2,0.269678,no,yes,no,no,eEVT,eEVT_PHTF2
ZNF512,0.289458,yes,yes,no,yes,eEVT,eEVT_ZNF512
ZNF678,0.139534,no,yes,no,no,eEVT,eEVT_ZNF678
ZNF100,0.331868,no,yes,no,no,eEVT,eEVT_ZNF100
ARNTL2,0.091047,no,yes,no,no,eEVT,eEVT_ARNTL2
PURA,0.188049,no,yes,no,no,eEVT,eEVT_PURA
ZNF461,0.073548,no,yes,no,no,eEVT,eEVT_ZNF461
ZBTB46,0.207805,no,yes,no,no,eEVT,eEVT_ZBTB46
ZNF519,0.102508,no,yes,no,no,eEVT,eEVT_ZNF519
ZNF569,0.257402,yes,yes,no,yes,eEVT,eEVT_ZNF569
ZNF33B,0.314134,no,yes,no,no,eEVT,eEVT_ZNF33B
ARID2,0.84182,no,yes,no,no,eEVT,eEVT_ARID2
ZNF230,0.013063,no,yes,no,no,eEVT,eEVT_ZNF230
PSPC1,1.817571,no,yes,no,no,eEVT,eEVT_PSPC1
ZBTB7A,0.460921,yes,no,no,no,eEVT,eEVT_ZBTB7A
ZNF471,0.022318,no,yes,no,no,eEVT,eEVT_ZNF471
ETV4,0.240621,yes,no,no,no,eEVT,eEVT_ETV4
ETV7,0.057838,yes,no,no,no,eEVT,eEVT_ETV7
PPARG,2.226763,yes,no,no,no,eEVT,eEVT_PPARG
ZKSCAN2,0.0,no,yes,no,no,eEVT,eEVT_ZKSCAN2
IRF5,0.0,no,yes,no,no,eEVT,eEVT_IRF5
NFKBIE,0.0,no,yes,no,no,eEVT,eEVT_NFKBIE
ZNF84,0.107744,no,yes,no,no,eEVT,eEVT_ZNF84
KLF7,0.01636,no,yes,no,no,eEVT,eEVT_KLF7
UBP1,0.507999,yes,yes,no,yes,eEVT,eEVT_UBP1
ZBED5,0.098096,no,yes,no,no,eEVT,eEVT_ZBED5
THAP10,0.032125,yes,no,no,no,eEVT,eEVT_THAP10
ZNF667,0.01636,no,yes,no,no,eEVT,eEVT_ZNF667
ZNF784,0.018758,no,yes,no,no,eEVT,eEVT_ZNF784
MYNN,0.024375,no,yes,no,no,eEVT,eEVT_MYNN
ZBTB49,0.008723,no,yes,no,no,eEVT,eEVT_ZBTB49
ZNF317,0.146101,no,yes,no,no,eEVT,eEVT_ZNF317
IKZF1,0.167536,yes,no,no,no,eEVT,eEVT_IKZF1
RBAK,0.0,no,yes,no,no,eEVT,eEVT_RBAK
CNOT4,0.648671,no,yes,no,no,eEVT,eEVT_CNOT4
ETV5,0.117442,no,yes,no,no,eEVT,eEVT_ETV5
CIC,0.077965,no,yes,no,no,eEVT,eEVT_CIC
ZNF600,0.275973,yes,yes,no,yes,eEVT,eEVT_ZNF600
ZNF333,0.037804,no,yes,no,no,eEVT,eEVT_ZNF333
HSF4,0.069363,no,yes,no,no,eEVT,eEVT_HSF4
ZNF641,0.095406,yes,yes,no,yes,eEVT,eEVT_ZNF641
ZNF160,0.362571,no,yes,no,no,eEVT,eEVT_ZNF160
ZNF415,0.0,no,yes,no,no,eEVT,eEVT_ZNF415
KAT6B,0.719265,no,yes,no,no,eEVT,eEVT_KAT6B
ZNF234,0.043396,no,yes,no,no,eEVT,eEVT_ZNF234
ZNF48,0.0,no,yes,no,no,eEVT,eEVT_ZNF48
ZNF682,0.112589,no,yes,no,no,eEVT,eEVT_ZNF682
ZNF764,0.014173,no,yes,no,no,eEVT,eEVT_ZNF764
ZFP64,0.133516,no,yes,no,no,eEVT,eEVT_ZFP64
ZNF687,0.057515,no,yes,no,no,eEVT,eEVT_ZNF687
ZNF439,0.464379,no,yes,no,no,eEVT,eEVT_ZNF439
ZBTB48,0.036527,no,yes,no,no,eEVT,eEVT_ZBTB48
FOXN2,0.931081,no,yes,no,no,eEVT,eEVT_FOXN2
KLF3,0.312116,yes,no,no,no,eEVT,eEVT_KLF3
ASCL2,1.020752,no,yes,no,no,eEVT,eEVT_ASCL2
ZNF283,0.05935,no,yes,no,no,eEVT,eEVT_ZNF283
ZNF791,0.17646,no,yes,no,no,eEVT,eEVT_ZNF791
ZNF236,0.388111,no,yes,no,no,eEVT,eEVT_ZNF236
SOX12,0.032125,no,yes,no,no,eEVT,eEVT_SOX12
ZNF197,0.050252,no,yes,no,no,eEVT,eEVT_ZNF197
PBX3,0.847888,yes,no,no,no,eEVT,eEVT_PBX3
ZNF135,0.0,no,yes,no,no,eEVT,eEVT_ZNF135
ZNF34,0.086866,yes,no,no,no,eEVT,eEVT_ZNF34
ZFAT,1.230739,no,yes,no,no,eEVT,eEVT_ZFAT
ZNF689,0.008723,no,yes,no,no,eEVT,eEVT_ZNF689
FOXJ3,2.441269,yes,yes,no,yes,eEVT,eEVT_FOXJ3
NFATC4,0.0,no,yes,no,no,eEVT,eEVT_NFATC4
THAP9,0.0,no,yes,no,no,eEVT,eEVT_THAP9
SP110,0.360867,no,yes,no,no,eEVT,eEVT_SP110
ZNF277,0.423397,no,yes,no,no,eEVT,eEVT_ZNF277
ZNF524,0.017861,no,yes,no,no,eEVT,eEVT_ZNF524
ZNF93,0.075772,no,yes,no,no,eEVT,eEVT_ZNF93
ZNF112,0.0,no,yes,no,no,eEVT,eEVT_ZNF112
ZNF480,0.109009,no,yes,no,no,eEVT,eEVT_ZNF480
PPP1R13L,0.552532,no,yes,no,no,eEVT,eEVT_PPP1R13L
SREBF2,0.867437,yes,no,no,no,eEVT,eEVT_SREBF2
THAP6,0.099306,no,yes,no,no,eEVT,eEVT_THAP6
ZBTB39,0.0,no,yes,no,no,eEVT,eEVT_ZBTB39
TFEC,0.052827,no,yes,no,no,eEVT,eEVT_TFEC
MXD4,0.363375,no,yes,no,no,eEVT,eEVT_MXD4
ZNF250,0.055098,no,yes,no,no,eEVT,eEVT_ZNF250
ZNF195,0.123677,no,yes,no,no,eEVT,eEVT_ZNF195
MGA,0.83307,no,yes,no,no,eEVT,eEVT_MGA
SP140L,0.233986,no,yes,no,no,eEVT,eEVT_SP140L
ZNF563,0.034328,no,yes,no,no,eEVT,eEVT_ZNF563
ZNF525,0.061797,no,yes,no,no,eEVT,eEVT_ZNF525
ZNF501,0.011312,no,yes,no,no,eEVT,eEVT_ZNF501
ZNF514,0.0,no,yes,no,no,eEVT,eEVT_ZNF514
ZNF254,0.833426,no,yes,no,no,eEVT,eEVT_ZNF254
ZNF683,0.008723,yes,no,no,no,eEVT,eEVT_ZNF683
THAP3,0.030923,no,yes,no,no,eEVT,eEVT_THAP3
KLF8,0.298429,no,yes,no,no,eEVT,eEVT_KLF8
IRX5,0.0,no,yes,no,no,eEVT,eEVT_IRX5
PBRM1,0.787334,no,yes,no,no,eEVT,eEVT_PBRM1
ZNF7,0.159624,no,yes,no,no,eEVT,eEVT_ZNF7
TBX6,0.0,no,yes,no,no,eEVT,eEVT_TBX6
PRDM2,0.720478,no,yes,no,no,eEVT,eEVT_PRDM2
ZFX,0.382133,no,yes,no,no,eEVT,eEVT_ZFX
ZNF451,1.39886,yes,yes,no,yes,eEVT,eEVT_ZNF451
ZNF391,0.0,no,yes,no,no,eEVT,eEVT_ZNF391
WIZ,0.065422,no,yes,no,no,eEVT,eEVT_WIZ
ZNF766,0.101971,no,yes,no,no,eEVT,eEVT_ZNF766
ZNF3,0.138178,no,yes,no,no,eEVT,eEVT_ZNF3
ZNF891,0.081837,no,yes,no,no,eEVT,eEVT_ZNF891
NEUROG1,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_NEUROG1
ZNF778,0.147046,no,yes,no,no,eEVT,eEVT_ZNF778
ZNF761,0.398799,no,yes,no,no,eEVT,eEVT_ZNF761
ZNF286A,0.0,no,yes,no,no,eEVT,eEVT_ZNF286A
ZNF497,0.008723,no,yes,no,no,eEVT,eEVT_ZNF497
ZNF239,0.008723,no,yes,no,no,eEVT,eEVT_ZNF239
ZNF24,0.442918,yes,no,no,no,eEVT,eEVT_ZNF24
ZNF570,0.239831,yes,yes,no,yes,eEVT,eEVT_ZNF570
SOX3,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_SOX3
ARID3B,0.741599,yes,yes,no,yes,eEVT,eEVT_ARID3B
ZNF266,0.148243,no,yes,no,no,eEVT,eEVT_ZNF266
L3MBTL1,0.311106,no,yes,no,no,eEVT,eEVT_L3MBTL1
ZNF776,0.0,no,yes,no,no,eEVT,eEVT_ZNF776
LEF1,0.089405,yes,no,no,no,eEVT,eEVT_LEF1
KLF9,0.400348,yes,no,no,no,eEVT,eEVT_KLF9
MYCL,0.116897,no,yes,no,no,eEVT,eEVT_MYCL
ZNF404,0.0,no,yes,no,no,eEVT,eEVT_ZNF404
ZNF75A,0.127418,no,yes,no,no,eEVT,eEVT_ZNF75A
ZNF25,0.36692,yes,yes,no,yes,eEVT,eEVT_ZNF25
PAX6,0.058813,yes,no,no,no,eEVT,eEVT_PAX6
ZNF644,0.592381,no,yes,no,no,eEVT,eEVT_ZNF644
NEUROD1,0.008723,yes,no,no,no,eEVT,eEVT_NEUROD1
NRL,0.081464,yes,yes,no,yes,eEVT,eEVT_NRL
GLI4,0.058709,no,yes,no,no,eEVT,eEVT_GLI4
ZNF446,0.021348,no,yes,no,no,eEVT,eEVT_ZNF446
KAT6A,1.330015,no,yes,no,no,eEVT,eEVT_KAT6A
TBX4,0.0,no,yes,no,no,eEVT,eEVT_TBX4
ZNF491,0.140642,yes,no,no,no,eEVT,eEVT_ZNF491
ARID4B,1.245276,no,yes,no,no,eEVT,eEVT_ARID4B
ZFP90,0.061894,no,yes,no,no,eEVT,eEVT_ZFP90
ELMSAN1,0.312738,no,yes,no,no,eEVT,eEVT_ELMSAN1
ZNF384,0.133894,no,yes,no,no,eEVT,eEVT_ZNF384
ZNF652,0.513402,no,yes,no,no,eEVT,eEVT_ZNF652
HMG20B,0.195269,no,yes,no,no,eEVT,eEVT_HMG20B
USF1,0.281947,yes,no,no,no,eEVT,eEVT_USF1
ZNFX1,0.120197,no,yes,no,no,eEVT,eEVT_ZNFX1
ZBTB12,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_ZBTB12
SFPQ,0.737411,no,yes,no,no,eEVT,eEVT_SFPQ
KLF14,0.0,no,yes,no,no,eEVT,eEVT_KLF14
ZNF485,0.0,no,yes,no,no,eEVT,eEVT_ZNF485
ZNF691,0.014173,no,yes,no,no,eEVT,eEVT_ZNF691
DEAF1,0.202564,no,yes,no,no,eEVT,eEVT_DEAF1
ZNF322,0.134018,no,yes,no,no,eEVT,eEVT_ZNF322
ZSCAN22,0.0,no,yes,no,no,eEVT,eEVT_ZSCAN22
RC3H2,0.488731,no,yes,no,no,eEVT,eEVT_RC3H2
MLXIPL,0.048856,yes,no,no,no,eEVT,eEVT_MLXIPL
ZFP91,0.011312,no,yes,no,no,eEVT,eEVT_ZFP91
ZNF493,0.105421,no,yes,no,no,eEVT,eEVT_ZNF493
ZNF211,0.129402,no,yes,no,no,eEVT,eEVT_ZNF211
ZNF780A,0.301214,yes,yes,no,yes,eEVT,eEVT_ZNF780A
ZBTB44,0.255888,no,yes,no,no,eEVT,eEVT_ZBTB44
ZFP62,0.049693,no,yes,no,no,eEVT,eEVT_ZFP62
PITX3,0.0,no,yes,no,no,eEVT,eEVT_PITX3
ZNF37A,0.030071,no,yes,no,no,eEVT,eEVT_ZNF37A
HOXB4,0.0,no,yes,no,no,eEVT,eEVT_HOXB4
ZNF226,0.008723,no,yes,no,no,eEVT,eEVT_ZNF226
ZNF684,0.075774,no,yes,no,no,eEVT,eEVT_ZNF684
LHX4,0.034749,no,yes,no,no,eEVT,eEVT_LHX4
ZNF579,0.0,no,yes,no,no,eEVT,eEVT_ZNF579
ZNF749,0.0,no,yes,no,no,eEVT,eEVT_ZNF749
ZNF420,0.387925,yes,yes,no,yes,eEVT,eEVT_ZNF420
ZNF133,0.05065,no,yes,no,no,eEVT,eEVT_ZNF133
CASZ1,0.046323,no,yes,no,no,eEVT,eEVT_CASZ1
HMG20A,0.111847,no,yes,no,no,eEVT,eEVT_HMG20A
KAT5,0.188548,no,yes,no,no,eEVT,eEVT_KAT5
ZNF335,0.169039,no,yes,no,no,eEVT,eEVT_ZNF335
HMGXB4,0.261739,no,yes,no,no,eEVT,eEVT_HMGXB4
ZKSCAN1,0.596378,yes,no,no,no,eEVT,eEVT_ZKSCAN1
DMTF1,0.622383,no,yes,no,no,eEVT,eEVT_DMTF1
ZNF101,0.125895,no,yes,no,no,eEVT,eEVT_ZNF101
LYAR,0.066939,no,yes,no,no,eEVT,eEVT_LYAR
NR2E3,0.0,no,yes,no,no,eEVT,eEVT_NR2E3
ZNF611,0.896305,yes,yes,no,yes,eEVT,eEVT_ZNF611
ZNF662,0.0,no,yes,no,no,eEVT,eEVT_ZNF662
ZNF132,0.032605,yes,no,no,no,eEVT,eEVT_ZNF132
ZNF426,0.128865,yes,yes,no,yes,eEVT,eEVT_ZNF426
KLF16,0.031618,no,yes,no,no,eEVT,eEVT_KLF16
ZNF782,0.091179,no,yes,no,no,eEVT,eEVT_ZNF782
GATAD1,0.198511,no,yes,no,no,eEVT,eEVT_GATAD1
ZNF17,0.0,no,yes,no,no,eEVT,eEVT_ZNF17
ATOH8,0.170839,yes,no,no,no,eEVT,eEVT_ATOH8
ZNF770,0.026584,no,yes,no,no,eEVT,eEVT_ZNF770
ZXDC,0.209195,no,yes,no,no,eEVT,eEVT_ZXDC
ZNF567,0.149387,no,yes,no,no,eEVT,eEVT_ZNF567
ZNF449,0.063744,no,yes,no,no,eEVT,eEVT_ZNF449
MAX,0.569321,yes,no,no,no,eEVT,eEVT_MAX
ZNF836,0.065081,no,yes,no,no,eEVT,eEVT_ZNF836
NR6A1,1.39682,yes,no,no,no,eEVT,eEVT_NR6A1
TADA2B,0.0,no,yes,no,no,eEVT,eEVT_TADA2B
RFX7,0.422697,no,yes,no,no,eEVT,eEVT_RFX7
HES4,1.447726,yes,no,no,no,eEVT,eEVT_HES4
NCOA1,2.337654,yes,no,no,no,eEVT,eEVT_NCOA1
LRRFIP2,1.227765,yes,yes,no,yes,eEVT,eEVT_LRRFIP2
ZBTB22,0.0,no,yes,no,no,eEVT,eEVT_ZBTB22
ZNF136,0.09125,no,yes,no,no,eEVT,eEVT_ZNF136
ZNF57,0.008723,no,yes,no,no,eEVT,eEVT_ZNF57
MIER2,0.14416,no,yes,no,no,eEVT,eEVT_MIER2
TBX19,0.065258,no,yes,no,no,eEVT,eEVT_TBX19
RORC,0.0,no,yes,no,no,eEVT,eEVT_RORC
ZNF354B,0.214527,no,yes,no,no,eEVT,eEVT_ZNF354B
E4F1,0.301502,no,yes,no,no,eEVT,eEVT_E4F1
PAX8,0.751186,yes,no,no,no,eEVT,eEVT_PAX8
ZNF425,0.124737,yes,no,no,no,eEVT,eEVT_ZNF425
TFE3,0.192249,no,yes,no,no,eEVT,eEVT_TFE3
ZNF394,0.129512,no,yes,no,no,eEVT,eEVT_ZNF394
TONSL,0.024583,no,yes,no,no,eEVT,eEVT_TONSL
ZNF544,0.024208,no,yes,no,no,eEVT,eEVT_ZNF544
ZKSCAN5,0.014173,no,yes,no,no,eEVT,eEVT_ZKSCAN5
VSX2,0.032605,yes,no,no,no,eEVT,eEVT_VSX2
NANOG,0.054032,yes,no,no,no,eEVT,eEVT_NANOG
MSX2,0.008723,no,yes,no,no,eEVT,eEVT_MSX2
ZNF841,0.032125,no,yes,no,no,eEVT,eEVT_ZNF841
ELF5,0.008723,no,yes,no,no,eEVT,eEVT_ELF5
IRX3,0.094328,no,yes,no,no,eEVT,eEVT_IRX3
ZSCAN30,0.070782,no,yes,no,no,eEVT,eEVT_ZSCAN30
MYF6,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_MYF6
ZNF510,0.049194,no,yes,no,no,eEVT,eEVT_ZNF510
ZNF680,0.549551,yes,no,no,no,eEVT,eEVT_ZNF680
ZNF8,0.0,no,yes,no,no,eEVT,eEVT_ZNF8
ZFP41,0.0,no,yes,no,no,eEVT,eEVT_ZFP41
ZNF513,0.09247,no,yes,no,no,eEVT,eEVT_ZNF513
ZIC3,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_ZIC3
IKZF2,0.102114,no,yes,no,no,eEVT,eEVT_IKZF2
ELF1,1.583648,yes,yes,no,yes,eEVT,eEVT_ELF1
ZNF33A,0.792636,yes,yes,no,yes,eEVT,eEVT_ZNF33A
HMBOX1,0.815559,yes,no,no,no,eEVT,eEVT_HMBOX1
ZSCAN25,0.008723,no,yes,no,no,eEVT,eEVT_ZSCAN25
IRF8,0.524251,yes,no,no,no,eEVT,eEVT_IRF8
THAP8,0.05594,no,yes,no,no,eEVT,eEVT_THAP8
ZNF45,0.080915,no,yes,no,no,eEVT,eEVT_ZNF45
ZNF623,0.010035,no,yes,no,no,eEVT,eEVT_ZNF623
CREM,0.340964,no,yes,no,no,eEVT,eEVT_CREM
