,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF451,-0.22722629,0.111119404,0.43442765,-0.11168408,1.380417,0.34537122
ZNF292,-0.259786,0.016233565,0.45018703,0.048958536,0.45582634,0.31264287
SP110,0.001673845,0.0019693156,-0.43257046,-0.27899322,0.34992784,0.25189558
TCF3,-0.15056163,-0.003395307,-0.20734636,-0.0887088,0.51644295,0.2973397
ZNF766,-0.033069827,-0.06221141,-0.32351398,0.017257845,0.07595683,0.07274485
MLX,0.14947493,-0.14869432,-0.5240663,-0.011221584,0.27993938,-0.108809195
ZNF655,0.037316583,-0.07783977,-0.5327082,0.03398406,-0.04014796,-0.031883545
MGA,-0.20842528,0.03708745,0.61860424,-0.05271088,0.89605623,0.31443396
JUND,-0.29373607,0.28115308,0.47999647,0.0823156,-0.28024226,0.1664002
MEF2D,-0.11119195,0.06812494,0.35957417,-0.009539512,0.9227751,0.114800304
ZBTB43,-0.16848326,0.021673208,0.62943363,0.08765625,0.5566012,0.14058591
JUN,-0.30861938,-0.17166366,-0.498222,0.7928598,-0.39362624,-0.1677795
GTF3A,0.32898334,-0.34699717,-0.7838869,0.12752242,-0.7305787,-0.35814917
TFDP2,-0.016652737,-0.26284188,-0.38239166,0.29657298,1.5498027,-0.089393996
FOSL1,-0.06912803,-0.07506369,-0.15739575,0.2693081,-0.15739575,-0.12338346
ZNF569,-0.019996442,0.05149587,0.29083562,-0.073539086,0.95720637,0.05239111
FOSL2,0.0403978,0.2562804,0.048089806,-0.37514383,-0.5774797,0.12585497
ZNF624,-0.049431514,-0.0296121,0.36845043,-0.04172359,0.36149186,0.10405715
ZNF708,-0.058876332,-0.004375338,0.3386973,-0.047475986,1.0188519,0.12156897
KLF11,-0.07561,0.017118333,-0.19388887,0.053599596,0.03497053,0.032474887
ZBED2,-0.032642305,-0.034539554,-0.034539558,0.01827389,-0.034539558,-0.026350318
THAP5,-0.00092406117,-0.08359304,-0.25812963,0.11602497,0.08685427,-0.061092515
GATA6,0.05899156,0.02685557,0.39884192,-0.08732974,0.87967604,-0.036778636
ZBTB5,-0.06774341,-0.036135357,-0.20416029,0.025110574,0.22137879,0.08943572
ZNF516,-0.055884637,0.077976465,-0.13660505,-0.046291467,0.12779866,0.050081927
ZNF518B,-0.07392364,-0.029892812,0.44486412,0.06283729,-0.12914911,0.06570986
EGR1,-0.114605926,0.029550903,-0.45216742,0.39027908,-0.47879234,-0.20618735
ZNF672,-0.02647504,-0.08944526,0.57264143,0.1267778,-0.12606527,-0.023487011
NFE2L1,-0.11678166,0.048546117,-0.41731313,0.008511897,0.36794257,0.12823065
DNAJC2,0.117959455,-0.11630296,-0.49995834,0.100587085,-0.39758095,-0.18179932
STAT3,-0.21011463,0.21396117,0.7929099,-0.2357416,0.28106877,0.37513515
ZNF736,-0.05478598,0.056603663,-0.17692408,-0.08594915,0.9190205,0.11529567
ZNF398,-0.08784975,-0.023315817,0.50674313,-0.04697892,0.38561866,0.1789037
