,present_in_comparisons,additional_evidence_in_comparisons,present_in_MEs
JUN,"['iEVT_vs_EVT_2', 'EVT_2_vs_EVT_1']","[['no_add_evidence'], ['dorothea']]",['ME_1_early_inv_column']
FOSL1,['VCT_CCC_vs_VCT'],[['chromVar']],['ME_1_early_inv_column']
ZBED2,['VCT_CCC_vs_VCT'],[['dorothea']],['ME_1_early_inv_column']
PEG3,"['iEVT_vs_EVT_2', 'EVT_2_vs_EVT_1']","[['no_add_evidence'], ['dorothea']]",['ME_1_early_inv_column']
TBPL1,"['GC_vs_iEVT', 'iEVT_vs_EVT_2', 'eEVT_vs_EVT_2', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['dorothea'], ['dorothea'], ['dorothea']]",['ME_1_early_inv_column']
GRHL3,['VCT_CCC_vs_VCT'],[['dorothea']],['ME_1_early_inv_column']
ZNF487,"['EVT_1_vs_VCT_CCC', 'VCT_CCC_vs_VCT']","[['dorothea'], ['no_add_evidence']]",['ME_2_inv_front']
NFKBIZ,"['GC_vs_iEVT', 'iEVT_vs_EVT_2', 'EVT_2_vs_EVT_1', 'VCT_CCC_vs_VCT']","[['dorothea'], ['no_add_evidence'], ['dorothea'], ['dorothea']]",['ME_2_inv_front']
ZNF575,"['GC_vs_iEVT', 'iEVT_vs_EVT_2', 'eEVT_vs_EVT_2', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['dorothea'], ['dorothea'], ['no_add_evidence']]",['ME_2_inv_front']
ARNT2,"['iEVT_vs_EVT_2', 'EVT_2_vs_EVT_1', 'VCT_CCC_vs_VCT']","[['no_add_evidence'], ['dorothea'], ['no_add_evidence']]",['ME_2_inv_front']
ZNF333,"['iEVT_vs_EVT_2', 'eEVT_vs_EVT_2', 'EVT_2_vs_EVT_1']","[['dorothea'], ['dorothea'], ['dorothea']]",['ME_2_inv_front']
BATF3,"['GC_vs_iEVT', 'iEVT_vs_EVT_2', 'EVT_2_vs_EVT_1', 'EVT_1_vs_VCT_CCC', 'VCT_CCC_vs_VCT']","[['dorothea'], ['dorothea'], ['dorothea'], ['no_add_evidence'], ['dorothea']]",['ME_2_inv_front']
ZNF736,"['eEVT_vs_EVT_2', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['no_add_evidence']]",['ME_3_artery_remodelling']
ZNF699,"['iEVT_vs_EVT_2', 'eEVT_vs_EVT_2', 'EVT_2_vs_EVT_1', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['dorothea'], ['dorothea'], ['no_add_evidence']]",['ME_3_artery_remodelling']
ZNF484,"['iEVT_vs_EVT_2', 'eEVT_vs_EVT_2', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['dorothea'], ['no_add_evidence']]",['ME_3_artery_remodelling']
ZNF793,"['eEVT_vs_EVT_2', 'EVT_1_vs_VCT_CCC']","[['dorothea'], ['no_add_evidence']]",['ME_3_artery_remodelling']
ID4,"['GC_vs_iEVT', 'EVT_2_vs_EVT_1']","[['dorothea'], ['dorothea']]",['ME_3_artery_remodelling']
ZNF431,"['GC_vs_iEVT', 'EVT_1_vs_VCT_CCC', 'VCT_CCC_vs_VCT']","[['dorothea'], ['dorothea'], ['dorothea']]",['ME_3_artery_remodelling']
