,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF239,0.064122,no,yes,no,no,no,GC,GC_ZNF239
ZNF212,0.0,no,yes,no,no,no,GC,GC_ZNF212
TSHZ2,0.09344,no,yes,no,no,no,GC,GC_TSHZ2
TONSL,0.044371,no,yes,no,no,no,GC,GC_TONSL
ZNF526,0.0,no,yes,no,no,no,GC,GC_ZNF526
ETS1,0.036521,no,yes,no,no,no,GC,GC_ETS1
MYC,0.036521,no,yes,no,no,no,GC,GC_MYC
ZNF414,0.0,no,yes,no,no,no,GC,GC_ZNF414
HMGXB3,0.431154,no,yes,no,no,no,GC,GC_HMGXB3
ZNF628,0.0,no,yes,no,no,no,GC,GC_ZNF628
ZNF215,0.064122,no,yes,no,no,no,GC,GC_ZNF215
RCOR1,1.39628,no,yes,no,no,no,GC,GC_RCOR1
HEYL,0.0,no,yes,no,no,no,GC,GC_HEYL
E4F1,0.126308,no,yes,no,no,no,GC,GC_E4F1
NFKBIE,0.0,no,yes,no,no,no,GC,GC_NFKBIE
ZBTB45,0.072357,no,yes,no,no,no,GC,GC_ZBTB45
SCX,0.098323,no,yes,no,no,no,GC,GC_SCX
ZNF777,0.0,no,yes,no,no,no,GC,GC_ZNF777
ZNF696,0.0,no,yes,no,no,no,GC,GC_ZNF696
CSRNP1,0.053951,no,yes,no,no,no,GC,GC_CSRNP1
PRDM8,0.0,no,yes,no,no,no,GC,GC_PRDM8
TOX,0.0,no,yes,no,no,no,GC,GC_TOX
ZNF572,0.049069,yes,no,no,no,no,GC,GC_ZNF572
ZNF467,0.0,no,yes,no,no,no,GC,GC_ZNF467
NRL,0.0,no,yes,no,no,no,GC,GC_NRL
PRRX1,0.0,no,yes,no,no,no,GC,GC_PRRX1
ZNF446,0.0,no,yes,no,no,no,GC,GC_ZNF446
ZNF304,0.121927,yes,no,no,no,no,GC,GC_ZNF304
ZBTB1,0.174047,no,yes,no,no,no,GC,GC_ZBTB1
HMG20B,0.271406,no,yes,no,no,no,GC,GC_HMG20B
ZNF879,0.113527,yes,no,no,no,no,GC,GC_ZNF879
ZBTB48,0.122716,no,yes,no,no,no,GC,GC_ZBTB48
ASCL2,1.317874,no,yes,no,no,no,GC,GC_ASCL2
BATF2,0.07348,yes,yes,no,no,yes,GC,GC_BATF2
ZNF195,0.036521,no,yes,no,no,no,GC,GC_ZNF195
ZNF595,0.406492,yes,no,no,no,no,GC,GC_ZNF595
STAT1,0.555395,no,yes,no,no,no,GC,GC_STAT1
ZNF691,0.0,no,yes,no,no,no,GC,GC_ZNF691
DBP,0.0,no,yes,no,no,no,GC,GC_DBP
SMARCA5,0.311824,no,yes,no,no,no,GC,GC_SMARCA5
THAP7,0.190747,yes,yes,no,no,yes,GC,GC_THAP7
GLI4,0.0,no,yes,no,no,no,GC,GC_GLI4
ZNF480,0.064122,no,yes,no,no,no,GC,GC_ZNF480
ZNF627,0.036521,no,yes,no,no,no,GC,GC_ZNF627
ZNF574,0.0,no,yes,no,no,no,GC,GC_ZNF574
ZNF771,0.0,no,yes,no,no,no,GC,GC_ZNF771
THAP3,0.074076,no,yes,no,no,no,GC,GC_THAP3
SOX12,0.0,no,yes,no,no,no,GC,GC_SOX12
ESR1,0.297494,yes,no,no,no,no,GC,GC_ESR1
ZNF180,0.0,no,yes,no,no,no,GC,GC_ZNF180
ZGLP1,0.0,no,yes,no,no,no,GC,GC_ZGLP1
ZNF689,0.0,no,yes,no,no,no,GC,GC_ZNF689
BHLHA15,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_BHLHA15
HOXD9,0.102218,yes,no,no,no,no,GC,GC_HOXD9
ZNF485,0.0,no,yes,no,no,no,GC,GC_ZNF485
OSR2,0.04864,no,yes,no,yes,no,GC,GC_OSR2
ZBTB47,0.0,no,yes,no,no,no,GC,GC_ZBTB47
ZBTB46,0.116728,no,yes,no,no,no,GC,GC_ZBTB46
ZNF521,0.0,no,yes,no,no,no,GC,GC_ZNF521
ZFHX4,0.0,no,yes,no,no,no,GC,GC_ZFHX4
SOX7,0.072357,yes,no,no,no,no,GC,GC_SOX7
NFKBID,0.0,no,yes,no,no,no,GC,GC_NFKBID
ATF5,0.072357,no,yes,no,no,no,GC,GC_ATF5
KLF16,0.180343,no,yes,no,yes,no,GC,GC_KLF16
MXD4,0.393713,no,yes,no,no,no,GC,GC_MXD4
GLIS2,0.0,no,yes,no,no,no,GC,GC_GLIS2
TFEC,0.074076,no,yes,no,no,no,GC,GC_TFEC
ZNF672,0.206843,no,yes,no,no,no,GC,GC_ZNF672
ZNF76,0.068919,no,yes,no,no,no,GC,GC_ZNF76
ZNF408,0.0,no,yes,no,no,no,GC,GC_ZNF408
FOXF1,0.0,no,yes,no,no,no,GC,GC_FOXF1
HAND2,0.114077,no,yes,no,no,no,GC,GC_HAND2
HOXC4,0.072357,yes,no,no,yes,yes,GC,GC_HOXC4
ZNF431,0.202998,no,yes,no,no,no,GC,GC_ZNF431
ZBED6,0.0,no,yes,no,no,no,GC,GC_ZBED6
THAP10,0.0,no,yes,no,no,no,GC,GC_THAP10
RFX3,0.599897,no,yes,no,no,no,GC,GC_RFX3
ZNF296,0.0,no,yes,no,no,no,GC,GC_ZNF296
ZNF205,0.063885,no,yes,no,no,no,GC,GC_ZNF205
ZNF646,0.0,no,yes,no,no,no,GC,GC_ZNF646
KLF15,0.0,no,yes,no,yes,no,GC,GC_KLF15
ZNF837,0.0,no,yes,no,no,no,GC,GC_ZNF837
MEOX2,0.0,no,yes,no,yes,no,GC,GC_MEOX2
PHF5A,0.0,no,yes,no,no,no,GC,GC_PHF5A
ZNF524,0.071027,no,yes,no,no,no,GC,GC_ZNF524
ZBED4,0.149811,no,yes,no,no,no,GC,GC_ZBED4
SP1,0.181959,no,yes,no,yes,no,GC,GC_SP1
TSHZ3,0.0,no,yes,no,no,no,GC,GC_TSHZ3
ZNF341,0.0,no,yes,no,no,no,GC,GC_ZNF341
ZNF2,0.0,no,yes,no,no,no,GC,GC_ZNF2
EBF4,0.0,no,yes,no,no,no,GC,GC_EBF4
LEF1,0.14231,yes,no,no,no,no,GC,GC_LEF1
ZSCAN5A,0.0,no,yes,no,no,no,GC,GC_ZSCAN5A
ARNTL2,0.114077,no,yes,no,no,no,GC,GC_ARNTL2
ZNF692,0.0,no,yes,no,no,no,GC,GC_ZNF692
NFKBIZ,0.171403,no,yes,no,no,no,GC,GC_NFKBIZ
ZNF416,0.0,no,yes,no,no,no,GC,GC_ZNF416
IRX4,0.0,no,yes,no,no,no,GC,GC_IRX4
SP6,0.102218,yes,no,no,no,no,GC,GC_SP6
PGR,0.167571,yes,no,no,no,no,GC,GC_PGR
ZNF536,0.098349,yes,no,no,no,no,GC,GC_ZNF536
PLAGL1,0.519857,no,yes,no,no,no,GC,GC_PLAGL1
LRRFIP1,1.233846,no,yes,no,no,no,GC,GC_LRRFIP1
MLX,0.0,no,yes,no,no,no,GC,GC_MLX
ZKSCAN7,0.071027,yes,no,no,no,no,GC,GC_ZKSCAN7
ZNF629,0.0,no,yes,no,no,no,GC,GC_ZNF629
ZNF224,0.0,no,yes,no,no,no,GC,GC_ZNF224
ZNF132,0.0,no,yes,no,no,no,GC,GC_ZNF132
RFX8,0.0,no,yes,no,no,no,GC,GC_RFX8
EGR3,0.0,no,yes,no,yes,no,GC,GC_EGR3
CREB1,0.323154,no,yes,no,no,no,GC,GC_CREB1
ZNF276,0.166103,no,yes,no,no,no,GC,GC_ZNF276
NCOR2,0.786951,no,yes,no,no,no,GC,GC_NCOR2
RCOR3,0.289874,no,yes,no,no,no,GC,GC_RCOR3
HLX,0.0,no,yes,no,no,no,GC,GC_HLX
MIER2,0.180161,no,yes,no,no,no,GC,GC_MIER2
ZNF91,0.748391,no,yes,no,no,no,GC,GC_ZNF91
ZNF444,0.072357,no,yes,no,no,no,GC,GC_ZNF444
SOX18,0.0,no,yes,no,no,no,GC,GC_SOX18
ZNF775,0.0,no,yes,no,no,no,GC,GC_ZNF775
TBX20,0.328575,yes,no,no,no,no,GC,GC_TBX20
ZKSCAN4,0.0,no,yes,no,no,no,GC,GC_ZKSCAN4
ZNF786,0.0,no,yes,no,no,no,GC,GC_ZNF786
TRERF1,0.0,no,yes,no,no,no,GC,GC_TRERF1
ZBTB22,0.04864,no,yes,no,no,no,GC,GC_ZBTB22
HOXB2,0.0,no,yes,no,no,no,GC,GC_HOXB2
E2F8,0.0,no,yes,no,no,no,GC,GC_E2F8
STAT2,0.835545,no,yes,no,no,no,GC,GC_STAT2
TBPL1,0.153688,no,yes,no,no,no,GC,GC_TBPL1
ZNF200,0.04864,no,yes,no,no,no,GC,GC_ZNF200
ZNF34,0.153114,yes,no,no,no,no,GC,GC_ZNF34
ZNF511,0.0,no,yes,no,no,no,GC,GC_ZNF511
CXXC1,0.049069,no,yes,no,no,no,GC,GC_CXXC1
HOMEZ,0.0,no,yes,no,no,no,GC,GC_HOMEZ
ZNF580,0.0,no,yes,no,no,no,GC,GC_ZNF580
TCF21,0.0,no,yes,no,no,no,GC,GC_TCF21
