,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF239,0.009897,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF239
ZNF264,0.083566,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF264
KLF2,0.093668,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_KLF2
NFYA,0.097333,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_NFYA
E2F4,0.370015,no,yes,no,yes,no,VCT_CCC,VCT_CCC_E2F4
NFKBIE,0.027173,no,yes,no,no,no,VCT_CCC,VCT_CCC_NFKBIE
ZNF467,0.004801,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF467
IKZF4,0.059241,yes,no,no,no,no,VCT_CCC,VCT_CCC_IKZF4
FOXJ3,0.566134,yes,no,no,no,no,VCT_CCC,VCT_CCC_FOXJ3
ZNF600,0.100799,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF600
SRF,0.110487,yes,no,no,no,no,VCT_CCC,VCT_CCC_SRF
IRF8,0.016489,yes,no,no,no,no,VCT_CCC,VCT_CCC_IRF8
BCL3,0.023372,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_BCL3
SMARCA5,0.400776,no,yes,no,no,no,VCT_CCC,VCT_CCC_SMARCA5
ZNF808,0.05561,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF808
ZNF366,0.002059,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF366
NPAS4,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_NPAS4
SNAI2,0.016706,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_SNAI2
FOXN2,0.320634,yes,no,no,no,no,VCT_CCC,VCT_CCC_FOXN2
NEUROD1,0.000384,no,yes,no,yes,no,VCT_CCC,VCT_CCC_NEUROD1
ZBTB21,0.077801,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZBTB21
ZNF676,0.010001,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF676
FOSB,1.059149,yes,no,yes,no,yes,VCT_CCC,VCT_CCC_FOSB
ATF5,0.124904,no,yes,no,no,no,VCT_CCC,VCT_CCC_ATF5
KLF8,0.104859,yes,no,no,no,no,VCT_CCC,VCT_CCC_KLF8
GLIS2,0.038502,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_GLIS2
TFEC,0.015797,no,yes,no,no,no,VCT_CCC,VCT_CCC_TFEC
ZNF85,0.082165,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF85
ELF1,0.667528,yes,yes,no,yes,yes,VCT_CCC,VCT_CCC_ELF1
ZBTB2,0.078608,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZBTB2
TP53,0.206721,yes,yes,no,yes,yes,VCT_CCC,VCT_CCC_TP53
NFKB1,0.26925,no,yes,no,no,no,VCT_CCC,VCT_CCC_NFKB1
HIVEP3,0.072884,no,yes,no,no,no,VCT_CCC,VCT_CCC_HIVEP3
SP6,0.119042,no,yes,no,no,no,VCT_CCC,VCT_CCC_SP6
JUND,0.74128,yes,yes,yes,no,yes,VCT_CCC,VCT_CCC_JUND
FOXA1,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_FOXA1
ZNF143,0.116382,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_ZNF143
ZFP42,0.14358,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_ZFP42
