,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
FOXN2,-0.0012566156,-0.024916891,-0.16710477,-0.30453768,0.47996274,0.29443473
KLF11,-0.03668307,-0.049911384,-0.24353866,0.080514655,0.000627705,0.012171251
GABPA,-0.030594314,-0.15567543,0.23144436,0.08550611,0.19273613,0.062755816
IRX3,-0.070149325,0.04219421,-0.1228011,-0.030877221,0.6978002,0.08910051
ETS1,-0.067615815,0.025350982,0.23615834,0.0011086666,0.66707546,0.07093316
ZNF32,0.16725649,-0.23910393,-0.41516465,0.032757394,-0.3536798,-0.112489596
ZBED2,-0.036176383,-0.038074292,-0.0380743,0.015493843,-0.038074292,-0.02988218
RC3H2,-0.094571635,-0.09882284,-0.017148862,-0.028448094,0.58813554,0.22117181
ZNF487,0.0018557366,-0.004085026,-0.28919852,-0.062151685,-0.16941941,0.05976429
ZBTB1,0.01521256,-0.06873964,-0.2005676,-0.17511715,0.70403105,0.17856273
ETV4,0.19766282,-0.13131392,-0.43732437,-0.20644327,0.42677298,-0.011726857
TFE3,-0.032814775,-0.07976356,-0.16429171,0.1510916,0.49881747,-0.04320943
THAP3,0.17887773,-0.2154361,-0.19760032,0.07730516,-0.21457548,-0.18745206
EGR1,0.05401115,-0.12122796,-0.6038027,0.34372532,-0.5927035,-0.307706
STAT2,-0.051464055,0.061708692,0.375528,-0.35234758,0.65684825,0.35082322
NFAT5,-0.38091278,-0.060627542,0.97286916,0.022570178,1.0124198,0.5534946
SMARCC1,0.06736171,-0.16163312,0.08714892,-0.07534289,0.58088636,0.07101893
PBRM1,-0.059981108,-0.0945963,-0.36950982,-0.06213473,0.5233323,0.2019168
E4F1,0.04998629,-0.1099867,-0.19168769,0.035142615,0.48204377,-0.03629492
GATA3,0.2207048,-0.2126216,-0.015403945,-0.18869917,0.049306102,-0.00831106
ZNF814,0.05064732,-0.18039857,0.058724348,0.00067793945,1.0083848,0.034240782
MEF2D,-0.08439574,-0.011355126,0.10400779,-0.0026822356,0.915094,0.12366519
ZFP69B,0.055391118,-0.06380089,-0.11250991,0.02529904,-0.11250991,-0.06907253
GLI4,-0.019102544,-0.06600808,-0.23432867,0.00064730877,0.2109674,0.068836235
ZNF552,-0.0075784093,-0.07277918,-0.33868265,0.07114125,0.7111878,-0.0113553265
ATF6,0.13374197,-0.17413169,-0.11066241,-0.07974592,0.39613873,-0.010001298
UBP1,-0.07527129,-0.085436694,0.20356922,-0.042135727,0.86596596,0.19411822
ZNF211,-0.01019906,-0.044468712,-0.29007995,-0.049072273,0.45372224,0.08626995
ZNF517,-0.003941757,-0.059397005,0.9606524,0.016179806,-0.102800146,1.0526738e-05
ZNF8,-0.018638084,-0.025250245,-0.1686308,0.04164533,-0.16863075,0.0068457504
SP4,-0.08648778,-0.035764433,0.053882405,-0.009903135,0.0086346315,0.15612191
FOXK2,-0.2114358,-0.04411193,0.255332,0.052137088,0.264772,0.2813322
ARNT2,-0.019477012,-0.04905319,-0.18762246,-0.11603174,-0.18762246,0.16835544
ZNF791,0.021907974,-0.07714572,-0.3142109,0.008256591,-0.004856033,0.012049794
SP1,-0.015419801,-0.09358532,-0.15946248,0.10667366,0.21197914,-0.016454468
KLF5,0.043659482,-0.10367502,-0.3019453,-0.051634226,-0.08946163,0.053306717
BNC1,-0.058014628,-0.040483944,0.46775004,-0.05305017,-0.061819445,0.06945734
RFX3,-0.2002634,0.05337548,0.35492003,-0.21879587,0.13791385,0.45177588
ZNF682,0.11162186,-0.080285184,0.008665383,-0.06033268,0.12826823,-0.05476316
ZNF561,0.073939316,-0.08857779,-0.32882178,-0.017619709,1.121053,-0.040236495
SOX7,-0.12226587,-0.115116835,0.30341244,0.39377472,-0.14297888,-0.11290319
HIF1A,0.12181938,-0.13026094,-0.65659225,-0.088484675,0.46374744,-0.010663287
FOSL2,0.2679093,0.020600097,-0.3487568,-0.38800424,-0.78035486,-0.034910977
VEZF1,0.08427795,-0.17498791,-0.36308086,0.035758942,-0.15840267,-0.038739383
SP110,0.17507936,-0.13427226,-0.55050176,-0.30055258,0.19363503,0.111376755
ETV3,0.025379771,0.0021683981,-0.34072715,-0.056230515,0.25107172,0.013537092
ZNF143,0.092175424,-0.13133758,-0.17898184,0.014153198,0.58799714,-0.06491384
ZNF124,-0.030882906,0.020400483,0.09374409,-0.13531925,1.2070361,0.14583483
FOXJ3,-0.1997794,0.1118324,0.73620224,-0.38604742,1.0009578,0.5585026
NFYB,0.36917144,-0.28094158,-0.59643257,0.024778282,-0.26855746,-0.36855638
ZNF518B,0.0069782604,-0.12391181,0.13609488,0.07591545,-0.26658997,0.0011131569
KLF2,-0.17614499,-0.013436729,0.30000952,0.052301742,0.45995668,0.20901035
ZNF277,0.089676104,-0.15316077,-0.040594094,-0.13531712,0.55349565,0.08937831
ZBTB5,-0.058479257,-0.07709543,-0.2506605,0.04539253,0.2675787,0.09119948
ZBTB18,-0.042926595,-0.033315837,-0.20077726,0.013487644,-0.0009203351,0.07180211
MAFK,-0.23862694,0.01799621,0.14003927,-0.0023652073,0.3858426,0.3302982
FOS,0.2816091,-0.14969905,-0.4637361,-0.05654438,-0.80667716,-0.24872626
ZNF25,-0.037159782,-0.0030110418,-0.12997231,-0.014990032,3.0078092,0.040891945
ZFHX3,-0.28312847,-0.13005422,0.50942117,0.08270717,0.45765096,0.4087786
FOXJ2,-0.10570721,-0.1051012,-0.011936974,0.22412819,-0.0903514,0.014604575
ATRX,-0.023121428,-0.14671168,-0.09310751,0.04758798,0.47423553,0.08057982
NFATC4,-0.057865273,-0.04679252,-0.09669766,-0.018530069,-0.096697636,0.09703222
ZNF292,-0.14261755,-0.11995368,0.20111215,0.061167467,0.34662867,0.2223368
YBX3,-0.101881325,-0.27056888,-0.35909593,0.5464048,0.009086902,-0.17943496
ZNF652,-0.08665636,-0.07680838,0.5023373,-0.08781254,0.30279273,0.24962147
CIC,-0.040813703,-0.040394735,-0.29709715,0.061570294,0.10537411,0.028871512
ZFAT,-0.30665237,-0.10316365,0.78601027,0.25199565,0.816466,0.26587814
POGZ,-0.1094284,-0.060209032,-0.021793582,0.022994936,0.3383363,0.17250216
ZNF131,-0.05397694,-0.12821794,-0.2532826,-0.11921478,0.3567974,0.26788768
ZNF91,-0.13908523,0.015178522,0.27602935,-0.12564546,0.88083106,0.29753125
ZNF585B,0.02010142,-0.07718717,-0.19736224,0.008693011,0.46601096,0.010084611
SNAI3,0.021001859,-0.042390425,-0.07229122,-0.061365854,-0.07229121,-0.01986598
IRF7,0.29654834,-0.09245405,-0.023444291,-0.17638165,-0.16060436,-0.20417847
OSR2,0.46135387,-0.142306,-0.6580908,-0.19876754,-0.600174,-0.38215208
ZNF641,-0.061591644,-0.02363363,0.24205333,-0.060546756,0.74580556,0.15235776
THAP1,0.28736278,-0.267606,-0.45565596,0.052021116,-0.30046085,-0.28488687
TSC22D3,0.4031774,0.027433503,-0.10945275,-0.5531074,-0.38644212,-0.08666005
MIER1,0.07175367,-0.18812734,0.004052683,0.026471624,0.034039922,-0.0071327034
ZNF213,-0.016631855,-0.062881276,0.2343743,-0.060953368,0.042822115,0.11865699
HAND2,-0.07173612,0.064359196,0.48781857,-0.04126438,-0.16590108,0.09850166
AEBP2,-0.19345714,-0.17665185,0.07346889,0.25067988,0.54953986,0.15707646
ZBTB43,-0.11306746,-0.09722849,0.18807006,0.14598891,0.51372623,0.08620791
ZNF672,0.076375924,-0.18203971,0.08262647,0.14719293,-0.24609056,-0.12673111
CEBPA,-0.035866525,-0.11339342,-0.2622807,0.234223,-0.35184494,-0.08653957
ZNF83,-0.1986693,-0.16166605,0.35595712,0.10078718,0.48651314,0.2915206
KLF10,0.23906985,-0.14781238,-0.43316913,-0.113112964,-0.40105492,-0.14007315
ZHX3,-0.13311522,0.08023401,0.14385736,-0.31530178,0.5505489,0.424434
ZNF250,-0.01741752,-0.07769441,0.27850446,-0.014226737,0.2784521,0.08439165
JARID2,-0.13304031,6.9085174e-05,0.14785792,-0.3096871,0.5625307,0.47048482
ZNF586,-0.07479742,-0.062088322,0.2269784,-0.03433895,0.89977854,0.17092684
GTF3A,0.4364766,-0.4191474,-0.88557446,0.09484415,-0.80802983,-0.43542793
NFE2L1,0.010285393,-0.093783155,-0.54176116,0.027545957,0.23019846,0.021130787
EGR4,-0.03193935,-0.028193971,-0.045234222,0.0053939787,-0.045234222,-0.034303613
THAP7,0.23644015,-0.27853796,-0.108290546,0.17809047,-0.46180677,-0.32085177
RELA,0.16558117,-0.19114862,-0.51865196,0.015560038,-0.3576356,-0.12449565
HIVEP1,-0.24691665,-0.06363336,0.04028304,0.049517844,0.1836433,0.34903663
ZNF562,0.001618153,-0.005055137,-0.038307857,-0.16459931,1.6434044,0.13962662
GRHL1,0.016130997,-0.025922023,-0.34197253,-0.14778754,0.9865348,0.12327781
SMARCE1,0.16004372,-0.23139642,-0.4761998,0.14297326,-0.36507466,-0.20778495
TBX1,-0.09453692,-0.022909785,-0.02200854,-0.2145562,1.5580236,0.33583197
KDM5C,-0.04266017,-0.006869164,0.18939547,0.0060764044,0.26500303,0.057212386
ELK4,-0.11006674,-0.08481771,0.45238832,0.1328888,0.041474435,0.08818066
ZNF708,-0.04244057,-0.04925814,0.2687077,-0.055386547,1.1896981,0.13303061
ZNF354A,0.086557485,-0.16960567,0.042945605,-0.10062725,0.03315396,0.07611501
HIVEP2,-0.17135936,-0.013081817,0.63740766,0.06934287,0.33529606,0.18546636
PPP1R13L,-0.07614805,-0.19426371,-0.16994868,0.18909976,0.43178925,0.058249723
SP3,0.014665055,-0.16670756,-0.42186555,-0.04680434,0.15308256,0.1297967
SOX13,-0.15537044,-0.1589613,-0.3644867,0.34674263,0.17248242,0.007921075
ZNF532,-0.15751441,-0.06579017,0.38180757,-0.13023211,-0.1710309,0.38765892
RUNX2,-0.071880445,-0.06416277,-0.22350363,-0.08948544,0.90780175,0.22092883
YBX1,0.36392292,-0.35300142,-0.6713101,0.10560124,-0.537164,-0.38650936
ZNF75D,-0.09624619,-0.037460864,-0.3139673,-0.06849742,0.70503134,0.22161192
KLF9,-0.077293135,-0.004099783,-0.13575986,-0.06182575,3.3207679,0.13958304
NFKBIZ,-0.12704094,0.07384647,-0.43792763,-0.13786922,-0.06568435,0.26468518
STAT3,-0.06753687,0.039548688,0.35933495,-0.21335685,0.2282547,0.26397744
CNOT4,-0.025646698,-0.12821579,0.34597328,-0.024973454,0.5034566,0.13643721
ZNF575,0.03704547,-0.063337736,-0.105879925,-0.04641865,-0.10587994,0.012479672
NRL,-0.012944577,-0.05469942,-0.14747147,0.053682305,0.56385195,-0.00028734966
ZBTB38,-0.060767476,-0.13808586,0.41046077,-0.10113931,0.43423358,0.26338166
ZNF580,0.07375267,-0.23584919,-0.39527544,0.21088733,-0.29259878,-0.14406016
KDM2A,-0.2271107,-0.011448725,0.028390551,-0.026315942,0.76557845,0.3522777
TFDP2,0.22105713,-0.43863177,-0.6938151,0.28046405,0.8383261,-0.29683715
ZNF236,-0.087657884,-0.08834823,-0.23487611,0.022109546,0.5718911,0.15936401
SNAI2,-0.06714347,-0.019686287,-0.10627851,0.103277,-0.10627849,-0.009440342
TSC22D2,-0.096797235,-0.12105131,0.34699136,0.030258128,0.08484526,0.18671677
ZNF506,0.0540232,-0.09366001,-0.3369761,0.028986786,-0.26423568,-0.040492076
BBX,-0.04526965,-0.29661357,-0.24725544,0.27748993,0.13098438,0.0010615485
ZNF322,0.123419546,-0.17058034,-0.08080696,0.025717786,0.14598417,-0.09244724
ZNF624,-0.03179234,-0.04686827,0.18277022,-0.035370763,0.40868595,0.1042043
CSRNP1,0.07649124,-0.061036,-0.47005785,-0.002033341,-0.019031933,-0.066462755
PHF5A,0.44070655,-0.39634264,-0.7847406,0.14498933,-0.59390885,-0.50430644
ETS2,0.04554356,0.052655507,-0.25725287,-0.16624953,-0.54646707,0.058734227
ZC3H6,-0.051222205,-0.09810739,0.060608763,0.038536344,0.19448936,0.0994752
ZNF699,0.033680502,-0.044357076,-0.15537672,-0.052086715,1.1389165,0.019915333
SP140L,0.07213035,-0.09577441,0.13952571,-0.114784025,0.14029516,0.061187677
STAT6,-0.09478354,0.078968935,0.09599756,-0.30348852,0.9666801,0.356332
MYT1L,-0.06018423,-0.074105345,-0.117533356,-0.054372683,0.22103217,0.16935572
RREB1,-0.09007252,0.040687334,-0.011175472,-0.16144693,0.6863986,0.24646538
PLAGL1,-0.057468656,-0.012751152,0.36349896,-0.14640854,1.1224595,0.21477677
ZXDC,-0.16639651,-0.083628155,-0.18051498,0.098209925,0.34564433,0.20123929
ZNF316,-0.089193895,0.031928897,0.22926173,-0.01991544,0.24614443,0.12306448
EPAS1,-0.07609777,0.11248507,0.6231375,-0.58156246,0.5485887,0.5635613
HES4,0.0096346,-0.10887752,0.23601928,-0.30751222,1.9322765,0.3222054
KLF6,0.112093724,-0.07484429,-0.5117612,-0.09154394,0.25742453,-0.028587425
ZNF777,-0.0655141,-0.07135435,-0.29486266,-0.011682419,0.04796823,0.15190998
SCX,-0.08540702,0.0045214184,0.56830794,-0.020588856,0.15095632,0.1345106
ZNF248,-0.08942029,-0.08940659,0.63099366,-0.07325826,0.26118618,0.24797682
ELF4,0.05374522,-0.013881203,-0.3501221,-0.26603955,0.14552426,0.17638806
MLXIP,-0.19520476,-0.046901815,0.24156791,-0.14806005,-0.13948303,0.4466144
FOSB,0.042867176,0.04394627,-0.3724571,0.15574132,-0.78967017,-0.22483061
TBX19,-0.040077172,-0.024190929,-0.16745469,-0.10196735,0.42569128,0.16436568
RARA,0.031588525,-0.058369696,-0.05037381,-0.09304928,-0.11190518,0.07848476
SOX5,-0.116953835,0.09031641,0.6126763,-0.07343424,0.77274173,0.1686667
STAT1,0.18905808,-0.1279,-0.048105966,-0.31816405,-0.3645706,0.10499174
ZNF605,0.007971117,-0.0672859,-0.23005445,0.024611924,-0.0076985727,0.010356807
ZNF268,0.05097893,-0.074781105,-0.32974133,0.06434244,-0.11323334,-0.08185125
ZFP42,0.38799936,-0.26226142,-0.34824246,0.01346644,-0.5434203,-0.3964378
RELB,-0.08826096,-0.08313875,0.06581607,0.08724209,0.16778028,0.09864991
GLIS3,-0.2942463,-0.050049137,0.59712046,-0.2721973,-0.038488097,0.7024312
MGA,-0.16791157,-0.06508452,0.42534924,-0.022624535,0.87708336,0.29521945
ZNF664,0.00077827036,-0.11828169,-0.32627472,0.10397551,-0.11217784,-0.018111212
ZNF569,0.041524485,-0.015320762,0.020106982,-0.08545352,1.0177381,0.020636316
CREB3L2,-0.0480782,-0.022358008,-0.04290848,-0.21227148,0.8707661,0.27188003
ZNF426,0.07765988,-0.14223008,-0.13514653,0.10057108,0.13404737,-0.11310567
ZBTB24,0.1019276,-0.16014126,-0.18530692,0.07926571,-0.10135486,-0.11493111
ZNF148,-0.08070115,-0.12342947,0.22769725,-0.051088516,0.7127638,0.23555855
KLF7,-0.09677437,-0.019744841,0.2937459,-0.07515568,-0.09667152,0.22008257
EMX2,-0.0505293,0.01734619,-0.08686317,-0.045499485,0.17964432,0.05165473
PURA,0.026015373,-0.14557381,0.005933655,0.052276835,-0.2676747,0.009989204
JUNB,0.16524848,-0.17566255,-0.8402233,0.21590161,-0.7733678,-0.31294996
GATA2,0.32335582,-0.26688242,-0.24225245,-0.033477087,-0.27534947,-0.25998098
MIER2,-0.013075025,-0.10848476,-0.088295005,0.01058238,-0.052926607,0.07955006
PEG3,-0.18627521,-0.35584393,-0.5718301,0.8977011,-0.42090458,-0.3212748
ZNF468,0.070406646,-0.13009778,-0.39939502,0.082582876,0.020147579,-0.09171321
ZFP62,0.065581195,-0.121807404,-0.28819767,0.045102432,-0.045577586,-0.055771504
FOSL1,-0.034608457,-0.100135095,-0.19672887,0.294605,-0.19672884,-0.15377957
ZNF793,0.013255653,-0.05613294,-0.30699334,-0.05263276,1.0457479,0.05885056
CREB3,0.33042225,-0.3141971,-0.67454404,-0.0028187095,-0.3565896,-0.26507547
HOXC4,-0.0294098,-0.027563805,0.48406023,-0.020779453,-0.044602998,-0.017278183
ARID4B,0.015675718,-0.13897818,-0.0026116811,-0.08321096,0.45635948,0.13948406
SP100,0.2223815,-0.21543479,-0.20861752,-0.27340308,0.29355448,0.06794123
ZNF460,-0.037912063,-0.026137533,0.15309404,0.00019977342,-0.07207014,0.0708881
JUN,-0.21452817,-0.26430634,-0.63570595,0.7633015,-0.47263178,-0.21529649
IRX4,-0.072194,-0.18110836,-0.23149619,0.48308748,-0.056443483,-0.22159614
