,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF585A,0.047635373,-0.045047555,-0.1915745,0.0010438699,-0.1915745,-0.03814714
NR4A2,0.034585007,0.01096785,-0.23713458,0.04925538,-0.12469729,-0.09983385
ETV7,-0.066463776,-0.21892291,-0.273349,0.45440507,0.007362091,-0.17960277
ZBTB44,-0.028037673,-0.122925244,-0.35569164,0.15274999,0.13070996,-0.020137891
MESP1,-0.050280266,-0.053622924,-0.05788836,0.06735072,-0.05788836,-0.04694098
MEF2D,-0.083631694,-0.009866625,0.10207723,-0.019642862,0.9334932,0.13705777
ZBED3,-0.04266816,-0.043544643,-0.08525662,0.03454147,-0.08525662,0.00834342
FOSL1,-0.030436223,-0.09801402,-0.19702287,0.28412718,-0.19702289,-0.15157473
IRF1,0.09678554,-0.1152513,-0.20624942,0.07288352,-0.48344058,-0.12746142
ZNF33A,-0.037440024,-0.17399393,0.059481118,0.004926006,0.8596953,0.15413421
ZNF483,-0.026771303,-0.0710467,-0.14881334,0.055700216,-0.14881334,0.033966817
HOXB4,0.14170225,-0.14490551,-0.30194464,0.095829,-0.30194467,-0.19501337
ZNF763,-0.0015553663,-0.0566146,0.26016742,0.07541728,-0.16213451,-0.030765755
MIER2,-0.008884424,-0.103389956,-0.093488075,-0.020567775,-0.044742372,0.098824225
ZNF749,0.058110073,-0.07429045,-0.11938523,-0.02436811,-0.119385235,-0.019693313
ADNP2,-0.06807308,-0.037557624,-0.26559773,0.0734599,0.18524003,0.054587875
ZNF496,-0.011807648,-0.049272534,0.22814791,0.06204638,0.037736088,-0.009809616
E2F7,0.04987902,-0.11469724,-0.23047762,0.2154732,-0.23047765,-0.19299668
ZNF140,0.050800305,-0.100560024,-0.3527952,-0.033560738,0.021883717,0.023885557
TONSL,0.048780553,-0.11968078,-0.03841426,0.19823264,-0.13026541,-0.17415115
PHF5A,0.45398498,-0.39006352,-0.78833324,0.10432875,-0.58829355,-0.49016422
ZNF146,0.1632068,-0.22411011,-0.37514132,0.06836888,-0.25543424,-0.14990868
PBX3,-0.07158493,0.020728437,-0.06355572,0.02074772,2.5454943,0.051596016
GLI3,-0.17518646,-0.056432374,-0.124665596,0.0016286959,-0.03907373,0.2877339
ZNF10,0.029857159,-0.049324095,-0.1756794,0.0272414,0.46669438,-0.039031327
NR4A3,-0.03385059,0.003683713,-0.16112685,0.11761628,0.11472653,-0.061700676
ZNF16,0.013036878,-0.04316826,-0.010982923,0.027451355,-0.005532415,-0.016157279
SNAPC4,-0.06410487,0.0020304187,0.010346184,0.0124059925,0.5123276,0.07559503
ZNF678,-0.040291693,-0.0022504579,-0.15569176,-0.016282978,0.19775775,0.07366326
ZNF254,-0.06095764,-0.022898952,-0.536028,-0.18050668,1.0780567,0.26263618
