,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
PBX4,0.039632,yes,no,no,no,no,EVT_1,EVT_1_PBX4
RUNX2,0.031039,yes,no,no,no,no,EVT_1,EVT_1_RUNX2
HEY1,0.290802,yes,no,no,no,no,EVT_1,EVT_1_HEY1
ZNF540,0.017511,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF540
HOXB7,0.092323,yes,no,no,no,no,EVT_1,EVT_1_HOXB7
ZNF354A,0.091397,yes,no,no,no,no,EVT_1,EVT_1_ZNF354A
SMARCE1,0.092984,no,yes,no,no,no,EVT_1,EVT_1_SMARCE1
ARID5A,0.036754,no,yes,no,no,no,EVT_1,EVT_1_ARID5A
ZNF749,0.008464,yes,no,no,no,no,EVT_1,EVT_1_ZNF749
ZNF100,0.156036,yes,no,no,no,no,EVT_1,EVT_1_ZNF100
ZSCAN2,0.029436,yes,no,no,no,no,EVT_1,EVT_1_ZSCAN2
ARID4A,0.17092,yes,no,no,no,no,EVT_1,EVT_1_ARID4A
ZNF562,0.196878,yes,no,no,no,no,EVT_1,EVT_1_ZNF562
ID1,1.122655,yes,no,no,no,no,EVT_1,EVT_1_ID1
PRDM5,0.101558,yes,no,no,no,no,EVT_1,EVT_1_PRDM5
IRF3,0.403224,yes,no,no,no,no,EVT_1,EVT_1_IRF3
ZHX1,0.027806,no,yes,no,no,no,EVT_1,EVT_1_ZHX1
HLX,0.003452,no,yes,no,no,no,EVT_1,EVT_1_HLX
HOXB6,0.012891,yes,no,no,no,no,EVT_1,EVT_1_HOXB6
RUNX1,0.228111,yes,no,no,no,no,EVT_1,EVT_1_RUNX1
ZBTB2,0.094318,yes,no,no,no,no,EVT_1,EVT_1_ZBTB2
ZBTB4,0.012624,no,yes,no,no,no,EVT_1,EVT_1_ZBTB4
MXD3,0.025616,no,yes,no,no,no,EVT_1,EVT_1_MXD3
ZNF658,0.026318,no,yes,no,no,no,EVT_1,EVT_1_ZNF658
MTA1,0.049578,no,yes,no,no,no,EVT_1,EVT_1_MTA1
NFYB,0.363032,yes,no,no,no,no,EVT_1,EVT_1_NFYB
CREB3L4,0.077348,yes,no,no,no,no,EVT_1,EVT_1_CREB3L4
ZNF616,0.028163,yes,no,no,no,no,EVT_1,EVT_1_ZNF616
ZNF668,0.049946,yes,no,no,no,no,EVT_1,EVT_1_ZNF668
STAT3,0.283337,yes,no,no,no,no,EVT_1,EVT_1_STAT3
ZNF614,0.049044,yes,no,no,no,no,EVT_1,EVT_1_ZNF614
ASCL2,1.090333,yes,no,no,no,no,EVT_1,EVT_1_ASCL2
ZC3H8,0.105838,no,yes,no,no,no,EVT_1,EVT_1_ZC3H8
FOXP1,0.270798,no,yes,no,no,no,EVT_1,EVT_1_FOXP1
OSR2,0.447515,yes,no,no,no,no,EVT_1,EVT_1_OSR2
MBD1,0.119137,no,yes,no,no,no,EVT_1,EVT_1_MBD1
SP140,0.006026,no,yes,no,no,no,EVT_1,EVT_1_SP140
GATA6,0.070709,yes,no,yes,yes,yes,EVT_1,EVT_1_GATA6
DLX4,0.285579,yes,no,no,no,no,EVT_1,EVT_1_DLX4
MLX,0.196988,yes,no,no,no,no,EVT_1,EVT_1_MLX
ZNF765,0.17211,yes,no,no,no,no,EVT_1,EVT_1_ZNF765
FOXO1,0.21879,yes,no,no,no,no,EVT_1,EVT_1_FOXO1
LRRFIP1,1.182977,yes,no,no,no,no,EVT_1,EVT_1_LRRFIP1
ZNF793,0.049168,yes,no,no,no,no,EVT_1,EVT_1_ZNF793
ZBTB20,0.129976,yes,no,no,no,no,EVT_1,EVT_1_ZBTB20
TFCP2L1,0.008302,no,yes,no,no,no,EVT_1,EVT_1_TFCP2L1
KAT6A,0.392434,yes,no,no,no,no,EVT_1,EVT_1_KAT6A
HOXA4,0.003472,yes,no,no,no,no,EVT_1,EVT_1_HOXA4
NFATC1,0.04101,yes,no,no,no,no,EVT_1,EVT_1_NFATC1
PPARG,1.256679,yes,no,no,no,no,EVT_1,EVT_1_PPARG
SOHLH1,0.008269,yes,no,no,no,no,EVT_1,EVT_1_SOHLH1
