,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF22,0.30184945,-0.31345934,-0.506347,0.15322532,-0.5670391,-0.36680475
E2F5,-0.07684289,-0.08281281,-0.1567616,0.22838283,-0.1567616,-0.044399433
YBX1,0.32780665,-0.3372061,-0.5382428,0.0464279,-0.35465887,-0.2923703
ZBTB8B,0.036634002,-0.07862359,-0.11730484,0.08136826,-0.11730484,-0.083181225
E2F4,0.22666237,-0.3137339,-0.67895395,0.18191946,-0.30894157,-0.28587326
TFAM,0.29958957,-0.34029108,-0.470385,0.21369362,-0.43709785,-0.40300226
ZNF146,0.11770342,-0.21088101,-0.33469668,0.052589778,-0.14474197,-0.07947003
ZNF544,0.09557945,-0.14635932,-0.31332242,0.1468679,-0.056386195,-0.1763227
GTF3A,0.41633436,-0.40462312,-0.89538985,0.057962626,-0.7778458,-0.38198888
ID2,0.35489902,-0.22995275,-0.71918756,0.1698521,-0.12583604,-0.51420057
ZNF880,0.20939426,-0.12399575,-0.38910288,-0.0029870311,-0.20432217,-0.21537165
SNAI1,0.43023792,-0.2301659,-0.09750581,-0.23985592,-0.3181656,-0.24825121
POU4F1,-0.027493563,-0.038427748,-0.042686738,0.0019738972,-0.04268673,-0.031758893
TOX4,0.19548762,-0.26790994,-0.44435492,0.08004051,-0.2816369,-0.17836088
HSF1,0.19176427,-0.21065219,-0.26606113,0.049864672,-0.10092781,-0.18434262
PEG3,-0.18851644,-0.34655902,-0.57647914,0.8453578,-0.36462912,-0.27643296
HMGA1,0.378888,-0.43977332,-0.67101383,0.44029644,-0.6569931,-0.65847355
ATF5,0.08356771,-0.2491042,-0.20283648,0.30745217,0.017055353,-0.24161546
CDC5L,0.18299298,-0.25937575,-0.6207699,0.08889297,-0.15669799,-0.1740242
DNAJC2,0.2782932,-0.2738441,-0.69750625,0.047346108,-0.48476416,-0.2608167
SMARCE1,0.14623751,-0.22453499,-0.47780952,0.10729558,-0.31837317,-0.15989272
FOSL1,-0.0361666,-0.09384001,-0.1964454,0.28594676,-0.19644539,-0.14764464
ZNF816,0.0803892,-0.13521038,-0.18442029,0.053907808,-0.18442024,-0.07610502
THAP1,0.28225085,-0.26090777,-0.45612216,0.031028233,-0.26092964,-0.26278767
ZNF835,-0.032950897,-0.06485948,-0.06912968,0.07710056,-0.06912969,-0.05817308
MYOD1,0.03946507,-0.049510576,-0.06658707,-0.05763369,-0.06658707,-0.05563323
THAP3,0.16791911,-0.20755178,-0.16014074,0.050684437,-0.16720454,-0.15282445
ZNF17,0.056711517,-0.08183678,-0.14156981,0.0431559,-0.14156982,-0.06799947
ZC3H8,0.081605524,-0.1682984,-0.3169735,0.10709926,-0.10996703,-0.10523031
TFAP4,0.08613555,-0.19305325,-0.3352409,0.20673653,-0.335241,-0.18548174
SFPQ,0.044748742,-0.13092484,-0.44206312,0.065827124,0.013664292,-0.038609676
