,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
THAP7,0.190747,yes,yes,no,no,yes,GC,GC_THAP7
HOXD9,0.102218,yes,no,no,no,no,GC,GC_HOXD9
TSHZ2,0.09344,no,yes,no,no,no,GC,GC_TSHZ2
NFKBIZ,0.171403,no,yes,no,no,no,GC,GC_NFKBIZ
HMBOX1,0.561467,no,yes,no,no,no,GC,GC_HMBOX1
TONSL,0.044371,no,yes,no,no,no,GC,GC_TONSL
ZNF816,0.0,no,yes,no,no,no,GC,GC_ZNF816
E2F8,0.0,no,yes,no,no,no,GC,GC_E2F8
ZNF777,0.0,no,yes,no,no,no,GC,GC_ZNF777
ZNF689,0.0,no,yes,no,no,no,GC,GC_ZNF689
ZNF416,0.0,no,yes,no,no,no,GC,GC_ZNF416
TSHZ3,0.0,no,yes,no,no,no,GC,GC_TSHZ3
ZNF595,0.406492,yes,no,no,no,no,GC,GC_ZNF595
BNC2,0.359596,no,yes,no,no,no,GC,GC_BNC2
MIER2,0.180161,no,yes,no,no,no,GC,GC_MIER2
ZFPM1,0.0,no,yes,no,no,no,GC,GC_ZFPM1
ETV1,0.102218,yes,no,no,no,no,GC,GC_ETV1
ZNF787,0.100643,no,yes,no,no,no,GC,GC_ZNF787
ZNF335,0.074076,no,yes,no,no,no,GC,GC_ZNF335
LRRFIP1,1.233846,no,yes,no,no,no,GC,GC_LRRFIP1
ZFP82,0.0,no,yes,no,no,no,GC,GC_ZFP82
ZFP69,0.098349,yes,no,no,no,no,GC,GC_ZFP69
SOX7,0.072357,yes,no,no,no,no,GC,GC_SOX7
E4F1,0.126308,no,yes,no,no,no,GC,GC_E4F1
GATAD2B,0.373982,no,yes,no,no,no,GC,GC_GATAD2B
SP140,0.0,no,yes,no,no,no,GC,GC_SP140
GLI4,0.0,no,yes,no,no,no,GC,GC_GLI4
ZNF784,0.0,no,yes,no,no,no,GC,GC_ZNF784
FOXF1,0.0,no,yes,no,no,no,GC,GC_FOXF1
ZNF668,0.064122,no,yes,no,no,no,GC,GC_ZNF668
TFE3,0.044371,no,yes,no,no,no,GC,GC_TFE3
ZGLP1,0.0,no,yes,no,no,no,GC,GC_ZGLP1
PPP1R13L,0.33694,no,yes,no,no,no,GC,GC_PPP1R13L
ZNF28,0.071284,no,yes,no,no,no,GC,GC_ZNF28
BATF3,0.036521,no,yes,no,no,no,GC,GC_BATF3
ATF6,0.524659,no,yes,no,no,no,GC,GC_ATF6
PLAGL1,0.519857,no,yes,no,no,no,GC,GC_PLAGL1
TOX,0.0,no,yes,no,no,no,GC,GC_TOX
TFEC,0.074076,no,yes,no,no,no,GC,GC_TFEC
ZNF469,0.0,no,yes,no,no,no,GC,GC_ZNF469
ZNF444,0.072357,no,yes,no,no,no,GC,GC_ZNF444
MEIS3,0.0,no,yes,no,no,no,GC,GC_MEIS3
ZNF526,0.0,no,yes,no,no,no,GC,GC_ZNF526
ZNF574,0.0,no,yes,no,no,no,GC,GC_ZNF574
ZNF48,0.0,no,yes,no,no,no,GC,GC_ZNF48
ATF6B,0.318482,no,yes,no,no,no,GC,GC_ATF6B
WIZ,0.0,no,yes,no,no,no,GC,GC_WIZ
ZNF524,0.071027,no,yes,no,no,no,GC,GC_ZNF524
ZNF771,0.0,no,yes,no,no,no,GC,GC_ZNF771
CSRNP1,0.053951,no,yes,no,no,no,GC,GC_CSRNP1
ZNF224,0.0,no,yes,no,no,no,GC,GC_ZNF224
ZBTB45,0.072357,no,yes,no,no,no,GC,GC_ZBTB45
GTF3A,0.0,no,yes,no,no,no,GC,GC_GTF3A
ZNF408,0.0,no,yes,no,no,no,GC,GC_ZNF408
