,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
GCM1,0.456485,yes,no,no,no,no,VCT_CCC,VCT_CCC_GCM1
TSHZ2,0.054625,no,yes,no,no,no,VCT_CCC,VCT_CCC_TSHZ2
NFKBIZ,0.212358,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_NFKBIZ
ZNF264,0.083566,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF264
ZNF655,0.179661,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF655
ZNF777,0.045176,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF777
ZNF589,0.028155,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF589
FOSL2,0.37555,yes,yes,yes,no,yes,VCT_CCC,VCT_CCC_FOSL2
SRF,0.110487,yes,no,no,no,no,VCT_CCC,VCT_CCC_SRF
ZNF268,0.055593,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF268
BNC2,0.142294,no,yes,no,no,no,VCT_CCC,VCT_CCC_BNC2
STAT3,0.267704,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_STAT3
NPAS4,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_NPAS4
MIER2,0.12362,no,yes,no,no,no,VCT_CCC,VCT_CCC_MIER2
ZNF787,0.065695,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF787
LRRFIP1,0.719914,yes,no,no,no,no,VCT_CCC,VCT_CCC_LRRFIP1
SOX7,0.04148,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_SOX7
SP140,0.00783,no,yes,no,no,no,VCT_CCC,VCT_CCC_SP140
GATAD2B,0.254355,no,yes,no,no,no,VCT_CCC,VCT_CCC_GATAD2B
HOXB13,0.001305,yes,no,no,no,no,VCT_CCC,VCT_CCC_HOXB13
MAX,0.248516,no,yes,no,yes,no,VCT_CCC,VCT_CCC_MAX
ID1,0.484023,yes,no,no,no,no,VCT_CCC,VCT_CCC_ID1
FOSB,1.059149,yes,no,yes,no,yes,VCT_CCC,VCT_CCC_FOSB
MAFF,0.268072,yes,no,no,no,no,VCT_CCC,VCT_CCC_MAFF
ZNF792,0.00215,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF792
TFE3,0.085237,no,yes,no,yes,no,VCT_CCC,VCT_CCC_TFE3
CREB5,0.281676,yes,no,no,no,no,VCT_CCC,VCT_CCC_CREB5
ZNF469,0.000833,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF469
ELF1,0.667528,yes,yes,no,yes,yes,VCT_CCC,VCT_CCC_ELF1
MEIS3,0.005164,no,yes,no,no,no,VCT_CCC,VCT_CCC_MEIS3
RUNX1,0.222718,yes,no,no,no,no,VCT_CCC,VCT_CCC_RUNX1
ERF,0.040124,no,yes,no,yes,no,VCT_CCC,VCT_CCC_ERF
HMGXB4,0.279478,yes,no,no,no,no,VCT_CCC,VCT_CCC_HMGXB4
ZNF292,0.643799,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF292
TFAP2B,0.042622,no,yes,no,yes,no,VCT_CCC,VCT_CCC_TFAP2B
NFIL3,0.142017,yes,no,no,no,no,VCT_CCC,VCT_CCC_NFIL3
KLF2,0.093668,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_KLF2
HOXB7,0.045219,yes,no,no,no,no,VCT_CCC,VCT_CCC_HOXB7
ZBED4,0.104041,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZBED4
JDP2,0.066782,yes,yes,yes,no,yes,VCT_CCC,VCT_CCC_JDP2
EGR3,0.021787,no,yes,no,yes,no,VCT_CCC,VCT_CCC_EGR3
JUNB,0.685073,yes,yes,yes,no,yes,VCT_CCC,VCT_CCC_JUNB
ZNF746,0.056418,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF746
ZNF143,0.116382,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_ZNF143
STAT2,0.192879,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_STAT2
HIVEP2,0.12869,no,yes,no,no,no,VCT_CCC,VCT_CCC_HIVEP2
TFAP4,0.078848,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_TFAP4
HHEX,0.005442,yes,no,no,no,no,VCT_CCC,VCT_CCC_HHEX
SMAD7,0.08247,no,yes,no,no,no,VCT_CCC,VCT_CCC_SMAD7
DLX3,0.190875,yes,no,no,no,no,VCT_CCC,VCT_CCC_DLX3
RXRA,0.283179,yes,no,no,no,no,VCT_CCC,VCT_CCC_RXRA
PKNOX1,0.226452,yes,no,no,no,no,VCT_CCC,VCT_CCC_PKNOX1
TFAM,0.334295,no,yes,no,no,no,VCT_CCC,VCT_CCC_TFAM
NFKBID,0.025611,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_NFKBID
PITX1,0.015132,yes,no,no,no,no,VCT_CCC,VCT_CCC_PITX1
ZNF814,0.170882,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF814
MXD3,0.043129,no,yes,no,no,no,VCT_CCC,VCT_CCC_MXD3
ZNF331,0.39631,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF331
CREB3L2,0.702848,yes,no,no,no,no,VCT_CCC,VCT_CCC_CREB3L2
HIVEP1,0.251643,no,yes,no,no,no,VCT_CCC,VCT_CCC_HIVEP1
ZNF880,0.058321,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF880
BCL6B,0.00161,no,yes,no,no,no,VCT_CCC,VCT_CCC_BCL6B
SMARCC2,0.130841,no,yes,no,no,no,VCT_CCC,VCT_CCC_SMARCC2
ZNF358,0.038808,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF358
ZFP92,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZFP92
TBX2,0.004863,no,yes,no,no,no,VCT_CCC,VCT_CCC_TBX2
ZNF681,0.037334,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF681
AHR,0.049332,no,yes,no,no,no,VCT_CCC,VCT_CCC_AHR
NR2C1,0.171668,no,yes,no,yes,no,VCT_CCC,VCT_CCC_NR2C1
SP100,0.264609,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_SP100
KLF9,0.008235,no,yes,no,yes,no,VCT_CCC,VCT_CCC_KLF9
ZNF146,0.277593,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF146
FOXD1,0.001393,yes,no,no,no,no,VCT_CCC,VCT_CCC_FOXD1
IRF2,0.125003,no,yes,no,yes,no,VCT_CCC,VCT_CCC_IRF2
HES4,0.070342,yes,no,no,no,no,VCT_CCC,VCT_CCC_HES4
UBP1,0.152094,yes,no,no,no,no,VCT_CCC,VCT_CCC_UBP1
SP140L,0.119579,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_SP140L
IRF5,0.004387,no,yes,no,yes,no,VCT_CCC,VCT_CCC_IRF5
NFATC1,0.011802,yes,no,no,no,no,VCT_CCC,VCT_CCC_NFATC1
ZNF175,0.087099,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF175
HIVEP3,0.072884,no,yes,no,no,no,VCT_CCC,VCT_CCC_HIVEP3
OSR2,0.211841,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_OSR2
ZNF423,0.026983,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF423
THRB,0.663234,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_THRB
ZNF256,0.012169,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF256
FOSL1,0.061005,yes,no,yes,no,yes,VCT_CCC,VCT_CCC_FOSL1
RFX3,0.181655,no,yes,no,yes,no,VCT_CCC,VCT_CCC_RFX3
IRF7,0.072148,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_IRF7
HOXC6,0.005017,yes,no,no,no,no,VCT_CCC,VCT_CCC_HOXC6
ARNTL2,0.105325,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ARNTL2
DLX4,0.11556,yes,no,no,no,no,VCT_CCC,VCT_CCC_DLX4
ZNF749,0.005146,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF749
ZNF676,0.010001,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF676
HMBOX1,0.198344,no,yes,no,no,no,VCT_CCC,VCT_CCC_HMBOX1
GMEB1,0.139129,no,yes,no,no,no,VCT_CCC,VCT_CCC_GMEB1
