,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
BNC1,-0.050186604,-0.033387247,0.47633672,-0.04676091,-0.052755725,0.056155972
ATOH8,-0.057798337,0.016708747,-0.1216864,-0.09395561,1.3546884,0.10735236
ZNF175,-0.11027013,-0.02926796,-0.20531444,0.18753494,-0.1595631,0.0028025946
ZNF277,-0.040752534,-0.02935505,0.21328452,-0.13460171,0.60176724,0.19528535
ZNF2,0.0065970737,-0.038938936,-0.12115306,-0.027164437,-0.12115306,0.00018734772
ZNF737,-0.021123264,-0.009997441,-0.15366933,-0.025675004,-0.15366933,0.042002723
ZNF655,0.037316583,-0.07783977,-0.5327082,0.03398406,-0.04014796,-0.031883545
ZNF789,-0.054472983,-0.04472914,0.0017065845,0.07537344,0.5620534,0.03336751
ZNF77,-0.060837463,-0.008921901,0.163302,0.025324062,0.023672376,0.054288678
ZNF557,-0.02562708,0.0030362564,0.037610263,0.012280407,0.32231548,0.013488276
ZBTB44,-0.123144224,0.0045185816,-0.2078032,0.1492068,0.1756084,0.037108637
SMAD2,-0.1954099,-0.029025272,0.71764874,-0.048399586,0.22571455,0.33875436
ZNF790,-0.033614673,-0.037484866,-0.26579678,-0.06883612,0.58381546,0.13249858
KLF3,-0.0808351,-0.080200955,0.40274698,0.13224709,0.6409973,0.039439842
EGR1,-0.114605926,0.029550903,-0.45216742,0.39027908,-0.47879234,-0.20618735
ZNF460,-0.07096481,0.013258852,0.37848154,-0.017306568,-0.069171526,0.076562345
EMX2,-0.05119321,0.014138631,-0.07225525,-0.037665058,0.056852695,0.022093963
YBX3,-0.24604002,-0.14994028,-0.15730888,0.5837146,0.2214005,-0.08629352
SOX15,-0.09491457,-0.12965292,-0.1412199,0.36537313,-0.1412199,-0.13874114
TFEC,-0.057906255,-0.017198555,0.4432371,0.016174506,0.27258062,0.015206627
ZNF532,-0.1622856,-0.017653888,0.5752638,-0.12715364,-0.16836493,0.35980132
SNAI2,-0.062115654,-0.01567528,-0.0863627,0.065458484,-0.08636268,-0.025122538
ZNF699,-1.541458e-05,-0.023519678,-0.12790717,-0.061058186,1.1135252,0.03249816
ZNF548,-0.012504672,-0.0441599,-0.14799455,0.0695005,-0.020105813,-0.048399374
DMAP1,0.09593177,-0.16457687,-0.45301622,0.17456567,0.17451803,-0.19178738
