,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
L3MBTL1,0.311106,no,yes,no,no,no,eEVT,eEVT_L3MBTL1
ZNF440,0.628357,no,yes,no,no,no,eEVT,eEVT_ZNF440
ZSCAN25,0.008723,no,yes,no,no,no,eEVT,eEVT_ZSCAN25
NR2E3,0.0,no,yes,no,no,no,eEVT,eEVT_NR2E3
ZNF182,0.046714,no,yes,no,no,no,eEVT,eEVT_ZNF182
ZNF507,0.162538,no,yes,no,no,no,eEVT,eEVT_ZNF507
NFKBID,0.093344,no,yes,no,no,no,eEVT,eEVT_NFKBID
ZNF266,0.148243,no,yes,no,no,no,eEVT,eEVT_ZNF266
HOMEZ,0.010035,no,yes,no,no,no,eEVT,eEVT_HOMEZ
ELMSAN1,0.312738,no,yes,no,no,no,eEVT,eEVT_ELMSAN1
ZNF550,0.031618,no,yes,no,no,no,eEVT,eEVT_ZNF550
ZKSCAN1,0.596378,yes,no,no,no,no,eEVT,eEVT_ZKSCAN1
ZNF596,0.059895,no,yes,no,no,no,eEVT,eEVT_ZNF596
DBP,0.0,no,yes,no,no,no,eEVT,eEVT_DBP
TBX5,0.036341,yes,yes,no,no,yes,eEVT,eEVT_TBX5
ZSCAN29,0.097022,no,yes,no,no,no,eEVT,eEVT_ZSCAN29
ZNF764,0.014173,no,yes,no,no,no,eEVT,eEVT_ZNF764
FOXJ3,2.441269,yes,yes,no,no,yes,eEVT,eEVT_FOXJ3
ZNF277,0.423397,no,yes,no,no,no,eEVT,eEVT_ZNF277
ZNF17,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF17
ZNF121,0.944574,yes,yes,no,no,yes,eEVT,eEVT_ZNF121
ZNF470,0.04196,no,yes,no,no,no,eEVT,eEVT_ZNF470
ZKSCAN5,0.014173,no,yes,no,no,no,eEVT,eEVT_ZKSCAN5
LRRFIP2,1.227765,yes,yes,no,no,yes,eEVT,eEVT_LRRFIP2
IKZF1,0.167536,yes,no,no,no,no,eEVT,eEVT_IKZF1
GMEB2,0.113847,no,yes,no,no,no,eEVT,eEVT_GMEB2
BHLHE23,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_BHLHE23
SOX1,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_SOX1
MAX,0.569321,yes,no,no,no,no,eEVT,eEVT_MAX
ZBTB43,0.317328,no,yes,no,no,no,eEVT,eEVT_ZBTB43
ZSCAN21,0.346418,yes,no,no,no,no,eEVT,eEVT_ZSCAN21
RORC,0.0,no,yes,no,no,no,eEVT,eEVT_RORC
ZNF142,0.264097,yes,yes,no,no,yes,eEVT,eEVT_ZNF142
ZNF354B,0.214527,no,yes,no,no,no,eEVT,eEVT_ZNF354B
ZNF629,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF629
ZNF766,0.101971,no,yes,no,no,no,eEVT,eEVT_ZNF766
ZNF689,0.008723,no,yes,no,no,no,eEVT,eEVT_ZNF689
ZNF283,0.05935,no,yes,no,no,no,eEVT,eEVT_ZNF283
ZNF234,0.043396,no,yes,no,no,no,eEVT,eEVT_ZNF234
ZNF615,0.119657,no,yes,no,no,no,eEVT,eEVT_ZNF615
ARID1A,0.619567,no,yes,no,no,no,eEVT,eEVT_ARID1A
ZXDA,0.0,no,yes,no,no,no,eEVT,eEVT_ZXDA
ZNF566,0.102467,no,yes,no,no,no,eEVT,eEVT_ZNF566
ZNF567,0.149387,no,yes,no,no,no,eEVT,eEVT_ZNF567
GCM1,2.208438,yes,yes,no,no,yes,eEVT,eEVT_GCM1
ZNF248,0.220832,no,yes,no,no,no,eEVT,eEVT_ZNF248
ZNF169,0.064801,no,yes,no,no,no,eEVT,eEVT_ZNF169
ZNF146,0.18167,no,yes,no,no,no,eEVT,eEVT_ZNF146
TBX1,0.367108,yes,no,no,no,no,eEVT,eEVT_TBX1
ZNF808,0.085585,no,yes,no,no,no,eEVT,eEVT_ZNF808
ZNF846,0.518781,yes,yes,no,no,yes,eEVT,eEVT_ZNF846
ZXDB,0.0,no,yes,no,no,no,eEVT,eEVT_ZXDB
ZNF446,0.021348,no,yes,no,no,no,eEVT,eEVT_ZNF446
MYCL,0.116897,no,yes,no,no,no,eEVT,eEVT_MYCL
RFX7,0.422697,no,yes,no,no,no,eEVT,eEVT_RFX7
VENTX,0.0,no,yes,no,no,no,eEVT,eEVT_VENTX
ZNF331,0.501943,no,yes,no,no,no,eEVT,eEVT_ZNF331
ZNF684,0.075774,no,yes,no,no,no,eEVT,eEVT_ZNF684
ZNF780B,0.168919,no,yes,no,no,no,eEVT,eEVT_ZNF780B
IKZF5,0.071152,no,yes,no,no,no,eEVT,eEVT_IKZF5
PRDM2,0.720478,no,yes,no,no,no,eEVT,eEVT_PRDM2
ZNF432,0.247375,no,yes,no,no,no,eEVT,eEVT_ZNF432
NRL,0.081464,yes,yes,no,no,yes,eEVT,eEVT_NRL
ZNF235,0.396777,yes,no,no,no,no,eEVT,eEVT_ZNF235
MYCN,1.714491,yes,no,no,no,no,eEVT,eEVT_MYCN
ZNF341,0.075424,no,yes,no,no,no,eEVT,eEVT_ZNF341
HNF1A,0.011312,yes,no,no,no,no,eEVT,eEVT_HNF1A
ZNF501,0.011312,no,yes,no,no,no,eEVT,eEVT_ZNF501
NFATC4,0.0,no,yes,no,no,no,eEVT,eEVT_NFATC4
KAT7,0.236524,no,yes,no,no,no,eEVT,eEVT_KAT7
ZNF3,0.138178,no,yes,no,no,no,eEVT,eEVT_ZNF3
MGA,0.83307,no,yes,no,no,no,eEVT,eEVT_MGA
KLF9,0.400348,yes,no,no,no,no,eEVT,eEVT_KLF9
ZBTB44,0.255888,no,yes,no,no,no,eEVT,eEVT_ZBTB44
IKZF2,0.102114,no,yes,no,no,no,eEVT,eEVT_IKZF2
SMAD3,2.202869,yes,no,no,no,no,eEVT,eEVT_SMAD3
NFKBIE,0.0,no,yes,no,no,no,eEVT,eEVT_NFKBIE
ZNF251,0.274872,no,yes,no,no,no,eEVT,eEVT_ZNF251
HMG20B,0.195269,no,yes,no,no,no,eEVT,eEVT_HMG20B
