,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF440,0.21236087,0.33102852,0.30601743,0.2650051,0.6283569,0.40225914
ZSCAN25,0.024410693,0.030480938,0.0,0.03831059,0.008723,0.04613117
ZNF835,0.001062158,0.00011185098,0.0,0.0050584935,0.0,0.00090349256
ZNF507,0.058882285,0.09756996,0.085161075,0.115880996,0.16253772,0.11612187
NFKBID,0.020218328,0.02343134,0.0,0.025610939,0.09334393,0.030713879
BACH2,0.010176826,0.024648843,0.036520947,0.06252419,0.0,0.02559427
PHF5A,0.38183367,0.14769617,0.0,0.3344673,0.058628887,0.10139475
HOMEZ,0.036166277,0.02183853,0.0,0.034650013,0.010035443,0.023739453
HOXA5,0.00026562833,0.0029329474,0.0,0.0010915506,0.0,0.0012867636
KLF2,0.03213137,0.11204936,0.21013899,0.09366777,0.23652492,0.15644735
RBPJ,0.42465633,0.4747342,0.9092899,0.5726242,0.7471613,0.58147764
BNC2,0.060347337,0.12467612,0.35959625,0.14229374,0.09097867,0.107683614
ZKSCAN1,0.123582445,0.21965756,0.12662436,0.21604699,0.59637755,0.34639516
DBP,0.006829951,0.0048363847,0.0,0.013665628,0.0,0.004690569
TBX5,0.0015789926,0.0014111494,0.0,0.0033774595,0.036340885,0.0021167991
SMARCC1,0.7007221,0.87558967,1.1966182,0.73467237,1.4768566,1.0645593
FOXJ3,0.6983735,1.2114872,2.0997365,0.5661336,2.4412692,1.7960819
ZNF277,0.16596726,0.17053375,0.26774904,0.12836593,0.42339733,0.2605375
ZNF17,0.008053208,0.0045489427,0.0,0.009266316,0.0,0.0042198207
ATF3,0.80173784,0.7323898,0.10064332,0.9632051,0.22750327,0.55206686
ZNF121,0.10307419,0.15988415,0.10064332,0.16578679,0.9445745,0.15874727
LRRFIP2,0.36849236,0.4726066,0.7616523,0.33128485,1.2277648,0.6582463
ZNF77,0.01897824,0.02813791,0.05395142,0.033140715,0.032083575,0.037518412
MAX,0.26461655,0.23119517,0.15407991,0.24851605,0.56932145,0.3259474
STAT2,0.30076084,0.52559465,0.8355451,0.19287944,0.88527006,0.6693198
ZBTB43,0.07162809,0.13606405,0.3420083,0.1584229,0.31732848,0.17635852
SRF,0.090789996,0.14680749,0.0,0.11048673,0.19327554,0.09038894
ZSCAN21,0.033326373,0.0288042,0.0,0.052216437,0.3464183,0.03503341
EPAS1,1.3135674,2.0682857,2.9880476,1.0138898,2.731264,2.7390027
ZNF142,0.027873252,0.04457208,0.09834926,0.045909163,0.2640975,0.04005711
ZNF532,0.05022201,0.09855029,0.2966721,0.06196126,0.04819062,0.22467591
ZNF354B,0.051161166,0.06397666,0.04906867,0.108332425,0.21452717,0.0797843
STAT1,0.33950388,0.38103235,0.5553949,0.19176167,0.26510364,0.51977867
TRERF1,0.021024719,0.030257115,0.0,0.1255993,0.08028145,0.02380497
ZNF766,0.074140385,0.06670155,0.0,0.08698731,0.101971135,0.10115123
ZNF629,0.0044287676,0.008058734,0.0,0.0076982817,0.0,0.011666278
ZNF689,0.013506,0.008738696,0.0,0.018942935,0.008723,0.012615312
ZNF234,0.020590631,0.021581348,0.04906867,0.02801677,0.043395765,0.033632647
