,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
CXXC1,0.157148,no,yes,no,no,no,EVT_1,EVT_1_CXXC1
TOX3,0.000931,no,yes,no,no,no,EVT_1,EVT_1_TOX3
KDM2A,0.277136,yes,yes,no,no,yes,EVT_1,EVT_1_KDM2A
SRF,0.09079,yes,no,no,no,no,EVT_1,EVT_1_SRF
ZNF7,0.078952,no,yes,no,no,no,EVT_1,EVT_1_ZNF7
ZNF646,0.014063,no,yes,no,no,no,EVT_1,EVT_1_ZNF646
ZFY,0.01405,no,yes,no,no,no,EVT_1,EVT_1_ZFY
ZNF33A,0.218934,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF33A
MYCL,0.06316,no,yes,no,no,no,EVT_1,EVT_1_MYCL
ZNF721,0.188649,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF721
SMAD2,0.304616,yes,yes,no,no,yes,EVT_1,EVT_1_SMAD2
ZSCAN9,0.019801,yes,yes,no,no,yes,EVT_1,EVT_1_ZSCAN9
ZNF282,0.041026,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF282
STAT3,0.283337,no,yes,no,no,no,EVT_1,EVT_1_STAT3
ZSCAN21,0.033326,yes,no,no,no,no,EVT_1,EVT_1_ZSCAN21
ZNF594,0.012402,no,yes,no,no,no,EVT_1,EVT_1_ZNF594
KLF16,0.01489,yes,yes,yes,no,yes,EVT_1,EVT_1_KLF16
HMGA1,0.845971,yes,no,no,no,no,EVT_1,EVT_1_HMGA1
FOXJ3,0.698373,no,yes,no,no,no,EVT_1,EVT_1_FOXJ3
E2F7,0.031652,yes,no,no,no,no,EVT_1,EVT_1_E2F7
TBX3,0.051109,yes,no,no,no,no,EVT_1,EVT_1_TBX3
TADA2A,0.112861,yes,yes,no,no,yes,EVT_1,EVT_1_TADA2A
SPDEF,0.000565,no,yes,no,no,no,EVT_1,EVT_1_SPDEF
TFAP2C,0.243764,yes,no,no,no,no,EVT_1,EVT_1_TFAP2C
HOXA5,0.000266,no,yes,no,no,no,EVT_1,EVT_1_HOXA5
ZNF75A,0.066343,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF75A
CREBZF,0.109199,yes,yes,no,no,yes,EVT_1,EVT_1_CREBZF
ZNF629,0.004429,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF629
ZNF562,0.196878,no,yes,no,no,no,EVT_1,EVT_1_ZNF562
ZBTB38,0.185398,no,yes,no,no,no,EVT_1,EVT_1_ZBTB38
FOSL1,0.012163,yes,no,yes,yes,yes,EVT_1,EVT_1_FOSL1
ZNF525,0.044865,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF525
ZNF22,0.212014,yes,no,no,no,no,EVT_1,EVT_1_ZNF22
ZNF468,0.055224,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF468
ZFP41,0.005095,no,yes,no,no,no,EVT_1,EVT_1_ZFP41
FEZF1,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_FEZF1
ZNF641,0.008375,no,yes,no,no,no,EVT_1,EVT_1_ZNF641
ZNF511,0.180514,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF511
HSF1,0.2869,yes,no,no,no,no,EVT_1,EVT_1_HSF1
MNX1,0.001344,yes,no,no,no,no,EVT_1,EVT_1_MNX1
ZNF516,0.014498,no,yes,no,no,no,EVT_1,EVT_1_ZNF516
ZNF430,0.086037,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF430
ZNF189,0.018375,yes,no,no,no,no,EVT_1,EVT_1_ZNF189
AHR,0.024813,yes,no,no,no,no,EVT_1,EVT_1_AHR
ZNF829,0.017991,yes,no,no,no,no,EVT_1,EVT_1_ZNF829
ZHX1,0.027806,yes,no,no,no,no,EVT_1,EVT_1_ZHX1
HOMEZ,0.036166,no,yes,no,no,no,EVT_1,EVT_1_HOMEZ
ZNF10,0.011133,yes,no,no,no,no,EVT_1,EVT_1_ZNF10
ATF5,0.061305,yes,no,no,no,no,EVT_1,EVT_1_ATF5
PBX1,0.102177,yes,no,no,no,no,EVT_1,EVT_1_PBX1
SRY,not_enough_cells_expr_limma,no,yes,no,yes,no,EVT_1,EVT_1_SRY
MTA2,0.039319,yes,no,no,no,no,EVT_1,EVT_1_MTA2
ZNF44,0.049022,yes,no,no,no,no,EVT_1,EVT_1_ZNF44
ETV6,0.213921,yes,no,no,no,no,EVT_1,EVT_1_ETV6
ZNF787,0.03903,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF787
NPAS2,0.072186,yes,yes,no,no,yes,EVT_1,EVT_1_NPAS2
ZNF805,0.011153,no,yes,no,no,no,EVT_1,EVT_1_ZNF805
ZNF414,0.068829,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF414
MYRF,0.001349,no,yes,no,no,no,EVT_1,EVT_1_MYRF
ARID3B,0.156924,yes,yes,no,no,yes,EVT_1,EVT_1_ARID3B
VEZF1,0.095266,yes,yes,no,no,yes,EVT_1,EVT_1_VEZF1
ZNF358,0.020015,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF358
NFKBIE,0.022754,yes,no,no,no,no,EVT_1,EVT_1_NFKBIE
ZNF425,0.010161,no,yes,no,no,no,EVT_1,EVT_1_ZNF425
EGR4,0.000334,yes,no,no,no,no,EVT_1,EVT_1_EGR4
