,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
HOXB8,0.002532,yes,no,no,no,no,EVT_1,EVT_1_HOXB8
SMAD3,0.12563,yes,no,no,no,no,EVT_1,EVT_1_SMAD3
HOXC9,0.052365,yes,no,no,no,no,EVT_1,EVT_1_HOXC9
ZNF174,0.014891,no,yes,no,no,no,EVT_1,EVT_1_ZNF174
ZNF397,0.094729,no,yes,no,no,no,EVT_1,EVT_1_ZNF397
HOXA1,0.003757,yes,no,no,no,no,EVT_1,EVT_1_HOXA1
BATF3,0.182188,yes,no,no,no,no,EVT_1,EVT_1_BATF3
KDM5B,0.292216,yes,no,no,no,no,EVT_1,EVT_1_KDM5B
ZNF540,0.017511,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF540
SOX8,0.001942,yes,no,no,no,no,EVT_1,EVT_1_SOX8
HIC2,0.266976,no,yes,no,no,no,EVT_1,EVT_1_HIC2
TSC22D3,0.432815,yes,no,no,no,no,EVT_1,EVT_1_TSC22D3
DLX3,0.264618,yes,no,no,no,no,EVT_1,EVT_1_DLX3
TEAD1,1.053341,yes,no,no,no,no,EVT_1,EVT_1_TEAD1
GLIS3,0.242204,yes,no,no,no,no,EVT_1,EVT_1_GLIS3
NR1H4,0.002576,yes,no,no,no,no,EVT_1,EVT_1_NR1H4
RFX3,0.180056,yes,yes,no,no,yes,EVT_1,EVT_1_RFX3
BATF2,0.004477,yes,yes,no,no,yes,EVT_1,EVT_1_BATF2
ZC3H8,0.105838,no,yes,no,no,no,EVT_1,EVT_1_ZC3H8
HES2,0.016492,no,yes,no,no,no,EVT_1,EVT_1_HES2
ZNF677,0.106294,yes,no,no,no,no,EVT_1,EVT_1_ZNF677
MAX,0.264617,yes,no,no,no,no,EVT_1,EVT_1_MAX
GATA2,0.712491,yes,no,yes,no,yes,EVT_1,EVT_1_GATA2
PATZ1,0.009072,no,yes,no,no,no,EVT_1,EVT_1_PATZ1
PLAGL1,0.16824,yes,no,no,no,no,EVT_1,EVT_1_PLAGL1
RREB1,0.498875,yes,no,no,no,no,EVT_1,EVT_1_RREB1
ZNF570,0.052417,yes,no,no,no,no,EVT_1,EVT_1_ZNF570
ZBTB4,0.012624,no,yes,no,no,no,EVT_1,EVT_1_ZBTB4
FEV,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_FEV
ZNF571,0.033076,yes,no,no,no,no,EVT_1,EVT_1_ZNF571
HOXA6,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_HOXA6
STAT3,0.283337,yes,no,no,no,no,EVT_1,EVT_1_STAT3
ETS2,0.456469,yes,no,no,no,no,EVT_1,EVT_1_ETS2
NFATC1,0.04101,yes,no,no,no,no,EVT_1,EVT_1_NFATC1
ZNF614,0.049044,yes,no,no,no,no,EVT_1,EVT_1_ZNF614
ETV2,0.013767,yes,no,no,no,no,EVT_1,EVT_1_ETV2
THAP11,0.067477,no,yes,no,no,no,EVT_1,EVT_1_THAP11
FOXP1,0.270798,no,yes,no,no,no,EVT_1,EVT_1_FOXP1
FOXJ3,0.698373,yes,no,no,no,no,EVT_1,EVT_1_FOXJ3
ST18,0.005936,yes,no,no,no,no,EVT_1,EVT_1_ST18
RFX8,0.004087,no,yes,no,no,no,EVT_1,EVT_1_RFX8
