,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF138,0.078985,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF138
ZNF7,0.079931,no,yes,no,no,no,EVT_2,EVT_2_ZNF7
ZNF33A,0.275198,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF33A
THAP10,0.001296,no,yes,no,no,no,EVT_2,EVT_2_THAP10
ZNF721,0.259387,yes,no,no,no,no,EVT_2,EVT_2_ZNF721
ZNF883,0.005497,no,yes,no,no,no,EVT_2,EVT_2_ZNF883
ZNF559,0.014225,no,yes,no,no,no,EVT_2,EVT_2_ZNF559
BHLHE22,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_BHLHE22
ZNF594,0.010317,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF594
HMGA1,0.275399,yes,no,no,no,no,EVT_2,EVT_2_HMGA1
E2F7,0.016737,yes,no,no,yes,yes,EVT_2,EVT_2_E2F7
TBX3,0.113832,no,yes,no,no,no,EVT_2,EVT_2_TBX3
TADA2A,0.115001,yes,yes,no,no,yes,EVT_2,EVT_2_TADA2A
ZNF75A,0.096343,no,yes,no,no,no,EVT_2,EVT_2_ZNF75A
YBX1,0.876862,yes,no,no,no,no,EVT_2,EVT_2_YBX1
ZNF629,0.008059,no,yes,no,no,no,EVT_2,EVT_2_ZNF629
ZNF382,0.008371,no,yes,no,no,no,EVT_2,EVT_2_ZNF382
NCOR2,0.530144,no,yes,no,no,no,EVT_2,EVT_2_NCOR2
ZNF22,0.102042,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF22
ZGPAT,0.001511,no,yes,no,no,no,EVT_2,EVT_2_ZGPAT
ZNF468,0.055221,no,yes,no,no,no,EVT_2,EVT_2_ZNF468
ZNF511,0.06853,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF511
ID1,0.744117,yes,no,no,no,no,EVT_2,EVT_2_ID1
THAP8,0.01555,yes,yes,no,no,yes,EVT_2,EVT_2_THAP8
ZNF430,0.119589,no,yes,no,no,no,EVT_2,EVT_2_ZNF430
ZNF568,0.048057,yes,no,no,no,no,EVT_2,EVT_2_ZNF568
ZNF267,0.100863,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF267
ZHX1,0.031346,no,yes,no,no,no,EVT_2,EVT_2_ZHX1
ZNF578,0.064581,yes,no,no,no,no,EVT_2,EVT_2_ZNF578
HOMEZ,0.021839,yes,yes,no,no,yes,EVT_2,EVT_2_HOMEZ
RFXANK,0.119783,yes,no,no,no,no,EVT_2,EVT_2_RFXANK
ATF5,0.03448,yes,yes,no,no,yes,EVT_2,EVT_2_ATF5
SRY,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_SRY
ETV6,0.341512,yes,no,no,yes,yes,EVT_2,EVT_2_ETV6
ZNF787,0.076876,no,yes,no,no,no,EVT_2,EVT_2_ZNF787
ZNF414,0.067743,no,yes,no,no,no,EVT_2,EVT_2_ZNF414
HES5,0.0,no,yes,no,no,no,EVT_2,EVT_2_HES5
ZNF491,0.008039,no,yes,no,no,no,EVT_2,EVT_2_ZNF491
SOHLH1,0.002314,yes,no,no,no,no,EVT_2,EVT_2_SOHLH1
ZNF358,0.038048,no,yes,no,no,no,EVT_2,EVT_2_ZNF358
ZNF425,0.013011,no,yes,no,no,no,EVT_2,EVT_2_ZNF425
ZFPM1,0.010163,no,yes,no,no,no,EVT_2,EVT_2_ZFPM1
ZFP62,0.027244,no,yes,no,no,no,EVT_2,EVT_2_ZFP62
ZBED6,0.001703,no,yes,no,no,no,EVT_2,EVT_2_ZBED6
CREB3L4,0.039854,yes,no,no,yes,yes,EVT_2,EVT_2_CREB3L4
ZNF254,0.343241,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF254
ARID5A,0.044359,no,yes,no,no,no,EVT_2,EVT_2_ARID5A
ZNF786,0.02349,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF786
TOX4,0.211745,no,yes,no,no,no,EVT_2,EVT_2_TOX4
ZFP69,0.008461,yes,yes,no,no,yes,EVT_2,EVT_2_ZFP69
ZNF790,0.058128,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF790
ZNF613,0.012143,no,yes,no,no,no,EVT_2,EVT_2_ZNF613
ZNF2,0.008116,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF2
PSPC1,0.958058,yes,yes,no,no,yes,EVT_2,EVT_2_PSPC1
POU6F2,0.077631,yes,no,no,no,no,EVT_2,EVT_2_POU6F2
MNT,0.101445,no,yes,no,no,no,EVT_2,EVT_2_MNT
SFPQ,0.80204,no,yes,no,no,no,EVT_2,EVT_2_SFPQ
ZNF670,0.017115,no,yes,no,no,no,EVT_2,EVT_2_ZNF670
SMARCC1,0.87559,yes,no,no,no,no,EVT_2,EVT_2_SMARCC1
KLF13,0.266075,no,yes,yes,yes,no,EVT_2,EVT_2_KLF13
PRDM4,0.084982,no,yes,no,no,no,EVT_2,EVT_2_PRDM4
ZNF777,0.053172,no,yes,no,no,no,EVT_2,EVT_2_ZNF777
ZNF221,0.000882,yes,no,no,no,no,EVT_2,EVT_2_ZNF221
ZBTB24,0.035202,yes,yes,no,no,yes,EVT_2,EVT_2_ZBTB24
CLOCK,0.180459,yes,no,no,yes,yes,EVT_2,EVT_2_CLOCK
ZFP69B,0.003065,no,yes,no,no,no,EVT_2,EVT_2_ZFP69B
ZNF512,0.072285,no,yes,no,no,no,EVT_2,EVT_2_ZNF512
ZNF678,0.107157,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF678
NCOA2,0.720405,yes,no,no,no,no,EVT_2,EVT_2_NCOA2
NR3C2,0.098857,yes,no,no,no,no,EVT_2,EVT_2_NR3C2
ZNF148,0.452151,yes,no,no,yes,yes,EVT_2,EVT_2_ZNF148
ZNF90,0.210883,yes,no,no,no,no,EVT_2,EVT_2_ZNF90
TEAD4,0.023592,yes,no,no,no,no,EVT_2,EVT_2_TEAD4
LRRFIP1,1.140101,yes,yes,no,no,yes,EVT_2,EVT_2_LRRFIP1
ZNF616,0.022211,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF616
ZNF85,0.049747,yes,no,no,no,no,EVT_2,EVT_2_ZNF85
MTF1,0.156976,no,yes,no,no,no,EVT_2,EVT_2_MTF1
TBPL1,0.180247,yes,yes,no,no,yes,EVT_2,EVT_2_TBPL1
IRF2,0.086894,yes,no,no,no,no,EVT_2,EVT_2_IRF2
CDC5L,0.183195,yes,yes,no,no,yes,EVT_2,EVT_2_CDC5L
ZNF586,0.176492,yes,no,no,no,no,EVT_2,EVT_2_ZNF586
FOXM1,0.041905,yes,no,no,no,no,EVT_2,EVT_2_FOXM1
PHTF2,0.108967,yes,yes,no,no,yes,EVT_2,EVT_2_PHTF2
ZKSCAN7,0.002755,no,yes,no,no,no,EVT_2,EVT_2_ZKSCAN7
ETV7,0.007957,yes,yes,no,no,yes,EVT_2,EVT_2_ETV7
ZFP90,0.023444,no,yes,no,no,no,EVT_2,EVT_2_ZFP90
ZNF273,0.044958,yes,no,no,no,no,EVT_2,EVT_2_ZNF273
ARID4A,0.216465,no,yes,no,no,no,EVT_2,EVT_2_ARID4A
ZNF141,0.092945,yes,no,no,no,no,EVT_2,EVT_2_ZNF141
ZNF823,0.066617,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF823
PKNOX1,0.255207,yes,no,no,no,no,EVT_2,EVT_2_PKNOX1
ID3,1.005544,yes,yes,no,no,yes,EVT_2,EVT_2_ID3
THAP4,0.076013,yes,yes,no,no,yes,EVT_2,EVT_2_THAP4
ESRRG,0.218101,yes,no,no,no,no,EVT_2,EVT_2_ESRRG
INSM1,not_enough_cells_expr_limma,no,yes,no,yes,no,EVT_2,EVT_2_INSM1
ZNF589,0.018239,yes,no,no,no,no,EVT_2,EVT_2_ZNF589
ZNF772,0.004395,no,yes,no,no,no,EVT_2,EVT_2_ZNF772
ZNF75D,0.08175,no,yes,no,no,no,EVT_2,EVT_2_ZNF75D
CREM,0.291102,yes,no,no,yes,yes,EVT_2,EVT_2_CREM
ZNF79,0.013404,no,yes,no,no,no,EVT_2,EVT_2_ZNF79
NR1H2,0.144676,yes,no,no,no,no,EVT_2,EVT_2_NR1H2
TSC22D4,0.149923,no,yes,no,no,no,EVT_2,EVT_2_TSC22D4
TCF25,0.916644,yes,no,no,no,no,EVT_2,EVT_2_TCF25
ZNF436,0.012999,no,yes,no,no,no,EVT_2,EVT_2_ZNF436
ZNF18,0.023445,no,yes,no,no,no,EVT_2,EVT_2_ZNF18
ZNF845,0.021708,no,yes,no,no,no,EVT_2,EVT_2_ZNF845
SNAI3,0.002845,no,yes,no,no,no,EVT_2,EVT_2_SNAI3
FOXP4,0.023506,no,yes,no,no,no,EVT_2,EVT_2_FOXP4
DLX2,0.000506,no,yes,no,no,no,EVT_2,EVT_2_DLX2
ZNF32,0.035886,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF32
ZNF624,0.0224,no,yes,no,no,no,EVT_2,EVT_2_ZNF624
ZNF443,0.004632,no,yes,no,no,no,EVT_2,EVT_2_ZNF443
ZNF668,0.040853,no,yes,no,no,no,EVT_2,EVT_2_ZNF668
GMEB1,0.133235,no,yes,no,no,no,EVT_2,EVT_2_GMEB1
ZHX3,0.24113,no,yes,no,no,no,EVT_2,EVT_2_ZHX3
LBX2,0.001707,yes,no,no,no,no,EVT_2,EVT_2_LBX2
ARID5B,0.613406,yes,no,no,no,no,EVT_2,EVT_2_ARID5B
ZNF439,0.237993,yes,no,no,no,no,EVT_2,EVT_2_ZNF439
HOXB6,0.004095,yes,no,no,no,no,EVT_2,EVT_2_HOXB6
THAP2,0.019461,yes,yes,no,no,yes,EVT_2,EVT_2_THAP2
SP3,0.442348,yes,no,no,yes,yes,EVT_2,EVT_2_SP3
ZNF879,0.009107,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF879
AEBP2,0.452743,no,yes,no,no,no,EVT_2,EVT_2_AEBP2
ZFX,0.252907,yes,no,no,no,no,EVT_2,EVT_2_ZFX
BATF3,0.097623,yes,no,no,no,no,EVT_2,EVT_2_BATF3
ZNF235,0.076416,yes,no,no,no,no,EVT_2,EVT_2_ZNF235
RFX3,0.391652,no,yes,no,no,no,EVT_2,EVT_2_RFX3
ZNF665,0.016789,yes,no,no,no,no,EVT_2,EVT_2_ZNF665
MAX,0.231195,yes,no,no,yes,yes,EVT_2,EVT_2_MAX
GATA2,0.578246,yes,no,no,no,no,EVT_2,EVT_2_GATA2
YY2,0.003199,no,yes,no,yes,no,EVT_2,EVT_2_YY2
