,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
CXXC1,0.137831,no,yes,no,no,no,EVT_2,EVT_2_CXXC1
TOX3,0.005081,no,yes,no,no,no,EVT_2,EVT_2_TOX3
KDM2A,0.518741,yes,yes,no,no,yes,EVT_2,EVT_2_KDM2A
SRF,0.146807,yes,no,no,no,no,EVT_2,EVT_2_SRF
TEAD1,2.051134,yes,no,no,no,no,EVT_2,EVT_2_TEAD1
TSHZ3,0.014616,no,yes,no,no,no,EVT_2,EVT_2_TSHZ3
ZNF646,0.021998,no,yes,no,no,no,EVT_2,EVT_2_ZNF646
MYCL,0.074591,yes,yes,no,no,yes,EVT_2,EVT_2_MYCL
SMAD2,0.404152,no,yes,no,no,no,EVT_2,EVT_2_SMAD2
ZNF282,0.054839,no,yes,no,no,no,EVT_2,EVT_2_ZNF282
STAT3,0.542041,yes,yes,no,no,yes,EVT_2,EVT_2_STAT3
KLF16,0.033072,yes,no,no,no,no,EVT_2,EVT_2_KLF16
TBX3,0.113832,yes,no,no,yes,yes,EVT_2,EVT_2_TBX3
HOXA5,0.002933,yes,no,no,no,no,EVT_2,EVT_2_HOXA5
CREBZF,0.168129,yes,yes,no,no,yes,EVT_2,EVT_2_CREBZF
YBX1,0.876862,no,yes,no,no,no,EVT_2,EVT_2_YBX1
NCOR2,0.530144,yes,no,no,no,no,EVT_2,EVT_2_NCOR2
ZNF468,0.055221,yes,no,no,no,no,EVT_2,EVT_2_ZNF468
ZFP41,0.006347,no,yes,no,no,no,EVT_2,EVT_2_ZFP41
ZNF516,0.041322,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF516
ZNF568,0.048057,no,yes,no,no,no,EVT_2,EVT_2_ZNF568
ZHX1,0.031346,yes,no,no,no,no,EVT_2,EVT_2_ZHX1
PAX6,0.002757,no,yes,no,no,no,EVT_2,EVT_2_PAX6
MEOX2,0.010671,no,yes,no,no,no,EVT_2,EVT_2_MEOX2
ZNF787,0.076876,yes,no,no,no,no,EVT_2,EVT_2_ZNF787
RFX1,0.194558,yes,no,no,no,no,EVT_2,EVT_2_RFX1
NPAS2,0.141645,no,yes,no,no,no,EVT_2,EVT_2_NPAS2
ZNF606,0.01912,no,yes,no,no,no,EVT_2,EVT_2_ZNF606
ZNF805,0.017007,no,yes,no,no,no,EVT_2,EVT_2_ZNF805
MYRF,0.003901,no,yes,no,no,no,EVT_2,EVT_2_MYRF
ARID3B,0.247936,yes,yes,no,no,yes,EVT_2,EVT_2_ARID3B
VEZF1,0.097023,no,yes,no,no,no,EVT_2,EVT_2_VEZF1
ZNF358,0.038048,yes,no,no,no,no,EVT_2,EVT_2_ZNF358
SP110,0.216638,no,yes,no,no,no,EVT_2,EVT_2_SP110
SP140,0.015726,no,yes,no,no,no,EVT_2,EVT_2_SP140
VENTX,0.001051,no,yes,no,no,no,EVT_2,EVT_2_VENTX
KLF15,0.001785,no,yes,no,no,no,EVT_2,EVT_2_KLF15
CREB3L4,0.039854,no,yes,no,no,no,EVT_2,EVT_2_CREB3L4
TBX6,0.003895,no,yes,no,yes,no,EVT_2,EVT_2_TBX6
IRX3,0.024802,yes,yes,no,no,yes,EVT_2,EVT_2_IRX3
RORA,0.133496,yes,no,no,no,no,EVT_2,EVT_2_RORA
MEF2D,0.093436,yes,yes,no,no,yes,EVT_2,EVT_2_MEF2D
RARA,0.036118,no,yes,no,no,no,EVT_2,EVT_2_RARA
ZNF493,0.090101,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF493
IRX6,0.002937,no,yes,no,no,no,EVT_2,EVT_2_IRX6
KLF4,0.284685,yes,yes,no,no,yes,EVT_2,EVT_2_KLF4
ZNF460,0.025198,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF460
ZNF528,0.055892,no,yes,no,no,no,EVT_2,EVT_2_ZNF528
MYOD1,0.000591,no,yes,no,no,no,EVT_2,EVT_2_MYOD1
TCF7L1,0.13758,yes,no,no,no,no,EVT_2,EVT_2_TCF7L1
WT1,0.023865,yes,no,no,no,no,EVT_2,EVT_2_WT1
FOXA2,0.000962,no,yes,no,no,no,EVT_2,EVT_2_FOXA2
CREB3L2,1.080408,yes,yes,no,no,yes,EVT_2,EVT_2_CREB3L2
ZNF81,0.099871,no,yes,no,no,no,EVT_2,EVT_2_ZNF81
MNT,0.101445,yes,no,no,no,no,EVT_2,EVT_2_MNT
SFPQ,0.80204,yes,no,no,no,no,EVT_2,EVT_2_SFPQ
KLF6,1.479854,yes,no,no,no,no,EVT_2,EVT_2_KLF6
ZNF366,0.004567,no,yes,no,no,no,EVT_2,EVT_2_ZNF366
SMAD6,0.014255,no,yes,no,no,no,EVT_2,EVT_2_SMAD6
SMARCC1,0.87559,no,yes,no,no,no,EVT_2,EVT_2_SMARCC1
TOX2,0.004679,no,yes,no,no,no,EVT_2,EVT_2_TOX2
ZBTB48,0.05062,no,yes,no,no,no,EVT_2,EVT_2_ZBTB48
TWIST1,0.022753,no,yes,no,no,no,EVT_2,EVT_2_TWIST1
