,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF138,0.083908,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF138
CXXC1,0.157374,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_CXXC1
ZNF7,0.094707,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF7
ZNF646,0.012874,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF646
ZFY,0.014535,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZFY
ZNF33A,0.286958,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF33A
THAP10,0.00175,no,yes,no,no,no,VCT_CCC,VCT_CCC_THAP10
MYCL,0.068018,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_MYCL
ZNF721,0.284931,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF721
SMAD2,0.392561,yes,no,no,no,no,VCT_CCC,VCT_CCC_SMAD2
ZNF883,0.008695,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF883
ZSCAN9,0.030293,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZSCAN9
ZNF282,0.080834,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF282
ZNF559,0.023154,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF559
ZSCAN21,0.052216,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZSCAN21
ZNF594,0.0209,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF594
HMGA1,1.133084,yes,no,no,no,no,VCT_CCC,VCT_CCC_HMGA1
FOXJ3,0.566134,no,yes,no,no,no,VCT_CCC,VCT_CCC_FOXJ3
SPDEF,0.000621,no,yes,no,no,no,VCT_CCC,VCT_CCC_SPDEF
TBX3,0.20789,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_TBX3
TFAP2C,0.394949,yes,no,no,no,no,VCT_CCC,VCT_CCC_TFAP2C
HOXA5,0.001092,no,yes,no,no,no,VCT_CCC,VCT_CCC_HOXA5
ZNF75A,0.094478,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF75A
CREBZF,0.175822,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_CREBZF
ZNF208,0.07844,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF208
NCOR2,0.267558,no,yes,no,no,no,VCT_CCC,VCT_CCC_NCOR2
ZNF525,0.079356,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF525
ZNF22,0.232272,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF22
ZFP41,0.00398,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZFP41
ZNF641,0.010577,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF641
ZNF511,0.202801,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF511
HSF1,0.313838,yes,no,no,no,no,VCT_CCC,VCT_CCC_HSF1
THAP8,0.035233,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_THAP8
ZNF516,0.016958,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF516
ZNF189,0.028516,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF189
HOMEZ,0.03465,no,yes,no,no,no,VCT_CCC,VCT_CCC_HOMEZ
ZHX1,0.036928,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZHX1
ZNF10,0.015545,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF10
PBX1,0.450768,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_PBX1
ZNF44,0.125461,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF44
ETV6,0.301271,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_ETV6
RFX1,0.125396,no,yes,no,no,no,VCT_CCC,VCT_CCC_RFX1
ZNF606,0.01612,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF606
ZNF414,0.083937,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF414
HES5,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_HES5
ARID3B,0.258177,yes,no,no,no,no,VCT_CCC,VCT_CCC_ARID3B
ZNF491,0.007081,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF491
ZNF425,0.009885,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF425
MSX2,0.286967,yes,no,no,no,no,VCT_CCC,VCT_CCC_MSX2
ZFP62,0.040212,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZFP62
ARID5A,0.034411,no,yes,no,no,no,VCT_CCC,VCT_CCC_ARID5A
ZNF254,0.208309,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF254
TBX6,0.005337,no,yes,no,yes,no,VCT_CCC,VCT_CCC_TBX6
ZNF697,0.063966,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF697
ZNF555,0.01229,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF555
ZNF786,0.037703,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF786
ZNF493,0.069058,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF493
ZNF599,0.025751,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF599
ZFP69,0.010856,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZFP69
ZNF790,0.050146,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF790
ZNF613,0.016376,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF613
ZNF2,0.008779,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF2
ZNF81,0.057809,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF81
MNT,0.080565,no,yes,no,no,no,VCT_CCC,VCT_CCC_MNT
KLF13,0.164355,no,yes,no,no,no,VCT_CCC,VCT_CCC_KLF13
ZNF432,0.087151,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF432
ZBTB12,0.000412,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZBTB12
ZNF14,0.039277,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF14
FOXO4,0.407301,yes,no,no,no,no,VCT_CCC,VCT_CCC_FOXO4
