,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
SMAD3,2.202869,no,yes,no,no,no,eEVT,eEVT_SMAD3
ZNF397,0.30627,no,yes,no,no,no,eEVT,eEVT_ZNF397
GFI1,0.0,no,yes,no,no,no,eEVT,eEVT_GFI1
ZNF540,0.101323,no,yes,no,no,no,eEVT,eEVT_ZNF540
HAND1,0.0,no,yes,no,no,no,eEVT,eEVT_HAND1
HIC2,0.747197,no,yes,no,yes,no,eEVT,eEVT_HIC2
ZEB2,0.138383,no,yes,no,no,no,eEVT,eEVT_ZEB2
GLIS3,0.349424,yes,no,no,yes,yes,eEVT,eEVT_GLIS3
RFX3,0.329857,no,yes,no,yes,no,eEVT,eEVT_RFX3
HES2,0.008723,no,yes,no,yes,no,eEVT,eEVT_HES2
FEV,not_enough_cells_expr_limma,no,yes,no,yes,no,eEVT,eEVT_FEV
PATZ1,0.035521,no,yes,no,no,no,eEVT,eEVT_PATZ1
ETS2,0.297383,yes,no,no,yes,yes,eEVT,eEVT_ETS2
STAT3,0.58298,no,yes,no,no,no,eEVT,eEVT_STAT3
E2F1,0.0,no,yes,no,yes,no,eEVT,eEVT_E2F1
THAP11,0.018758,no,yes,no,yes,no,eEVT,eEVT_THAP11
FOXP1,0.3393,yes,no,no,no,no,eEVT,eEVT_FOXP1
ATF2,0.38578,no,yes,no,yes,no,eEVT,eEVT_ATF2
ZNF91,1.114426,no,yes,no,no,no,eEVT,eEVT_ZNF91
E2F8,0.0,no,yes,no,yes,no,eEVT,eEVT_E2F8
FOXO1,0.148055,yes,no,no,no,no,eEVT,eEVT_FOXO1
ZGPAT,0.0,no,yes,no,no,no,eEVT,eEVT_ZGPAT
RERE,1.79384,no,yes,no,no,no,eEVT,eEVT_RERE
ERF,0.024583,no,yes,no,yes,no,eEVT,eEVT_ERF
NFIA,0.153156,no,yes,no,no,no,eEVT,eEVT_NFIA
ZNF649,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF649
ZNF396,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF396
