,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF138,0.122979,no,yes,no,no,no,eEVT,eEVT_ZNF138
CXXC1,0.117025,no,yes,no,no,no,eEVT,eEVT_CXXC1
KDM2A,0.929749,no,yes,no,no,no,eEVT,eEVT_KDM2A
ZNF7,0.159624,no,yes,no,no,no,eEVT,eEVT_ZNF7
ZNF646,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF646
ZFY,0.152449,yes,no,no,no,no,eEVT,eEVT_ZFY
THAP10,0.032125,yes,no,no,no,no,eEVT,eEVT_THAP10
ZNF33A,0.792636,yes,yes,no,no,yes,eEVT,eEVT_ZNF33A
MYCL,0.116897,no,yes,no,no,no,eEVT,eEVT_MYCL
ZNF721,0.479313,no,yes,no,no,no,eEVT,eEVT_ZNF721
ZSCAN9,0.107139,no,yes,no,no,no,eEVT,eEVT_ZSCAN9
ZNF282,0.084666,no,yes,no,no,no,eEVT,eEVT_ZNF282
NKX2-8,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_NKX2-8
ZSCAN21,0.346418,yes,no,no,no,no,eEVT,eEVT_ZSCAN21
ZNF594,0.02174,no,yes,no,no,no,eEVT,eEVT_ZNF594
KLF16,0.031618,no,yes,no,no,no,eEVT,eEVT_KLF16
FOXJ3,2.441269,yes,yes,no,no,yes,eEVT,eEVT_FOXJ3
TADA2A,0.252003,no,yes,no,no,no,eEVT,eEVT_TADA2A
ZNF75A,0.127418,no,yes,no,no,no,eEVT,eEVT_ZNF75A
CREBZF,0.24847,no,yes,no,no,no,eEVT,eEVT_CREBZF
ZNF629,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF629
ZNF562,1.325516,yes,yes,no,no,yes,eEVT,eEVT_ZNF562
ZBTB38,0.537841,no,yes,no,no,no,eEVT,eEVT_ZBTB38
NCOR2,1.351729,yes,no,no,no,no,eEVT,eEVT_NCOR2
ZNF525,0.061797,no,yes,no,no,no,eEVT,eEVT_ZNF525
ZFP41,0.0,no,yes,no,no,no,eEVT,eEVT_ZFP41
ZNF468,0.086771,no,yes,no,no,no,eEVT,eEVT_ZNF468
ZNF641,0.095406,yes,yes,no,no,yes,eEVT,eEVT_ZNF641
ZNF511,0.026584,no,yes,no,no,no,eEVT,eEVT_ZNF511
THAP8,0.05594,no,yes,no,no,no,eEVT,eEVT_THAP8
ZNF430,0.188807,no,yes,no,no,no,eEVT,eEVT_ZNF430
ZNF267,0.0822,no,yes,no,no,no,eEVT,eEVT_ZNF267
AHR,0.195529,yes,no,no,no,no,eEVT,eEVT_AHR
HOMEZ,0.010035,no,yes,no,no,no,eEVT,eEVT_HOMEZ
ZNF829,0.054693,no,yes,no,no,no,eEVT,eEVT_ZNF829
ZNF10,0.070195,no,yes,no,no,no,eEVT,eEVT_ZNF10
PAX6,0.058813,yes,no,no,no,no,eEVT,eEVT_PAX6
PBX1,0.295058,no,yes,no,no,no,eEVT,eEVT_PBX1
ZNF44,0.18834,no,yes,no,no,no,eEVT,eEVT_ZNF44
ZNF787,0.138659,no,yes,no,no,no,eEVT,eEVT_ZNF787
ZNF805,0.03554,no,yes,no,no,no,eEVT,eEVT_ZNF805
HES5,0.218713,yes,no,no,no,no,eEVT,eEVT_HES5
ZNF414,0.119605,no,yes,no,no,no,eEVT,eEVT_ZNF414
ARID3B,0.741599,yes,yes,no,no,yes,eEVT,eEVT_ARID3B
ZNF491,0.140642,yes,no,no,no,no,eEVT,eEVT_ZNF491
VEZF1,0.109073,no,yes,no,no,no,eEVT,eEVT_VEZF1
ZNF358,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF358
ZNF425,0.124737,yes,no,no,no,no,eEVT,eEVT_ZNF425
NFKBIE,0.0,no,yes,no,no,no,eEVT,eEVT_NFKBIE
SP110,0.360867,no,yes,no,no,no,eEVT,eEVT_SP110
ZFPM1,0.035521,no,yes,no,no,no,eEVT,eEVT_ZFPM1
MSX2,0.008723,no,yes,no,no,no,eEVT,eEVT_MSX2
ZFP62,0.049693,no,yes,no,no,no,eEVT,eEVT_ZFP62
VENTX,0.0,no,yes,no,no,no,eEVT,eEVT_VENTX
ZNF254,0.833426,no,yes,no,no,no,eEVT,eEVT_ZNF254
TBX6,0.0,no,yes,no,no,no,eEVT,eEVT_TBX6
IRX3,0.094328,no,yes,no,no,no,eEVT,eEVT_IRX3
MEF2D,0.325915,yes,yes,no,yes,yes,eEVT,eEVT_MEF2D
FOXD1,0.046714,yes,no,no,no,no,eEVT,eEVT_FOXD1
