,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF174,0.005566,no,yes,no,no,no,iEVT,iEVT_ZNF174
NFIB,0.066224,yes,no,no,no,no,iEVT,iEVT_NFIB
ZNF397,0.1724,no,yes,no,no,no,iEVT,iEVT_ZNF397
POU1F1,not_enough_cells_expr_limma,no,yes,no,no,no,iEVT,iEVT_POU1F1
BATF3,0.04794,yes,no,no,no,no,iEVT,iEVT_BATF3
ZNF235,0.075729,yes,no,no,no,no,iEVT,iEVT_ZNF235
MSX1,0.006587,no,yes,no,no,no,iEVT,iEVT_MSX1
TOX,0.028687,yes,yes,no,no,yes,iEVT,iEVT_TOX
HIC2,0.37237,yes,no,no,no,no,iEVT,iEVT_HIC2
ZNF540,0.037956,no,yes,no,no,no,iEVT,iEVT_ZNF540
SRF,0.090389,yes,yes,no,no,yes,iEVT,iEVT_SRF
NR4A1,0.066934,yes,no,no,no,no,iEVT,iEVT_NR4A1
DLX3,0.110478,yes,no,no,no,no,iEVT,iEVT_DLX3
HAND1,0.00029,no,yes,no,no,no,iEVT,iEVT_HAND1
ZSCAN1,0.000883,no,yes,no,no,no,iEVT,iEVT_ZSCAN1
RFX3,0.609191,no,yes,no,no,no,iEVT,iEVT_RFX3
BHLHE40,0.1383,yes,yes,no,no,yes,iEVT,iEVT_BHLHE40
ZC3H8,0.09497,no,yes,no,no,no,iEVT,iEVT_ZC3H8
FEV,not_enough_cells_expr_limma,no,yes,yes,no,no,iEVT,iEVT_FEV
ZNF677,0.05165,yes,no,no,no,no,iEVT,iEVT_ZNF677
PATZ1,0.028538,no,yes,no,no,no,iEVT,iEVT_PATZ1
NKX2-2,not_enough_cells_expr_limma,no,yes,no,no,no,iEVT,iEVT_NKX2-2
EBF1,0.066483,yes,no,no,no,no,iEVT,iEVT_EBF1
NR2F2,0.11551,yes,no,no,no,no,iEVT,iEVT_NR2F2
ZBTB4,0.037548,no,yes,no,no,no,iEVT,iEVT_ZBTB4
ETS2,0.762189,yes,yes,no,no,yes,iEVT,iEVT_ETS2
E2F1,0.004292,yes,yes,no,no,yes,iEVT,iEVT_E2F1
THAP11,0.023882,no,yes,no,no,no,iEVT,iEVT_THAP11
HMGA1,0.109313,yes,yes,no,no,yes,iEVT,iEVT_HMGA1
E2F7,0.005725,yes,no,no,no,no,iEVT,iEVT_E2F7
TBX3,0.105173,yes,no,no,no,no,iEVT,iEVT_TBX3
TFAP2C,0.227328,no,yes,no,no,no,iEVT,iEVT_TFAP2C
EBF2,0.004074,no,yes,no,no,no,iEVT,iEVT_EBF2
ESRRB,0.004037,yes,no,no,no,no,iEVT,iEVT_ESRRB
ZNF620,0.003023,yes,no,no,no,no,iEVT,iEVT_ZNF620
ZNF311,0.002063,no,yes,no,no,no,iEVT,iEVT_ZNF311
