,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZBTB7B,0.067584,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7B
RREB1,0.498875,yes,no,no,no,no,EVT_1,EVT_1_RREB1
ID3,1.407995,yes,no,no,no,no,EVT_1,EVT_1_ID3
NR6A1,0.781251,yes,no,no,no,no,EVT_1,EVT_1_NR6A1
ZNF300,0.019872,no,yes,no,no,no,EVT_1,EVT_1_ZNF300
DNAJC1,0.567249,yes,yes,no,no,yes,EVT_1,EVT_1_DNAJC1
DLX4,0.285579,yes,no,no,no,no,EVT_1,EVT_1_DLX4
NFYB,0.363032,yes,no,no,no,no,EVT_1,EVT_1_NFYB
PAX6,0.003242,no,yes,no,no,no,EVT_1,EVT_1_PAX6
ARID5A,0.036754,no,yes,no,no,no,EVT_1,EVT_1_ARID5A
TOX2,0.002371,no,yes,no,no,no,EVT_1,EVT_1_TOX2
ZNF562,0.196878,yes,no,no,no,no,EVT_1,EVT_1_ZNF562
ARNTL2,0.042484,no,yes,no,no,no,EVT_1,EVT_1_ARNTL2
RFX2,0.138207,yes,no,no,no,no,EVT_1,EVT_1_RFX2
ZBTB7A,0.074238,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7A
MXD1,0.042843,no,yes,no,no,no,EVT_1,EVT_1_MXD1
ZNF263,0.048639,no,yes,no,no,no,EVT_1,EVT_1_ZNF263
DMRTB1,0.0,no,yes,no,no,no,EVT_1,EVT_1_DMRTB1
FOXN3,0.400632,no,yes,no,no,no,EVT_1,EVT_1_FOXN3
ZFP64,0.092292,yes,no,no,no,no,EVT_1,EVT_1_ZFP64
KDM5B,0.292216,yes,no,no,no,no,EVT_1,EVT_1_KDM5B
IKZF4,0.01891,no,yes,no,no,no,EVT_1,EVT_1_IKZF4
IRF3,0.403224,yes,no,no,no,no,EVT_1,EVT_1_IRF3
MLX,0.196988,yes,no,no,no,no,EVT_1,EVT_1_MLX
ZBTB1,0.158445,yes,yes,no,no,yes,EVT_1,EVT_1_ZBTB1
HOXA6,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_1,EVT_1_HOXA6
