,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF653,0.004397,no,yes,no,no,no,EVT_1,EVT_1_ZNF653
KLF13,0.202324,no,yes,no,no,no,EVT_1,EVT_1_KLF13
PPARG,1.256679,yes,no,no,no,no,EVT_1,EVT_1_PPARG
SP140,0.006026,no,yes,no,no,no,EVT_1,EVT_1_SP140
ZNF93,0.149169,no,yes,no,no,no,EVT_1,EVT_1_ZNF93
TEAD1,1.053341,yes,no,no,no,no,EVT_1,EVT_1_TEAD1
ZBTB1,0.158445,no,yes,no,no,no,EVT_1,EVT_1_ZBTB1
SP110,0.216516,yes,no,no,no,no,EVT_1,EVT_1_SP110
HES4,0.14875,no,yes,no,no,no,EVT_1,EVT_1_HES4
XBP1,0.90037,yes,no,no,no,no,EVT_1,EVT_1_XBP1
SMARCE1,0.092984,no,yes,no,no,no,EVT_1,EVT_1_SMARCE1
TCF25,1.077977,yes,yes,no,no,yes,EVT_1,EVT_1_TCF25
EPAS1,1.313567,yes,no,no,no,no,EVT_1,EVT_1_EPAS1
ZNF202,0.01201,no,yes,no,no,no,EVT_1,EVT_1_ZNF202
FOXP1,0.270798,no,yes,no,no,no,EVT_1,EVT_1_FOXP1
HDX,0.001176,no,yes,no,no,no,EVT_1,EVT_1_HDX
SPIC,0.000356,no,yes,no,no,no,EVT_1,EVT_1_SPIC
BHLHE41,0.010773,no,yes,no,no,no,EVT_1,EVT_1_BHLHE41
FIZ1,0.015816,no,yes,no,no,no,EVT_1,EVT_1_FIZ1
GATAD2A,0.397392,no,yes,no,no,no,EVT_1,EVT_1_GATAD2A
NCOR2,0.337865,yes,no,no,no,no,EVT_1,EVT_1_NCOR2
ZNF263,0.048639,no,yes,no,no,no,EVT_1,EVT_1_ZNF263
CUX1,0.982738,yes,no,no,no,no,EVT_1,EVT_1_CUX1
ATF6,0.303584,no,yes,no,no,no,EVT_1,EVT_1_ATF6
LRRFIP1,1.182977,yes,no,no,no,no,EVT_1,EVT_1_LRRFIP1
NR3C1,0.289014,no,yes,no,no,no,EVT_1,EVT_1_NR3C1
PRRX1,0.006803,no,yes,no,no,no,EVT_1,EVT_1_PRRX1
NR6A1,0.781251,yes,no,no,no,no,EVT_1,EVT_1_NR6A1
ZNF540,0.017511,no,yes,no,no,no,EVT_1,EVT_1_ZNF540
TCF15,0.000433,no,yes,no,no,no,EVT_1,EVT_1_TCF15
TSC22D3,0.432815,yes,no,no,no,no,EVT_1,EVT_1_TSC22D3
SMARCA5,0.303824,no,yes,no,no,no,EVT_1,EVT_1_SMARCA5
