,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
BCL6B,0.000535,no,yes,no,no,no,EVT_2,EVT_2_BCL6B
IRX2,0.153623,yes,yes,no,no,yes,EVT_2,EVT_2_IRX2
SALL4,0.000254,no,yes,no,no,no,EVT_2,EVT_2_SALL4
PRRX1,0.009391,no,yes,no,no,no,EVT_2,EVT_2_PRRX1
DNMT3A,0.135658,yes,no,no,no,no,EVT_2,EVT_2_DNMT3A
ATF4,0.685859,yes,yes,no,no,yes,EVT_2,EVT_2_ATF4
ZNF133,0.049816,no,yes,no,no,no,EVT_2,EVT_2_ZNF133
ESR1,0.051141,no,yes,no,no,no,EVT_2,EVT_2_ESR1
SALL2,0.000228,no,yes,no,no,no,EVT_2,EVT_2_SALL2
ZNF174,0.0068,no,yes,no,no,no,EVT_2,EVT_2_ZNF174
MGA,0.342543,no,yes,no,no,no,EVT_2,EVT_2_MGA
CREBZF,0.168129,yes,yes,no,no,yes,EVT_2,EVT_2_CREBZF
ZNF514,0.022585,no,yes,no,no,no,EVT_2,EVT_2_ZNF514
ZNF496,0.078234,no,yes,no,no,no,EVT_2,EVT_2_ZNF496
ZNF275,0.031685,no,yes,no,no,no,EVT_2,EVT_2_ZNF275
SHOX2,0.015712,yes,no,no,no,no,EVT_2,EVT_2_SHOX2
MYRF,0.003901,no,yes,no,no,no,EVT_2,EVT_2_MYRF
SOX11,0.000153,no,yes,no,no,no,EVT_2,EVT_2_SOX11
ZNF605,0.023295,yes,no,no,no,no,EVT_2,EVT_2_ZNF605
CREB3L3,0.000504,no,yes,no,no,no,EVT_2,EVT_2_CREB3L3
SMAD6,0.014255,no,yes,no,no,no,EVT_2,EVT_2_SMAD6
SOX13,0.061822,no,yes,no,no,no,EVT_2,EVT_2_SOX13
ZNF451,0.555838,yes,no,no,no,no,EVT_2,EVT_2_ZNF451
ZNF516,0.041322,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF516
ZNF335,0.115878,no,yes,no,no,no,EVT_2,EVT_2_ZNF335
ZNF621,0.072337,no,yes,no,no,no,EVT_2,EVT_2_ZNF621
NONO,0.374538,no,yes,no,no,no,EVT_2,EVT_2_NONO
ZNF281,0.17142,yes,no,no,no,no,EVT_2,EVT_2_ZNF281
MEF2C,0.069899,yes,no,no,no,no,EVT_2,EVT_2_MEF2C
ZNF224,0.088175,yes,no,no,no,no,EVT_2,EVT_2_ZNF224
ZKSCAN1,0.219658,yes,yes,no,no,yes,EVT_2,EVT_2_ZKSCAN1
SP5,0.001599,no,yes,no,no,no,EVT_2,EVT_2_SP5
MYOD1,0.000591,no,yes,no,no,no,EVT_2,EVT_2_MYOD1
ZNF699,0.012987,no,yes,no,no,no,EVT_2,EVT_2_ZNF699
ATF2,0.209477,no,yes,no,no,no,EVT_2,EVT_2_ATF2
HLX,0.007847,no,yes,no,no,no,EVT_2,EVT_2_HLX
MYF6,0.0,no,yes,no,no,no,EVT_2,EVT_2_MYF6
ARID1B,0.785726,yes,no,no,no,no,EVT_2,EVT_2_ARID1B
ZBTB48,0.05062,no,yes,no,no,no,EVT_2,EVT_2_ZBTB48
CTCFL,0.000202,no,yes,no,no,no,EVT_2,EVT_2_CTCFL
VEZF1,0.097023,no,yes,no,no,no,EVT_2,EVT_2_VEZF1
RBAK,0.017946,yes,no,no,no,no,EVT_2,EVT_2_RBAK
ZNF606,0.01912,no,yes,no,no,no,EVT_2,EVT_2_ZNF606
HOXB2,0.051186,no,yes,no,no,no,EVT_2,EVT_2_HOXB2
SP6,0.00431,no,yes,no,no,no,EVT_2,EVT_2_SP6
ZNF597,0.02472,yes,no,no,no,no,EVT_2,EVT_2_ZNF597
ZFHX3,0.558505,no,yes,no,no,no,EVT_2,EVT_2_ZFHX3
TFAP2A,0.803344,no,yes,no,no,no,EVT_2,EVT_2_TFAP2A
FOXK2,0.361767,no,yes,no,no,no,EVT_2,EVT_2_FOXK2
ZNF81,0.099871,no,yes,no,no,no,EVT_2,EVT_2_ZNF81
ZNF528,0.055892,no,yes,no,no,no,EVT_2,EVT_2_ZNF528
BNC1,0.002214,yes,yes,no,no,yes,EVT_2,EVT_2_BNC1
NEUROD1,0.0,no,yes,no,no,no,EVT_2,EVT_2_NEUROD1
FOS,2.181638,yes,no,no,no,no,EVT_2,EVT_2_FOS
ZNF71,0.021986,no,yes,no,no,no,EVT_2,EVT_2_ZNF71
ELF1,0.749878,no,yes,no,no,no,EVT_2,EVT_2_ELF1
ZNF468,0.055221,yes,no,no,no,no,EVT_2,EVT_2_ZNF468
ZNF551,0.015548,yes,no,no,no,no,EVT_2,EVT_2_ZNF551
HEY2,0.000482,no,yes,no,no,no,EVT_2,EVT_2_HEY2
ZNF556,0.007547,no,yes,no,no,no,EVT_2,EVT_2_ZNF556
TP73,0.00754,no,yes,no,no,no,EVT_2,EVT_2_TP73
ZNF589,0.018239,no,yes,no,no,no,EVT_2,EVT_2_ZNF589
HAND2,0.039951,yes,yes,no,no,yes,EVT_2,EVT_2_HAND2
THAP11,0.034634,no,yes,no,no,no,EVT_2,EVT_2_THAP11
KLF15,0.001785,no,yes,no,no,no,EVT_2,EVT_2_KLF15
KDM2A,0.518741,yes,yes,no,no,yes,EVT_2,EVT_2_KDM2A
HOXC11,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_HOXC11
ZNF276,0.076888,no,yes,no,no,no,EVT_2,EVT_2_ZNF276
ZNF518A,0.52128,yes,no,no,no,no,EVT_2,EVT_2_ZNF518A
MYCL,0.074591,yes,yes,no,no,yes,EVT_2,EVT_2_MYCL
ZGLP1,0.006235,no,yes,no,no,no,EVT_2,EVT_2_ZGLP1
CEBPB,0.856005,yes,no,no,no,no,EVT_2,EVT_2_CEBPB
CREB1,0.22689,no,yes,no,no,no,EVT_2,EVT_2_CREB1
ZBTB32,0.002303,no,yes,no,no,no,EVT_2,EVT_2_ZBTB32
TAF1,0.258776,no,yes,no,no,no,EVT_2,EVT_2_TAF1
ZBTB46,0.099419,no,yes,no,no,no,EVT_2,EVT_2_ZBTB46
ZNF710,0.087512,no,yes,no,no,no,EVT_2,EVT_2_ZNF710
RFX4,0.003631,no,yes,no,no,no,EVT_2,EVT_2_RFX4
EBF4,0.006107,no,yes,no,no,no,EVT_2,EVT_2_EBF4
ZNF649,0.023188,no,yes,no,no,no,EVT_2,EVT_2_ZNF649
MYNN,0.064266,no,yes,no,no,no,EVT_2,EVT_2_MYNN
ZNF618,0.006184,no,yes,no,no,no,EVT_2,EVT_2_ZNF618
TFEB,0.010968,no,yes,no,no,no,EVT_2,EVT_2_TFEB
TFAP4,0.026498,no,yes,no,no,no,EVT_2,EVT_2_TFAP4
RXRA,0.30116,yes,no,no,no,no,EVT_2,EVT_2_RXRA
ZNF493,0.090101,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF493
ASCL2,0.913468,no,yes,no,no,no,EVT_2,EVT_2_ASCL2
NFKB2,0.108079,yes,no,no,no,no,EVT_2,EVT_2_NFKB2
IRX3,0.024802,yes,yes,no,no,yes,EVT_2,EVT_2_IRX3
ZNF24,0.162727,yes,no,no,no,no,EVT_2,EVT_2_ZNF24
DMRTC2,0.0,no,yes,no,no,no,EVT_2,EVT_2_DMRTC2
PRDM8,0.006014,no,yes,no,no,no,EVT_2,EVT_2_PRDM8
MEF2B,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_MEF2B
ZNF202,0.020996,no,yes,no,no,no,EVT_2,EVT_2_ZNF202
ZNF410,0.008492,yes,no,no,no,no,EVT_2,EVT_2_ZNF410
ZBTB18,0.022269,yes,no,no,no,no,EVT_2,EVT_2_ZBTB18
RUNX2,0.033964,no,yes,yes,no,no,EVT_2,EVT_2_RUNX2
MXD4,0.241568,yes,yes,no,no,yes,EVT_2,EVT_2_MXD4
PURB,0.114176,yes,no,no,no,no,EVT_2,EVT_2_PURB
ZNF436,0.012999,yes,no,no,no,no,EVT_2,EVT_2_ZNF436
