,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TFE3,0.059975,no,yes,no,no,no,EVT_2,EVT_2_TFE3
IRF1,0.248865,yes,no,no,no,no,EVT_2,EVT_2_IRF1
SOX13,0.061822,no,yes,no,no,no,EVT_2,EVT_2_SOX13
DMTF1,0.25893,no,yes,no,no,no,EVT_2,EVT_2_DMTF1
ZNF516,0.041322,no,yes,no,no,no,EVT_2,EVT_2_ZNF516
LHX6,0.000536,no,yes,no,no,no,EVT_2,EVT_2_LHX6
HOXB7,0.030074,no,yes,no,no,no,EVT_2,EVT_2_HOXB7
NHLH1,0.003851,no,yes,no,no,no,EVT_2,EVT_2_NHLH1
ATOH1,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_ATOH1
MAFK,0.237107,yes,yes,no,no,yes,EVT_2,EVT_2_MAFK
ZNF202,0.020996,no,yes,no,no,no,EVT_2,EVT_2_ZNF202
LYL1,0.004525,no,yes,no,no,no,EVT_2,EVT_2_LYL1
CSRNP1,0.190246,no,yes,no,no,no,EVT_2,EVT_2_CSRNP1
TBX4,0.000548,no,yes,no,no,no,EVT_2,EVT_2_TBX4
MYCL,0.074591,no,yes,no,no,no,EVT_2,EVT_2_MYCL
TOX3,0.005081,no,yes,no,no,no,EVT_2,EVT_2_TOX3
ZNF584,0.010229,no,yes,no,no,no,EVT_2,EVT_2_ZNF584
BNC1,0.002214,no,yes,no,no,no,EVT_2,EVT_2_BNC1
ZBTB46,0.099419,no,yes,no,no,no,EVT_2,EVT_2_ZBTB46
ZNF384,0.113586,no,yes,no,yes,no,EVT_2,EVT_2_ZNF384
THAP1,0.037225,no,yes,no,no,no,EVT_2,EVT_2_THAP1
YBX1,0.876862,no,yes,no,no,no,EVT_2,EVT_2_YBX1
MLXIP,0.0824,no,yes,no,no,no,EVT_2,EVT_2_MLXIP
PLAGL1,0.2783,no,yes,no,no,no,EVT_2,EVT_2_PLAGL1
ZNF528,0.055892,no,yes,no,no,no,EVT_2,EVT_2_ZNF528
TSC22D3,0.439054,yes,yes,no,no,yes,EVT_2,EVT_2_TSC22D3
SMARCA5,0.336336,no,yes,no,no,no,EVT_2,EVT_2_SMARCA5
ZNF687,0.0375,no,yes,no,no,no,EVT_2,EVT_2_ZNF687
KLF7,0.043978,no,yes,no,no,no,EVT_2,EVT_2_KLF7
ZNF296,0.005697,no,yes,no,no,no,EVT_2,EVT_2_ZNF296
ZGLP1,0.006235,no,yes,no,no,no,EVT_2,EVT_2_ZGLP1
IRF6,0.070122,no,yes,no,no,no,EVT_2,EVT_2_IRF6
ZNF792,0.002637,no,yes,no,no,no,EVT_2,EVT_2_ZNF792
SMARCC2,0.17394,no,yes,no,no,no,EVT_2,EVT_2_SMARCC2
MAFF,0.268511,yes,no,no,no,no,EVT_2,EVT_2_MAFF
ZNF496,0.078234,no,yes,no,no,no,EVT_2,EVT_2_ZNF496
SP6,0.00431,no,yes,no,no,no,EVT_2,EVT_2_SP6
CTCFL,0.000202,no,yes,no,no,no,EVT_2,EVT_2_CTCFL
ZBTB34,0.04644,no,yes,no,no,no,EVT_2,EVT_2_ZBTB34
ADNP2,0.12903,no,yes,no,no,no,EVT_2,EVT_2_ADNP2
SOX11,0.000153,no,yes,no,no,no,EVT_2,EVT_2_SOX11
HOXB2,0.051186,no,yes,no,no,no,EVT_2,EVT_2_HOXB2
ZBTB32,0.002303,no,yes,no,no,no,EVT_2,EVT_2_ZBTB32
EBF1,0.076645,no,yes,no,no,no,EVT_2,EVT_2_EBF1
ARID3B,0.247936,no,yes,no,no,no,EVT_2,EVT_2_ARID3B
ZBTB43,0.136064,no,yes,no,no,no,EVT_2,EVT_2_ZBTB43
KAT8,0.078772,no,yes,no,no,no,EVT_2,EVT_2_KAT8
ATF7,0.057661,no,yes,no,yes,no,EVT_2,EVT_2_ATF7
SOX8,0.002085,no,yes,no,no,no,EVT_2,EVT_2_SOX8
ZBTB48,0.05062,no,yes,no,no,no,EVT_2,EVT_2_ZBTB48
NR1H2,0.144676,no,yes,no,no,no,EVT_2,EVT_2_NR1H2
ZNF791,0.176908,no,yes,no,no,no,EVT_2,EVT_2_ZNF791
ASCL2,0.913468,no,yes,no,no,no,EVT_2,EVT_2_ASCL2
ZIC3,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_ZIC3
ZFP92,5.4e-05,no,yes,no,no,no,EVT_2,EVT_2_ZFP92
EBF2,0.002809,no,yes,no,no,no,EVT_2,EVT_2_EBF2
ZFHX4,0.005583,no,yes,no,no,no,EVT_2,EVT_2_ZFHX4
ZNF71,0.021986,no,yes,no,no,no,EVT_2,EVT_2_ZNF71
CLOCK,0.180459,no,yes,no,no,no,EVT_2,EVT_2_CLOCK
ZNF497,0.00819,no,yes,no,no,no,EVT_2,EVT_2_ZNF497
GRHL2,0.651124,no,yes,no,yes,no,EVT_2,EVT_2_GRHL2
KLF15,0.001785,no,yes,no,no,no,EVT_2,EVT_2_KLF15
BARX2,0.010631,no,yes,no,no,no,EVT_2,EVT_2_BARX2
JUN,0.236815,yes,yes,no,no,yes,EVT_2,EVT_2_JUN
MEF2A,0.213993,no,yes,no,no,no,EVT_2,EVT_2_MEF2A
RFX2,0.365962,yes,no,no,no,no,EVT_2,EVT_2_RFX2
NPAS2,0.141645,no,yes,no,no,no,EVT_2,EVT_2_NPAS2
USF2,0.136334,no,yes,no,no,no,EVT_2,EVT_2_USF2
GATA6,0.06402,no,yes,no,no,no,EVT_2,EVT_2_GATA6
ZNF417,0.004197,no,yes,no,no,no,EVT_2,EVT_2_ZNF417
TLX1,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_TLX1
ZNF174,0.0068,no,yes,no,no,no,EVT_2,EVT_2_ZNF174
JDP2,0.061221,no,yes,no,no,no,EVT_2,EVT_2_JDP2
