,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
DNAJC1,0.976532,no,yes,no,no,no,GC,GC_DNAJC1
FOXF1,0.0,no,yes,no,no,no,GC,GC_FOXF1
HOXD9,0.102218,yes,no,no,no,no,GC,GC_HOXD9
ZSCAN16,0.0,no,yes,no,no,no,GC,GC_ZSCAN16
ZNF627,0.036521,no,yes,no,no,no,GC,GC_ZNF627
IRF5,0.0,no,yes,no,no,no,GC,GC_IRF5
STAT5A,0.215745,yes,no,no,no,no,GC,GC_STAT5A
ZBTB42,0.0,no,yes,no,no,no,GC,GC_ZBTB42
ZNF444,0.072357,no,yes,no,no,no,GC,GC_ZNF444
ZNF524,0.071027,no,yes,no,no,no,GC,GC_ZNF524
ARNTL2,0.114077,no,yes,no,no,no,GC,GC_ARNTL2
ZNF282,0.176294,no,yes,no,no,no,GC,GC_ZNF282
ZNF263,0.183789,no,yes,no,no,no,GC,GC_ZNF263
THAP8,0.0,no,yes,no,no,no,GC,GC_THAP8
ZNF689,0.0,no,yes,no,no,no,GC,GC_ZNF689
ZFP64,0.036521,no,yes,no,no,no,GC,GC_ZFP64
ZNF212,0.0,no,yes,no,no,no,GC,GC_ZNF212
ZNF362,0.0,no,yes,no,no,no,GC,GC_ZNF362
POU6F1,0.0,no,yes,no,no,no,GC,GC_POU6F1
BHLHA15,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_BHLHA15
ETV1,0.102218,yes,no,no,no,no,GC,GC_ETV1
IRX4,0.0,no,yes,no,no,no,GC,GC_IRX4
MLX,0.0,no,yes,no,no,no,GC,GC_MLX
KAT8,0.063615,no,yes,no,no,no,GC,GC_KAT8
ZBTB1,0.174047,no,yes,no,no,no,GC,GC_ZBTB1
ZNF335,0.074076,no,yes,no,no,no,GC,GC_ZNF335
GLI4,0.0,no,yes,no,no,no,GC,GC_GLI4
JDP2,0.04864,no,yes,no,yes,no,GC,GC_JDP2
