,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TFE3,0.044371,no,yes,no,no,no,GC,GC_TFE3
GLI4,0.0,no,yes,no,no,no,GC,GC_GLI4
TCF21,0.0,no,yes,no,no,no,GC,GC_TCF21
SP140,0.0,no,yes,no,no,no,GC,GC_SP140
ZNF580,0.0,no,yes,no,no,no,GC,GC_ZNF580
ZBTB1,0.174047,no,yes,no,no,no,GC,GC_ZBTB1
TOX,0.0,no,yes,no,no,no,GC,GC_TOX
ZNF324,0.162167,yes,no,no,no,no,GC,GC_ZNF324
ZNF213,0.108256,no,yes,no,no,no,GC,GC_ZNF213
ZNF444,0.072357,no,yes,no,no,no,GC,GC_ZNF444
SOX18,0.0,no,yes,no,no,no,GC,GC_SOX18
ZNF521,0.0,no,yes,no,no,no,GC,GC_ZNF521
SCX,0.098323,no,yes,no,no,no,GC,GC_SCX
ZNF547,0.0,no,yes,no,no,no,GC,GC_ZNF547
TBX20,0.328575,yes,no,no,no,no,GC,GC_TBX20
GLIS2,0.0,no,yes,no,no,no,GC,GC_GLIS2
IRF5,0.0,no,yes,no,no,no,GC,GC_IRF5
ZNF629,0.0,no,yes,no,no,no,GC,GC_ZNF629
BHLHA15,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_BHLHA15
HIF1A,0.251889,no,yes,no,no,no,GC,GC_HIF1A
CSRNP1,0.053951,no,yes,no,no,no,GC,GC_CSRNP1
BCL11A,0.126062,yes,no,no,no,no,GC,GC_BCL11A
NRL,0.0,no,yes,no,no,no,GC,GC_NRL
ZNF784,0.0,no,yes,no,no,no,GC,GC_ZNF784
ZNF775,0.0,no,yes,no,no,no,GC,GC_ZNF775
ZBTB17,0.072357,no,yes,no,no,no,GC,GC_ZBTB17
NCOR2,0.786951,no,yes,no,no,no,GC,GC_NCOR2
ZNF263,0.183789,no,yes,no,no,no,GC,GC_ZNF263
ZBTB46,0.116728,no,yes,no,no,no,GC,GC_ZBTB46
E4F1,0.126308,no,yes,no,no,no,GC,GC_E4F1
ATF6,0.524659,no,yes,no,no,no,GC,GC_ATF6
LRRFIP1,1.233846,no,yes,no,no,no,GC,GC_LRRFIP1
ZNF511,0.0,no,yes,no,no,no,GC,GC_ZNF511
WIZ,0.0,no,yes,no,no,no,GC,GC_WIZ
MLX,0.0,no,yes,no,no,no,GC,GC_MLX
PRRX1,0.0,no,yes,no,no,no,GC,GC_PRRX1
LYAR,0.112525,no,yes,no,no,no,GC,GC_LYAR
ZNF524,0.071027,no,yes,no,no,no,GC,GC_ZNF524
THAP4,0.287673,no,yes,no,no,no,GC,GC_THAP4
ZNF787,0.100643,no,yes,no,no,no,GC,GC_ZNF787
PLAGL1,0.519857,no,yes,no,no,no,GC,GC_PLAGL1
SMARCA5,0.311824,no,yes,no,no,no,GC,GC_SMARCA5
OSR2,0.04864,no,yes,no,no,no,GC,GC_OSR2
ELF4,0.294447,no,yes,no,no,no,GC,GC_ELF4
ZNF296,0.0,no,yes,no,no,no,GC,GC_ZNF296
ZGLP1,0.0,no,yes,no,no,no,GC,GC_ZGLP1
HLX,0.0,no,yes,no,no,no,GC,GC_HLX
RCOR1,1.39628,no,yes,no,no,no,GC,GC_RCOR1
GTF3A,0.0,no,yes,no,no,no,GC,GC_GTF3A
ZNF480,0.064122,no,yes,no,no,no,GC,GC_ZNF480
ZNF408,0.0,no,yes,no,no,no,GC,GC_ZNF408
ZNF28,0.071284,no,yes,no,no,no,GC,GC_ZNF28
NFKBIB,0.0,no,yes,no,no,no,GC,GC_NFKBIB
E2F8,0.0,no,yes,no,no,no,GC,GC_E2F8
EGR3,0.0,no,yes,no,no,no,GC,GC_EGR3
THAP3,0.074076,no,yes,no,no,no,GC,GC_THAP3
BATF2,0.07348,no,yes,no,no,no,GC,GC_BATF2
ZNF341,0.0,no,yes,no,no,no,GC,GC_ZNF341
PURG,0.0,no,yes,no,no,no,GC,GC_PURG
ZNF35,0.0,no,yes,no,no,no,GC,GC_ZNF35
ATF5,0.072357,no,yes,no,no,no,GC,GC_ATF5
ZNF771,0.0,no,yes,no,no,no,GC,GC_ZNF771
ZFP64,0.036521,no,yes,no,no,no,GC,GC_ZFP64
TBPL1,0.153688,no,yes,no,no,no,GC,GC_TBPL1
THAP7,0.190747,yes,yes,no,no,yes,GC,GC_THAP7
NFKBID,0.0,no,yes,no,no,no,GC,GC_NFKBID
ZNF574,0.0,no,yes,no,no,no,GC,GC_ZNF574
ZBTB47,0.0,no,yes,no,no,no,GC,GC_ZBTB47
HOXB2,0.0,no,yes,no,no,no,GC,GC_HOXB2
TRERF1,0.0,no,yes,no,no,no,GC,GC_TRERF1
ZNF526,0.0,no,yes,no,no,no,GC,GC_ZNF526
VENTX,0.0,no,yes,no,no,no,GC,GC_VENTX
ZNF219,0.0,no,yes,no,no,no,GC,GC_ZNF219
MESP1,0.0,no,yes,no,no,no,GC,GC_MESP1
PTF1A,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_PTF1A
TFEC,0.074076,no,yes,no,no,no,GC,GC_TFEC
KAT8,0.063615,no,yes,no,no,no,GC,GC_KAT8
ZBTB48,0.122716,no,yes,no,no,no,GC,GC_ZBTB48
ZNF517,0.102592,no,yes,no,no,no,GC,GC_ZNF517
ZNF614,0.0,no,yes,no,no,no,GC,GC_ZNF614
STAT1,0.555395,no,yes,no,no,no,GC,GC_STAT1
ASCL2,1.317874,no,yes,no,no,no,GC,GC_ASCL2
EBF4,0.0,no,yes,no,no,no,GC,GC_EBF4
ZNF212,0.0,no,yes,no,no,no,GC,GC_ZNF212
NFKBIL1,0.102218,no,yes,no,no,no,GC,GC_NFKBIL1
ZNF224,0.0,no,yes,no,no,no,GC,GC_ZNF224
ZNF32,0.0,no,yes,no,no,no,GC,GC_ZNF32
EBF2,0.072357,no,yes,no,no,no,GC,GC_EBF2
ZFHX4,0.0,no,yes,no,no,no,GC,GC_ZFHX4
ZNF239,0.064122,no,yes,no,no,no,GC,GC_ZNF239
ETS1,0.036521,no,yes,no,no,no,GC,GC_ETS1
ID4,0.0,no,yes,no,no,no,GC,GC_ID4
ZNF692,0.0,no,yes,no,no,no,GC,GC_ZNF692
ZNF786,0.0,no,yes,no,no,no,GC,GC_ZNF786
HOMEZ,0.0,no,yes,no,no,no,GC,GC_HOMEZ
HMBOX1,0.561467,no,yes,no,no,no,GC,GC_HMBOX1
RFX8,0.0,no,yes,no,no,no,GC,GC_RFX8
ZNF132,0.0,no,yes,no,no,no,GC,GC_ZNF132
ZNF469,0.0,no,yes,no,no,no,GC,GC_ZNF469
GATAD2B,0.373982,no,yes,no,no,no,GC,GC_GATAD2B
DNAJC1,0.976532,no,yes,no,no,no,GC,GC_DNAJC1
ZKSCAN4,0.0,no,yes,no,no,no,GC,GC_ZKSCAN4
ZNF628,0.0,no,yes,no,no,no,GC,GC_ZNF628
ZSCAN5A,0.0,no,yes,no,no,no,GC,GC_ZSCAN5A
ZNF22,0.077556,no,yes,no,no,no,GC,GC_ZNF22
ZNF672,0.206843,no,yes,no,no,no,GC,GC_ZNF672
KLF16,0.180343,no,yes,no,no,no,GC,GC_KLF16
ZNF764,0.0,no,yes,no,no,no,GC,GC_ZNF764
THAP8,0.0,no,yes,no,no,no,GC,GC_THAP8
PRDM15,0.247118,yes,no,no,no,no,GC,GC_PRDM15
ZNF777,0.0,no,yes,no,no,no,GC,GC_ZNF777
ZNF200,0.04864,no,yes,no,no,no,GC,GC_ZNF200
PRDM8,0.0,no,yes,no,no,no,GC,GC_PRDM8
NFKBIE,0.0,no,yes,no,no,no,GC,GC_NFKBIE
LEF1,0.14231,yes,no,no,no,no,GC,GC_LEF1
ZNF34,0.153114,yes,no,no,no,no,GC,GC_ZNF34
ZBTB22,0.04864,no,yes,no,no,no,GC,GC_ZBTB22
KLF15,0.0,no,yes,no,no,no,GC,GC_KLF15
ZNF646,0.0,no,yes,no,no,no,GC,GC_ZNF646
TFEB,0.0,no,yes,no,no,no,GC,GC_TFEB
CREB1,0.323154,no,yes,no,no,no,GC,GC_CREB1
ZNF579,0.0,no,yes,no,no,no,GC,GC_ZNF579
ZNF180,0.0,no,yes,no,no,no,GC,GC_ZNF180
