,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
BCL6B,0.00161,no,yes,no,no,no,VCT_CCC,VCT_CCC_BCL6B
IRX2,0.200657,yes,no,no,no,no,VCT_CCC,VCT_CCC_IRX2
ZNF836,0.025174,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF836
PRRX1,0.005306,no,yes,no,no,no,VCT_CCC,VCT_CCC_PRRX1
ATF4,0.716769,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ATF4
ZNF174,0.016455,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF174
ZNF275,0.019895,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF275
TFDP1,0.458608,no,yes,no,yes,no,VCT_CCC,VCT_CCC_TFDP1
ZNF430,0.116875,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF430
MYRF,0.00291,no,yes,no,no,no,VCT_CCC,VCT_CCC_MYRF
ZNF540,0.013053,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF540
ZNF354C,0.028964,no,yes,no,yes,no,VCT_CCC,VCT_CCC_ZNF354C
HMBOX1,0.198344,no,yes,no,no,no,VCT_CCC,VCT_CCC_HMBOX1
SMAD6,0.024504,no,yes,no,no,no,VCT_CCC,VCT_CCC_SMAD6
ZNF813,0.072793,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF813
SOX13,0.162042,yes,no,no,no,no,VCT_CCC,VCT_CCC_SOX13
TET1,0.359167,yes,no,no,no,no,VCT_CCC,VCT_CCC_TET1
ZBTB42,0.014237,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZBTB42
NONO,0.581657,yes,no,no,no,no,VCT_CCC,VCT_CCC_NONO
ZNF281,0.120252,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF281
SSRP1,0.430097,no,yes,no,no,no,VCT_CCC,VCT_CCC_SSRP1
ZNF224,0.061289,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF224
HMG20B,0.588222,yes,no,no,no,no,VCT_CCC,VCT_CCC_HMG20B
HLX,0.004914,no,yes,no,no,no,VCT_CCC,VCT_CCC_HLX
ZNF480,0.090335,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF480
ZNF606,0.01612,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF606
HOXB2,0.046441,no,yes,no,no,no,VCT_CCC,VCT_CCC_HOXB2
SP6,0.119042,no,yes,no,no,no,VCT_CCC,VCT_CCC_SP6
IKZF1,0.018125,no,yes,no,no,no,VCT_CCC,VCT_CCC_IKZF1
THRB,0.663234,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_THRB
ZNF611,0.180756,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF611
ZNF600,0.100799,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF600
ZNF91,0.381241,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF91
BNC1,0.000569,no,yes,no,no,no,VCT_CCC,VCT_CCC_BNC1
NEUROD1,0.000384,no,yes,no,yes,no,VCT_CCC,VCT_CCC_NEUROD1
ZNF562,0.159822,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF562
DLX4,0.11556,yes,no,no,no,no,VCT_CCC,VCT_CCC_DLX4
FOS,2.13807,yes,no,yes,no,yes,VCT_CCC,VCT_CCC_FOS
FOXJ3,0.566134,yes,no,no,no,no,VCT_CCC,VCT_CCC_FOXJ3
ELF1,0.667528,yes,yes,no,yes,yes,VCT_CCC,VCT_CCC_ELF1
