,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TFE3,0.085237,no,yes,no,no,no,VCT_CCC,VCT_CCC_TFE3
IRF1,0.244287,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_IRF1
ATF4,0.716769,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ATF4
ZNF653,0.006532,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF653
SP140,0.00783,no,yes,no,no,no,VCT_CCC,VCT_CCC_SP140
PPARG,0.811377,no,yes,no,yes,no,VCT_CCC,VCT_CCC_PPARG
GMEB1,0.139129,no,yes,no,no,no,VCT_CCC,VCT_CCC_GMEB1
SMARCC1,0.734672,no,yes,yes,no,no,VCT_CCC,VCT_CCC_SMARCC1
ZBTB1,0.132197,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZBTB1
SPIB,0.000914,no,yes,no,yes,no,VCT_CCC,VCT_CCC_SPIB
SP110,0.100179,no,yes,no,no,no,VCT_CCC,VCT_CCC_SP110
SOX18,0.0025,no,yes,no,no,no,VCT_CCC,VCT_CCC_SOX18
LHX6,5.6e-05,no,yes,no,no,no,VCT_CCC,VCT_CCC_LHX6
XBP1,0.598509,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_XBP1
E2F5,0.037402,no,yes,no,no,no,VCT_CCC,VCT_CCC_E2F5
GLIS2,0.038502,no,yes,no,yes,no,VCT_CCC,VCT_CCC_GLIS2
IRF5,0.004387,no,yes,no,no,no,VCT_CCC,VCT_CCC_IRF5
EPAS1,1.01389,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_EPAS1
TET1,0.359167,yes,no,no,no,no,VCT_CCC,VCT_CCC_TET1
TCF25,0.939522,no,yes,no,no,no,VCT_CCC,VCT_CCC_TCF25
HIF1A,0.385082,yes,yes,no,yes,yes,VCT_CCC,VCT_CCC_HIF1A
BHLHA15,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_BHLHA15
