,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF761,0.398799,no,yes,no,no,no,eEVT,eEVT_ZNF761
FOXP2,0.028897,no,yes,no,no,no,eEVT,eEVT_FOXP2
ZNF641,0.095406,yes,yes,no,no,yes,eEVT,eEVT_ZNF641
ZNF836,0.065081,no,yes,no,no,no,eEVT,eEVT_ZNF836
SATB2,0.048809,no,yes,no,no,no,eEVT,eEVT_SATB2
ZNF580,0.017861,no,yes,no,no,no,eEVT,eEVT_ZNF580
ZNF30,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF30
ZNF133,0.05065,no,yes,no,no,no,eEVT,eEVT_ZNF133
ZSCAN22,0.0,no,yes,no,no,no,eEVT,eEVT_ZSCAN22
OTX1,0.0,no,yes,no,no,no,eEVT,eEVT_OTX1
ZNF287,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF287
ZNF678,0.139534,no,yes,no,no,no,eEVT,eEVT_ZNF678
MGA,0.83307,no,yes,no,no,no,eEVT,eEVT_MGA
CREBZF,0.24847,no,yes,no,no,no,eEVT,eEVT_CREBZF
ZNF514,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF514
ZNF496,0.079491,no,yes,no,no,no,eEVT,eEVT_ZNF496
ZNF275,0.024583,no,yes,no,no,no,eEVT,eEVT_ZNF275
NKX2-8,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_NKX2-8
ZNF430,0.188807,no,yes,no,no,no,eEVT,eEVT_ZNF430
THAP9,0.0,no,yes,no,no,no,eEVT,eEVT_THAP9
TBPL1,0.180491,no,yes,no,no,no,eEVT,eEVT_TBPL1
ZNF605,0.022896,no,yes,no,no,no,eEVT,eEVT_ZNF605
ZNF319,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF319
ZNF34,0.086866,yes,no,no,no,no,eEVT,eEVT_ZNF34
BBX,0.973015,no,yes,no,no,no,eEVT,eEVT_BBX
ZNF555,0.053601,no,yes,no,no,no,eEVT,eEVT_ZNF555
HMBOX1,0.815559,yes,no,no,no,no,eEVT,eEVT_HMBOX1
HES5,0.218713,yes,no,no,no,no,eEVT,eEVT_HES5
ZNF212,0.164868,no,yes,no,no,no,eEVT,eEVT_ZNF212
ZBTB37,0.147177,no,yes,no,no,no,eEVT,eEVT_ZBTB37
ZNF226,0.008723,no,yes,no,no,no,eEVT,eEVT_ZNF226
ZNF451,1.39886,yes,yes,no,no,yes,eEVT,eEVT_ZNF451
ZBTB42,0.038756,no,yes,no,no,no,eEVT,eEVT_ZBTB42
ZNF138,0.122979,no,yes,no,no,no,eEVT,eEVT_ZNF138
ZSCAN21,0.346418,yes,no,no,no,no,eEVT,eEVT_ZSCAN21
ZBTB49,0.008723,no,yes,no,no,no,eEVT,eEVT_ZBTB49
ZNF335,0.169039,no,yes,no,no,no,eEVT,eEVT_ZNF335
ZNF621,0.192311,no,yes,no,no,no,eEVT,eEVT_ZNF621
LHX4,0.034749,no,yes,no,no,no,eEVT,eEVT_LHX4
TBX19,0.065258,no,yes,no,no,no,eEVT,eEVT_TBX19
ZKSCAN1,0.596378,yes,no,no,no,no,eEVT,eEVT_ZKSCAN1
ZNF770,0.026584,no,yes,no,no,no,eEVT,eEVT_ZNF770
ZNF169,0.064801,no,yes,no,no,no,eEVT,eEVT_ZNF169
ZNF18,0.043937,no,yes,no,no,no,eEVT,eEVT_ZNF18
ZNF124,0.696275,yes,yes,no,no,yes,eEVT,eEVT_ZNF124
