,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF791,0.184755,no,yes,no,no,no,iEVT,iEVT_ZNF791
ZC3H6,0.157113,no,yes,no,no,no,iEVT,iEVT_ZC3H6
DNAJC2,0.195501,no,yes,no,no,no,iEVT,iEVT_DNAJC2
USF2,0.170681,yes,no,no,no,no,iEVT,iEVT_USF2
ZNF627,0.056164,no,yes,no,no,no,iEVT,iEVT_ZNF627
ZBTB21,0.103192,no,yes,no,no,no,iEVT,iEVT_ZBTB21
ARID5A,0.0853,yes,no,no,no,no,iEVT,iEVT_ARID5A
ZBTB42,0.012667,no,yes,no,no,no,iEVT,iEVT_ZBTB42
ZNF524,0.04161,no,yes,no,no,no,iEVT,iEVT_ZNF524
ZNF507,0.116122,no,yes,no,no,no,iEVT,iEVT_ZNF507
ZNF562,0.354753,no,yes,no,no,no,iEVT,iEVT_ZNF562
THAP8,0.021036,no,yes,no,no,no,iEVT,iEVT_THAP8
ZNF75D,0.141959,no,yes,no,no,no,iEVT,iEVT_ZNF75D
ZBTB24,0.048621,no,yes,no,no,no,iEVT,iEVT_ZBTB24
ZNF737,0.029922,no,yes,no,no,no,iEVT,iEVT_ZNF737
ZNF425,0.02594,no,yes,no,no,no,iEVT,iEVT_ZNF425
KDM5B,0.584803,yes,no,no,no,no,iEVT,iEVT_KDM5B
AEBP2,0.678101,yes,yes,no,no,yes,iEVT,iEVT_AEBP2
ZBTB1,0.301933,yes,no,no,no,no,iEVT,iEVT_ZBTB1
GLI4,0.045198,no,yes,no,no,no,iEVT,iEVT_GLI4
SHOX,0.00134,no,yes,no,no,no,iEVT,iEVT_SHOX
ELF4,0.490948,no,yes,no,no,no,iEVT,iEVT_ELF4
KLF14,0.000684,no,yes,no,no,no,iEVT,iEVT_KLF14
CREB3L1,0.013267,no,yes,no,no,no,iEVT,iEVT_CREB3L1
MYT1L,0.021017,no,yes,no,no,no,iEVT,iEVT_MYT1L
ZNF644,0.473249,no,yes,no,no,no,iEVT,iEVT_ZNF644
NKX6-1,0.0,no,yes,no,no,no,iEVT,iEVT_NKX6-1
TCF7L1,0.343432,yes,no,no,yes,yes,iEVT,iEVT_TCF7L1
TFAP2E,0.008784,no,yes,no,no,no,iEVT,iEVT_TFAP2E
ZNF302,0.082479,no,yes,no,no,no,iEVT,iEVT_ZNF302
ZNF160,0.183815,no,yes,no,no,no,iEVT,iEVT_ZNF160
PPP1R13L,0.376001,yes,yes,no,no,yes,iEVT,iEVT_PPP1R13L
ISL2,0.001594,no,yes,no,no,no,iEVT,iEVT_ISL2
GRHL1,0.956235,yes,no,no,no,no,iEVT,iEVT_GRHL1
KLF10,0.304709,yes,no,no,no,no,iEVT,iEVT_KLF10
RCOR3,0.319404,yes,no,no,no,no,iEVT,iEVT_RCOR3
ZNF182,0.022265,no,yes,no,no,no,iEVT,iEVT_ZNF182
ZNF213,0.070531,no,yes,no,no,no,iEVT,iEVT_ZNF213
NCOR2,0.680396,yes,no,no,no,no,iEVT,iEVT_NCOR2
ST18,0.015329,no,yes,no,no,no,iEVT,iEVT_ST18
CEBPB,0.790319,yes,no,no,no,no,iEVT,iEVT_CEBPB
ZNF461,0.086723,no,yes,no,no,no,iEVT,iEVT_ZNF461
ZNF567,0.130848,no,yes,no,no,no,iEVT,iEVT_ZNF567
ZNF816,0.006512,no,yes,no,no,no,iEVT,iEVT_ZNF816
SOX4,1.117289,yes,yes,no,no,yes,iEVT,iEVT_SOX4
