,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TFE3,0.059127,no,yes,no,no,no,iEVT,iEVT_TFE3
SOX13,0.101412,no,yes,no,no,no,iEVT,iEVT_SOX13
ZNF580,0.043156,no,yes,no,no,no,iEVT,iEVT_ZNF580
ZNF140,0.081782,no,yes,no,no,no,iEVT,iEVT_ZNF140
DMTF1,0.324485,no,yes,no,no,no,iEVT,iEVT_DMTF1
ZNF516,0.033401,no,yes,no,no,no,iEVT,iEVT_ZNF516
ZNF611,0.246262,no,yes,no,no,no,iEVT,iEVT_ZNF611
ZBTB11,0.129534,no,yes,no,no,no,iEVT,iEVT_ZBTB11
MAFK,0.325088,no,yes,no,yes,no,iEVT,iEVT_MAFK
ZNF83,0.748773,yes,yes,no,no,yes,iEVT,iEVT_ZNF83
SMARCE1,0.059941,no,yes,no,no,no,iEVT,iEVT_SMARCE1
ZNF570,0.064814,no,yes,no,no,no,iEVT,iEVT_ZNF570
TBX4,0.002409,no,yes,yes,yes,no,iEVT,iEVT_TBX4
ZNF584,0.006935,no,yes,no,no,no,iEVT,iEVT_ZNF584
ZNF784,0.009733,no,yes,no,no,no,iEVT,iEVT_ZNF784
GSC,not_enough_cells_expr_limma,no,yes,no,no,no,iEVT,iEVT_GSC
ZNF384,0.122485,no,yes,no,yes,no,iEVT,iEVT_ZNF384
ZBTB46,0.071696,no,yes,no,no,no,iEVT,iEVT_ZBTB46
ZNF141,0.138418,no,yes,no,no,no,iEVT,iEVT_ZNF141
KAT7,0.09956,no,yes,no,no,no,iEVT,iEVT_KAT7
WIZ,0.060283,no,yes,no,no,no,iEVT,iEVT_WIZ
YBX1,0.818839,yes,yes,no,no,yes,iEVT,iEVT_YBX1
ZNF652,0.506544,no,yes,no,no,no,iEVT,iEVT_ZNF652
PBRM1,0.677246,no,yes,no,no,no,iEVT,iEVT_PBRM1
MLXIP,0.203386,yes,yes,no,no,yes,iEVT,iEVT_MLXIP
ZNF528,0.051982,no,yes,no,no,no,iEVT,iEVT_ZNF528
ZBTB2,0.148788,no,yes,no,no,no,iEVT,iEVT_ZBTB2
TCFL5,0.037573,no,yes,no,no,no,iEVT,iEVT_TCFL5
ZNF687,0.032601,no,yes,no,no,no,iEVT,iEVT_ZNF687
KLF7,0.079195,no,yes,no,no,no,iEVT,iEVT_KLF7
ZNF284,0.001382,no,yes,no,no,no,iEVT,iEVT_ZNF284
ELF4,0.490948,no,yes,no,no,no,iEVT,iEVT_ELF4
ZNF441,0.041077,no,yes,no,no,no,iEVT,iEVT_ZNF441
ZNF461,0.086723,no,yes,no,no,no,iEVT,iEVT_ZNF461
GTF3A,0.20032,no,yes,no,no,no,iEVT,iEVT_GTF3A
ZNF792,0.00127,no,yes,no,no,no,iEVT,iEVT_ZNF792
ZNF28,0.074287,no,yes,no,no,no,iEVT,iEVT_ZNF28
SMARCC2,0.213737,no,yes,no,no,no,iEVT,iEVT_SMARCC2
ZNF343,0.002042,no,yes,no,no,no,iEVT,iEVT_ZNF343
ZBED3,0.006403,no,yes,no,no,no,iEVT,iEVT_ZBED3
KLF14,0.000684,no,yes,no,no,no,iEVT,iEVT_KLF14
ZNF496,0.075495,no,yes,no,no,no,iEVT,iEVT_ZNF496
ZNF546,0.008234,no,yes,no,no,no,iEVT,iEVT_ZNF546
CTCFL,0.001139,no,yes,no,no,no,iEVT,iEVT_CTCFL
ZNF550,0.027698,no,yes,no,no,no,iEVT,iEVT_ZNF550
ZBTB34,0.047406,no,yes,no,no,no,iEVT,iEVT_ZBTB34
ZNF771,0.013738,no,yes,no,no,no,iEVT,iEVT_ZNF771
FOXQ1,0.001473,no,yes,no,no,no,iEVT,iEVT_FOXQ1
SP100,0.575715,yes,yes,no,no,yes,iEVT,iEVT_SP100
TFDP2,0.559848,no,yes,no,no,no,iEVT,iEVT_TFDP2
HOXB2,0.03217,no,yes,no,no,no,iEVT,iEVT_HOXB2
ZNF526,0.035547,no,yes,no,no,no,iEVT,iEVT_ZNF526
ZNF302,0.082479,no,yes,no,no,no,iEVT,iEVT_ZNF302
ZNF737,0.029922,no,yes,no,no,no,iEVT,iEVT_ZNF737
ZBTB6,0.017631,no,yes,no,no,no,iEVT,iEVT_ZBTB6
ARID3B,0.353134,no,yes,no,no,no,iEVT,iEVT_ARID3B
ZFP90,0.03049,no,yes,no,no,no,iEVT,iEVT_ZFP90
ZBTB43,0.176359,no,yes,no,no,no,iEVT,iEVT_ZBTB43
NCOA1,1.795286,yes,no,no,no,no,iEVT,iEVT_NCOA1
KAT8,0.084773,no,yes,no,no,no,iEVT,iEVT_KAT8
ATF7,0.046034,no,yes,no,no,no,iEVT,iEVT_ATF7
ZNF791,0.184755,no,yes,no,no,no,iEVT,iEVT_ZNF791
RFX7,0.228432,no,yes,no,no,no,iEVT,iEVT_RFX7
ZNF605,0.028085,no,yes,no,no,no,iEVT,iEVT_ZNF605
ZBTB48,0.052545,no,yes,no,no,no,iEVT,iEVT_ZBTB48
ASCL2,1.063959,yes,no,no,no,no,iEVT,iEVT_ASCL2
NFKBIL1,0.040335,no,yes,no,no,no,iEVT,iEVT_NFKBIL1
NFX1,0.353093,no,yes,no,no,no,iEVT,iEVT_NFX1
ZFP92,0.000528,no,yes,no,no,no,iEVT,iEVT_ZFP92
ZNF624,0.043357,no,yes,no,no,no,iEVT,iEVT_ZNF624
ZBTB37,0.07719,no,yes,no,no,no,iEVT,iEVT_ZBTB37
