,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
IRX3,0.0057727215,0.024802066,0.0,0.006602887,0.012126911,0.094328485,0.0249744
ZNF791,0.11876853,0.17690815,0.085589625,0.21040618,0.139545,0.1764603,0.18475531
ZC3H6,0.079944044,0.10204683,0.18699262,0.24620269,0.11610491,0.19883636,0.15711257
ZNF90,0.21082455,0.21088338,0.3408457,0.34252053,0.28101423,0.06641088,0.16679421
DNAJC2,0.3147621,0.22155902,0.06891883,0.24814868,0.30785033,0.10965044,0.1955008
USF2,0.15078788,0.13633399,0.13543007,0.12840559,0.16152357,0.12166537,0.17068146
ZBTB21,0.037207622,0.07304695,0.18604931,0.08073775,0.07780077,0.118319705,0.103192315
ZNF562,0.19687846,0.30012706,0.2941482,0.17864302,0.15982196,1.3255165,0.35475254
ZNF507,0.058882285,0.09756996,0.085161075,0.16993862,0.115880996,0.16253772,0.11612187
THAP8,0.029289301,0.015549946,0.0,0.04460067,0.03523288,0.055940364,0.02103628
ID2,0.38642251,0.23659572,0.0,0.6561628,0.40937132,0.28691083,0.07292536
AEBP2,0.29586217,0.45274255,0.6461301,0.7453924,0.5914601,0.841901,0.6781008
ZBTB1,0.15844516,0.21725674,0.17404659,0.16818577,0.1321966,0.49906984,0.30193278
ELF4,0.28272745,0.40837964,0.29444742,0.11293713,0.20551114,0.5074024,0.4909483
ZNF846,0.05725295,0.07028511,0.20800197,0.067136586,0.03205046,0.51878077,0.12998521
HAND2,0.011083893,0.039950654,0.11407664,0.012660762,0.01667343,0.0,0.036387913
BACH2,0.010176826,0.024648843,0.036520947,0.020582935,0.06252419,0.0,0.02559427
TCF7L1,0.061099336,0.1375798,0.37595543,0.093339525,0.13125476,0.9584543,0.34343162
GLI3,0.31107172,0.49687815,0.44361892,0.75120294,0.51604,0.35019013,0.6861155
ZNF302,0.064314015,0.08036811,0.15713376,0.15309398,0.07981268,0.17248185,0.08247867
PPP1R13L,0.20238662,0.2722161,0.3369398,0.45333874,0.37149322,0.55253214,0.37600052
GRHL1,0.54988664,0.8150715,0.61875397,0.52095294,0.5591205,1.8251212,0.95623493
NFYA,0.082846254,0.10732483,0.11756633,0.10254454,0.09733253,0.083366714,0.11099199
ZHX3,0.11461627,0.24112992,0.26208732,0.057863925,0.051569782,0.3376639,0.3551392
ZNF331,0.20899615,0.21807188,0.14741792,0.3922843,0.3963095,0.5019427,0.16668133
ZNF268,0.040834986,0.051004108,0.0,0.07215823,0.05559323,0.049693372,0.044076324
MAZ,0.21446386,0.24618228,0.17629391,0.15892781,0.24613287,0.19455227,0.2328103
SOX4,1.1256739,1.1727716,1.0655618,0.30392954,0.6032322,1.3356231,1.1172895
SP110,0.21651565,0.21663813,0.036520947,0.060768362,0.10017887,0.36086726,0.3202328
UBP1,0.12330799,0.17680234,0.3771088,0.15703046,0.15209407,0.50799876,0.26613185
MAFF,0.20028077,0.2685106,0.21323922,0.18516892,0.26807213,0.26047745,0.23354997
FOXO3,0.31947947,0.46977347,0.4949938,0.321764,0.3428123,0.83957183,0.60962456
ETS1,0.0063422383,0.022743465,0.036520947,0.011714542,0.01585486,0.100399606,0.022773528
ATRX,0.41646153,0.5704786,0.6865261,0.68952173,0.54121214,1.0189573,0.7138805
ZNF561,0.0458715,0.04762166,0.0,0.05474554,0.045177985,0.35476846,0.053780824
NPAS2,0.07218627,0.14164488,0.12099701,0.119635075,0.13187067,0.12695144,0.09320821
ZNF687,0.023973314,0.037499975,0.07128358,0.03837347,0.037099138,0.05751454,0.032600753
ZNF655,0.18071729,0.1442088,0.0,0.118666016,0.17966077,0.1561584,0.1587785
ZNF292,0.40764594,0.6187687,0.9506924,0.59164304,0.6437994,0.95500576,0.8454871
ZNF384,0.057921775,0.11358637,0.071026504,0.095191136,0.07655248,0.13389443,0.12248489
IRF1,0.1722218,0.24886534,0.2179893,0.10603951,0.24428727,0.056380033,0.20080218
ZNF131,0.25192544,0.3747502,0.32400528,0.37589207,0.27650878,0.6222452,0.5921711
CXXC1,0.15714791,0.13783129,0.04906867,0.13650294,0.15737401,0.11702502,0.12758116
ZNF814,0.15425658,0.15347227,0.30084696,0.16513303,0.17088178,0.7057632,0.24300817
ZNF211,0.02940067,0.049963936,0.0,0.04768671,0.03287346,0.12940171,0.06731872
TBX3,0.05110904,0.11383213,0.25778177,0.44774526,0.20789023,0.16176245,0.10517256
ZSCAN21,0.033326373,0.0288042,0.0,0.10682902,0.052216437,0.3464183,0.03503341
ARNT,0.35156083,0.47265142,0.036520947,0.3340915,0.2691243,0.54283744,0.51662487
ZNF586,0.120523155,0.17649221,0.31653407,0.21522687,0.16319014,0.53734547,0.25051403
FOXK2,0.2129704,0.36176723,0.56814563,0.40421778,0.40052715,0.4225735,0.5199251
ZNF121,0.10307419,0.15988415,0.10064332,0.15109296,0.16578679,0.9445745,0.15874727
GRHL3,0.00029991218,0.0020859328,0.0,0.022707423,0.055419233,0.0,0.00065665884
ETV7,0.018347424,0.007957492,0.0,0.11373876,0.08885481,0.057838354,0.013896676
ZNF532,0.05022201,0.09855029,0.2966721,0.060600672,0.06196126,0.04819062,0.22467591
ZXDC,0.05876321,0.10483351,0.10221833,0.23159172,0.14830552,0.2091947,0.17990626
ZNF33A,0.21893406,0.27519804,0.49141574,0.42222765,0.28695765,0.79263604,0.42454043
NFE2L3,0.07640449,0.06253616,0.05395142,0.92121947,0.41805947,0.06616329,0.08526365
ZFAT,0.32022732,0.5949349,1.351286,1.1893283,0.77766615,1.230739,0.85243154
E4F1,0.09575294,0.1282802,0.1263083,0.12928866,0.11299377,0.3015017,0.14136238
KLF13,0.20232399,0.26607496,0.40035307,0.13975552,0.16435461,0.4024825,0.16483891
STAT6,0.10315782,0.24964109,0.29409212,0.035125617,0.06494522,0.55517286,0.3169363
TFAM,0.26219082,0.12906876,0.100135855,0.37696874,0.33429456,0.09056175,0.09269133
ZNF142,0.027873252,0.04457208,0.09834926,0.044424467,0.045909163,0.2640975,0.04005711
EBF2,0.0016401677,0.0028094403,0.07235688,0.0022766616,0.00094729365,0.0,0.0040738727
TOX4,0.2605238,0.21174547,0.1490461,0.3121245,0.3005814,0.13915898,0.21232057
MAX,0.26461655,0.23119517,0.15407991,0.26319686,0.24851605,0.56932145,0.3259474
ZNF33B,0.16857257,0.17032464,0.19841859,0.26497537,0.20108561,0.3141335,0.24161422
ZNF841,0.02372717,0.03585021,0.0,0.007362087,0.0134877,0.032124855,0.026377209
IRF7,0.14630084,0.11763072,0.2342022,0.025355965,0.072147995,0.11240922,0.0780779
ZNF124,0.14704885,0.21354549,0.26812166,0.12766917,0.12257135,0.69627535,0.23773453
ZNF451,0.33112082,0.5558378,0.7705674,0.55188984,0.40785974,1.3988596,0.7114194
ZNF571,0.03307641,0.035204884,0.0,0.046914294,0.02497707,0.18088385,0.050671715
TCF12,0.6035866,1.0243657,1.75644,0.8203285,0.6883221,1.5607804,1.510264
OSR2,0.44751462,0.30804443,0.04864013,0.047372576,0.21184118,0.065873906,0.16396047
HSF4,0.008036254,0.023617523,0.05395142,0.011701044,0.0074677262,0.06936314,0.03914471
ATF3,0.80173784,0.7323898,0.10064332,0.48836976,0.9632051,0.22750327,0.55206686
SMAD3,0.1256295,0.3416828,1.1934972,0.03509752,0.06622134,2.2028697,1.0777903
KDM5A,0.2624266,0.36805442,0.4011341,0.42098755,0.29651502,0.7192918,0.49570984
SOX15,0.005509173,0.001376181,0.0,0.0025503142,0.06351594,0.0,0.00029491045
FOXP1,0.27079788,0.4938153,1.2894108,1.019851,0.6188613,0.33930036,0.8919255
ZNF407,0.26958886,0.41898257,0.6342704,0.47256213,0.31560254,0.88150465,0.61006224
ZBED1,0.058497667,0.06916418,0.0,0.05977767,0.07579445,0.022895804,0.06205993
ID3,1.4079946,1.0055438,0.7564059,0.38461047,0.7867844,1.2831972,0.630059
ERG,0.0063117626,0.018671317,0.0,0.009336906,0.007791346,0.0,0.013259887
NFIL3,0.14454931,0.1945686,0.32409662,0.096506834,0.14201705,0.07547059,0.237223
