,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
E2F4,0.24292666,0.17967267,0.16573831,0.24379176,0.29924235,0.2678253,0.14579037
SOX6,0.091063544,0.055884935,0.0491689,0.14652877,0.092593424,0.054525536,0.070683025
HES4,0.15827358,0.14671698,0.31620467,0.02769251,0.067335986,0.9515523,0.32245946
ZBTB4,0.020572592,0.014308198,0.018396344,0.19241807,0.1048475,0.0,0.029140105
KLF13,0.5038617,0.40092385,0.17048684,0.2082371,0.27812925,0.31343994,0.17090276
THAP3,0.03466403,0.027402133,0.08068596,0.029648466,0.030819325,0.016067853,0.021218609
ZNF780B,0.12565543,0.12957403,0.03206206,0.25438786,0.19628358,0.123430885,0.09424659
IRF1,0.06824514,0.07212004,0.19156578,0.054049987,0.12003541,0.17634518,0.08795498
CTCF,0.6504215,0.4094429,0.27711594,0.50657165,0.6073768,0.36124843,0.3785473
ZNF146,0.32016122,0.28084072,0.14304295,0.40267453,0.39430434,0.20014606,0.24888583
MGA,0.64858216,0.70434266,0.40590808,0.72063076,0.74745965,0.62851524,0.6481999
PSPC1,2.0435634,1.8203946,1.1095176,1.4484918,1.5338548,1.7726955,1.6560302
ZFX,0.5365852,0.5065993,0.30433565,1.217978,0.90897006,0.5622382,0.48538497
ZKSCAN1,0.25828913,0.31580222,0.26800466,0.55809,0.34517,0.49845412,0.38224226
ZNF138,0.14227594,0.14262849,0.09049471,0.24932072,0.165462,0.1442958,0.13087322
ZNF565,0.3632187,0.30851924,0.085618496,0.33362195,0.35169128,0.29197434,0.2371127
NFIB,0.10797621,0.08327525,0.07306988,0.5027686,0.29983556,0.082690775,0.09393882
DNAJC2,0.2611487,0.25696266,0.094528645,0.2247274,0.27422237,0.2161826,0.18956575
MSX2,0.016706346,0.020568006,0.047950547,0.20016219,0.15154655,0.018225627,0.02094209
CSRNP1,0.09736902,0.14819737,0.1158675,0.06916388,0.061170477,0.23759052,0.1344942
GATAD2B,0.77301,0.83164734,0.22434038,0.6895778,0.717936,0.7808503,0.6254288
KLF2,0.02161929,0.07930933,0.11155629,0.01717011,0.033197958,0.12310748,0.085120514
RREB1,1.4858845,1.4438537,0.736316,1.206206,1.2667962,1.417514,1.1148984
LHX2,0.031844277,0.12812953,0.10002415,0.0038493779,0.013191466,0.096602365,0.10667511
SMAD1,0.11282658,0.069155164,0.092608735,0.17335355,0.10358788,0.073588885,0.07440505
LRRFIP1,1.4439728,1.2779492,1.1687887,0.8660986,0.7818284,1.3561546,1.2018379
ELF2,0.97590965,0.8387195,0.523618,1.0659983,1.0077202,0.6828813,0.7892201
IRX2,0.08821192,0.10433908,0.22374442,0.17525986,0.14187291,0.118478306,0.16775124
ZNF614,0.06420514,0.096232295,0.027844457,0.06482704,0.04359789,0.023708615,0.049276255
TFEB,0.0538499,0.016073382,0.053301882,0.2997928,0.31994143,0.008801381,0.016866265
ZNF562,0.43497998,0.6232149,0.24697214,0.32873562,0.30560833,1.101156,0.45568645
ZNF117,0.273059,0.3349075,0.15853582,0.4186097,0.36266735,0.40558743,0.28563377
TEAD2,0.079616114,0.16851094,0.07074514,0.0049564275,0.02288353,0.22253688,0.10350555
THRB,2.1674397,1.5907258,0.95541435,1.5268832,1.9655987,1.7893503,1.6214981
PAX8,0.18938565,0.22796768,0.12879203,0.19656451,0.18358228,0.4807906,0.22084223
SOX30,0.0037732972,0.020653082,0.023129681,0.0045997654,0.0069924705,0.025152208,0.04638736
OSR2,0.08968536,0.14344886,0.074371815,0.017115414,0.025316512,0.037802916,0.0779491
GCM1,1.7434235,1.9851826,1.6020429,0.51898617,0.7782148,2.387006,1.891117
NFE2L3,0.09557774,0.04797477,0.22917889,0.67996705,0.42658907,0.05085686,0.09732985
TFAP2C,0.22924736,0.22823812,0.1784002,0.4998863,0.36570287,0.34894004,0.18012181
ZNF736,0.43356553,0.3813058,0.13251118,0.37327105,0.34855092,0.4398119,0.27169788
KDM5B,0.5057035,0.81361395,0.6184857,0.63675976,0.40218693,0.71517605,0.71536505
NFX1,0.71944934,0.5292928,0.37451953,0.54621917,0.68730575,0.42334262,0.49022862
YBX1,0.4143217,0.37754467,0.76806945,0.31628487,0.43628663,0.40628743,0.3846054
ZNF514,0.026757166,0.02833469,0.10288574,0.035401955,0.03760317,0.0,0.02860999
GATA2,0.5660926,0.36656138,0.8826366,0.2317746,0.40414092,0.4193389,0.47732106
ZNF761,0.42992485,0.3313475,0.31459624,0.4446698,0.44865146,0.4555565,0.31654
ZNF32,0.029809613,0.025983907,0.0026477918,0.039185718,0.028296871,0.013920062,0.06432507
IRF7,0.041350033,0.072572716,0.1519761,0.013251319,0.022492407,0.09277334,0.052051563
NR2F2,0.30905208,0.15684366,0.14351681,0.89134014,0.7747539,0.14317198,0.08681412
RUNX1,0.55951566,0.6060924,0.26745954,0.19040823,0.46782967,0.46627575,0.4070702
FOXM1,0.17651151,0.016086357,0.048488114,0.10947478,0.19601446,0.020423915,0.015361057
ZNF860,0.08135535,0.0809162,0.06281525,0.04345167,0.028531285,0.04640327,0.059460092
MXD1,0.08753463,0.13113923,0.17642821,0.17444749,0.15150863,0.13638161,0.21816278
ZNF257,0.309975,0.1847413,0.11511599,0.23040782,0.252027,0.1562821,0.14842477
ELF5,0.0053660762,0.00503533,0.004754605,0.20393392,0.04312405,0.0034400562,0.004792378
ARID3A,2.08583,1.8467402,1.430917,0.93663293,1.2047669,1.8077229,1.87188
ZNF280C,0.14156367,0.15202725,0.054824177,0.19755547,0.16495186,0.32644668,0.16597427
ZNF14,0.051378727,0.041412916,0.01882815,0.15015279,0.078593716,0.083143406,0.041490525
KDM2A,0.9320462,1.009349,0.5023471,1.0400251,0.99174464,0.9117504,0.9118234
ZNF462,0.5572675,0.38844588,0.08888256,0.5052633,0.32967335,0.23770748,0.3188267
ZNF248,0.27439612,0.3111862,0.2901522,0.5025195,0.30513185,0.34967273,0.28914526
ARNTL,0.041645013,0.06712416,0.05020145,0.25709462,0.12912633,0.10370604,0.039928705
ZNF701,0.11775803,0.12444671,0.13188803,0.21173131,0.17757756,0.12767676,0.13004586
SP100,0.41922477,0.73947436,0.52900976,0.23494765,0.26086518,0.693495,0.7009673
MAZ,0.20049325,0.15373148,0.4679956,0.1245063,0.20054683,0.128463,0.15371692
ID2,0.053772554,0.06445293,0.031161683,0.14823146,0.09545619,0.10656027,0.036440965
ZNF267,0.19073957,0.18735056,0.079161644,0.24284106,0.20799743,0.17157307,0.12439162
MECOM,0.16868857,0.17558748,0.1687498,0.2616277,0.25986123,0.19904223,0.15875876
ZNF846,0.11450908,0.21120524,0.09249497,0.16331907,0.09392654,0.36532858,0.1628022
TP63,0.13335244,0.08286172,0.053355668,1.3449409,0.78756243,0.06551196,0.051906385
HIC2,0.72661483,0.4866956,0.24337673,0.65770304,0.8107646,0.54795265,0.42864013
CEBPD,0.20833197,0.36318833,0.7042689,0.15713596,0.16611955,0.2555797,0.34091303
ZFAT,1.2192467,1.1161038,1.0063018,2.4048748,2.0902975,1.1645547,1.2433722
NFIL3,0.18858363,0.18511945,0.23075469,0.10026041,0.101606525,0.20833649,0.17924373
MYBL1,0.068666026,0.041865338,0.041172467,0.23252377,0.15929046,0.06410319,0.030358706
ELK3,0.24120556,0.5145742,0.23174286,0.06390583,0.10304551,0.6861379,0.35524786
ATF1,0.49429744,0.46358255,0.32248056,0.37655243,0.4901006,0.2268061,0.3213057
TRERF1,0.0859725,0.05144799,0.021874666,0.40302712,0.4628895,0.026095308,0.032115873
GABPA,0.22285154,0.18426907,0.2175827,0.30851653,0.26174998,0.17410165,0.20829068
REST,0.33077648,0.33154234,0.3593948,0.37028372,0.2601492,0.425789,0.25462213
BARX2,0.014646358,0.0075230827,0.004754605,0.12848072,0.07376098,0.0034400562,0.011839557
FOXO1,0.6798516,0.8095235,0.27611244,0.28625438,0.363466,0.4860368,0.45451635
ZNF664,0.009190673,0.010434345,0.116629414,0.008486324,0.014081011,0.0,0.020749025
CREM,0.49544758,0.35785374,0.18283091,0.75377434,0.63379276,0.29718995,0.2795725
CSRNP2,0.069797724,0.13024087,0.0947636,0.105649516,0.09138223,0.10319495,0.10995617
NR4A1,0.10285746,0.05741675,0.020658283,0.12970185,0.28286335,0.097231865,0.05369846
POGZ,0.37904575,0.33717614,0.29226902,0.6029219,0.5211096,0.39145222,0.36544198
ZNF641,0.011226903,0.026168378,0.053363495,0.023345273,0.023442535,0.08324779,0.03186789
