,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
POMC,-1.3395310852723357,-0.8991037237815604,-0.38782229169319277,0.17419715771971575,1.5499576816398852,0.9023022613874885,3
P4HB,0.12693911890386264,1.134762320623605,-0.0020314762538243673,-1.876746050255575,-0.3927570524482216,1.0098331394301518,5
SEMA3E,-0.8050974739916282,-0.7875852892535166,-0.6036434714228232,0.483663027584782,-0.29835546970198645,2.0110186767851728,5
SLAMF6,0.8509963357163827,-0.4177795246693636,1.5331049545805517,-1.1490746649388606,0.3318275642501499,-1.1490746649388606,2
APLP2,2.0484140300963696,-0.4648849392925171,-0.6787740649991842,-0.6906058340939525,-0.6671109192166393,0.4529617275059243,0
IFNGR1,-0.628929322147705,-0.23332771242953027,-1.1434657454769444,0.33354538439224274,-0.33291751056686325,2.0050949062288,5
PLXNB1,0.5480991283499678,-1.3876650805309265,-0.684825847789508,-0.13589844209641228,-0.14664459468356153,1.8069348367504419,5
UNC5B,-0.24827055554380129,-0.4489921780439545,-0.2595048279959616,2.1019377623136903,-0.026885893570684813,-1.1182843071592872,1
WNT6,2.2325073161113487,-0.4099575235532416,-0.40671252812569963,-0.5206496995606626,-0.3745378653110821,-0.5206496995606626,0
ESR1,-0.6031078091671319,-0.6796145455404147,-0.45955270635916035,-0.06862442217506398,-0.38272892796807567,2.193628411209846,5
CLEC4M,-0.09278953389027163,-0.0414915782044283,1.460375272090148,-1.18036254267565,1.034630925355852,-1.18036254267565,2
OPRM1,-0.5560358587170023,-0.5412617056603063,-0.40460167186924934,2.1931112922904723,-0.04102994282735519,-0.6501821132165585,1
FGF2,1.8337211455577591,-0.5484867939260829,0.3861168391709626,-1.0147203335603958,0.3580894763181536,-1.0147203335603958,0
WNT4,0.4064911346671289,-0.36291832149008524,0.9936814382928152,-1.1979075375515018,1.3585608236331446,-1.1979075375515018,2
EPHA2,2.1285889269303935,-0.5726882433352949,-0.4794201079083516,0.22741311022241895,-0.5829989588316316,-0.7208947270775351,0
VLDLR,0.412617032123875,0.7157996572053797,0.35649677643050465,-1.7895876286552495,1.1375403677132376,-0.832866204817747,2
XCR1,-0.46761017680363776,-0.6205632663669681,-0.46844420765071276,0.4319282463105305,2.0384505319698185,-0.9137611274590313,7
VEGFA,1.0560395299859808,-0.344556800128188,0.9970449495177037,-1.069079601100849,0.7813173713779962,-1.4207654496526443,2
LRPAP1,2.007458180622939,0.3125534868303436,-0.6275894663444405,-1.1007520477498198,-0.510149771509763,-0.08152038184925929,0
